TIPO_DE_ELECCIÓN:,PRESIDENTE Y VICEPRESIDENTE
25 junio 2023 20:54 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
24585,2314,9.4122,2311,9.4000,3,890962,476417,53.4722

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,AZUL,VALOR UNIONISTA,CABAL,TODOS,VAMOS,PHG,PR,PIN,ELEFANTE,VICTORIA,SEMILLA,FCN-NACION,PPN,UR,URNG-MAIZ WINAQ,CREO,BIEN,VIVA,MI FAMILIA,CAMBIO,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,PRES-VOTAR,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
76,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
77,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
78,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
79,"Distrito Central",0,"Guatemala",1,6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
80,"Distrito Central",0,"Guatemala",1,6,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
81,"Distrito Central",0,"Guatemala",1,6,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
82,"Distrito Central",0,"Guatemala",1,7,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
83,"Distrito Central",0,"Guatemala",1,7,400,13,1,29,13,2,2,1,3,0,3,4,53,0,0,1,3,3,13,8,4,0,27,183,16,0,199,0,199,--,400,201,199,183,199,199,Algún campo sin dato,1,2e1ea80026251b9f1db0f6568163e54f4de30df141ccebe195142738317fecc8,25/06/2023 19:54:43,MOVIL
84,"Distrito Central",0,"Guatemala",1,7,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
85,"Distrito Central",0,"Guatemala",1,7,400,11,4,23,9,0,2,1,7,0,3,7,53,1,0,4,3,3,12,8,2,0,19,172,24,1,197,0,197,--,397,200,197,172,197,197,Algún campo sin dato,1,d959af27086d0dd1904b44b732e867e8df301ee64f2b4b21285b770efa3dc7bc,25/06/2023 20:09:59,ESCANER
86,"Distrito Central",0,"Guatemala",1,7,273,5,1,6,8,0,3,0,1,0,0,1,85,0,0,1,1,0,6,2,2,0,10,132,4,0,147,11,147,--,--,--,147,132,136,147,Sumas Asentadas sin cuadrar,1,0c4ce101a76ab90c8735407e8f4b78b4163ccc093c74c38d52ef4f9243d6e44f,25/06/2023 20:16:55,ESCANER
87,"Distrito Central",0,"Guatemala",1,7,272,3,0,16,3,0,5,0,1,0,1,0,34,0,1,0,1,1,5,2,0,0,4,77,7,0,84,0,84,--,269,185,84,77,84,84,Algún campo sin dato,1,0839f66d4956300d532dcbdb399fe11293891fe15a5f722462add1a46e5aa4fd,25/06/2023 20:42:12,ESCANER
88,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
89,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
90,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
91,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
92,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
93,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
94,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
95,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
96,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
97,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
98,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
99,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
100,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
101,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
102,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
103,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
104,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
105,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
106,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
