TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
26 junio 2023 00:28 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
922,420,45.5531,420,45.5531,0,154345,99799,64.6596

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNIONISTA,CABAL,AZUL,URNG-MAIZ WINAQ,VAMOS,PHG,VICTORIA,MLP,PR,P A N,UR,PIN,BIEN,VALOR,UNE,PPN,FCN-NACION,VIVA,ELEFANTE,CREO,CAMBIO,PODEMOS,MI FAMILIA,SEMILLA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6095,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6096,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6097,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6098,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6099,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6100,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6101,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6102,"Chimaltenango",3,"San Martín Jilotepeque",3,648,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6103,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6104,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6105,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6106,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6107,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6108,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6109,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6110,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6111,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6112,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6113,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6114,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6115,"Chimaltenango",3,"San Martín Jilotepeque",3,649,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6116,"Chimaltenango",3,"San Martín Jilotepeque",3,649,208,13,2,8,3,5,4,0,4,0,0,1,0,0,7,0,7,2,1,4,1,1,3,10,2,7,3,88,8,6,102,4,106,--,208,102,88,102,106,Algún campo sin dato,1,dbe024178a3ede325f14ef812e7a14513b70cfc1a2a9f8ce643607904ae07b98,25/06/2023 23:11:20,ESCANER
6117,"Chimaltenango",3,"San Martín Jilotepeque",3,649,208,10,0,8,2,7,5,0,4,2,0,0,0,0,7,3,0,1,0,2,4,0,4,11,2,6,1,79,10,5,94,1,95,--,208,113,79,94,95,Algún campo sin dato,1,3a22ee0d32ff8ff35c69223852209010b36249f6aa8a6e1fea25058a4e0c1454,26/06/2023 00:19:55,ESCANER
6118,"Chimaltenango",3,"San Martín Jilotepeque",3,650,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6119,"Chimaltenango",3,"San Martín Jilotepeque",3,650,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6120,"Chimaltenango",3,"San Martín Jilotepeque",3,650,380,36,4,13,2,11,0,2,17,4,0,3,0,1,10,7,8,3,0,7,1,0,6,15,6,1,2,159,37,16,212,--,212,--,380,168,159,212,212,Algún campo sin dato,1,42e3e08220df7e423823d42b99b762f7c4f61a01992e91d036dc6dabdc00629f,26/06/2023 00:13:39,ESCANER
6121,"Chimaltenango",3,"San Martín Jilotepeque",3,650,380,41,1,17,2,6,1,1,13,3,0,1,1,0,15,7,5,6,0,8,1,0,7,12,2,1,0,151,33,21,205,0,205,--,380,175,151,205,205,Algún campo sin dato,1,c9b5c2db2a51ff7dcb766be0d712c07d635f2abda7e383a92bcc51564fe0e96e,26/06/2023 00:00:54,ESCANER
6122,"Chimaltenango",3,"San Martín Jilotepeque",3,650,266,35,0,10,2,8,1,1,10,7,0,1,1,0,7,3,2,5,0,5,1,1,3,13,4,8,3,131,9,11,151,0,151,--,266,115,131,151,151,Algún campo sin dato,1,6e718946dca18e9110c3d5380f93e68e109f0c56895934ee3d926a93404938f7,25/06/2023 23:15:57,ESCANER
6123,"Chimaltenango",3,"San Martín Jilotepeque",3,650,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6124,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6125,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,28,1,10,2,2,3,0,2,3,1,4,0,0,15,4,15,5,2,3,1,0,3,25,3,1,1,134,31,50,215,0,215,0,380,165,134,215,215,,1,005082bccdb6502bfc63b72ed0b326bf37e85043f746edebd3f668c8e176e89b,25/06/2023 23:49:08,ESCANER
6126,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6127,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6128,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6129,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6130,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6131,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,22,7,14,1,5,12,0,5,1,0,2,1,0,10,1,9,1,2,5,5,0,2,35,2,3,1,146,10,14,170,0,170,--,380,210,146,170,170,Algún campo sin dato,1,d7f568521521cd525d3b6472dd3ee2338005df07c4c08c5a525cef9c11a9a9c0,25/06/2023 23:05:18,ESCANER
6132,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6133,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6134,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6135,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,29,5,13,1,5,5,0,3,0,0,2,1,1,10,2,7,4,0,4,2,0,2,45,1,2,3,147,24,30,201,0,201,--,380,179,147,201,201,Algún campo sin dato,1,2f30bdfd849a4b0e985b8dc610306283bf54ab61a2e77c111dacb9bfa55908ab,26/06/2023 00:22:46,ESCANER
6136,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,29,9,7,1,6,3,1,7,0,0,2,0,0,16,2,9,5,1,4,2,0,2,34,3,2,3,148,17,21,186,0,186,0,380,194,148,186,186,,1,5196f5e7b5196a62410c51de9b8cd46e7176f250b86bc7c099e3da2b6acb5a4f,25/06/2023 23:31:47,ESCANER
6137,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6138,"Chimaltenango",3,"San Martín Jilotepeque",3,651,362,24,8,10,0,4,8,0,4,1,1,0,0,0,9,2,4,0,1,6,0,0,0,28,2,1,1,114,12,9,135,--,--,--,362,227,114,135,135,Algún campo sin dato,1,bd2a1250c0a9b9df3677de1648ee08b00b97fa95acd072db21ca5eea3fdc2f29,25/06/2023 23:25:22,ESCANER
6139,"Chimaltenango",3,"San Martín Jilotepeque",3,651,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6140,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,56,3,3,0,6,6,1,8,1,0,1,0,0,7,2,12,3,0,8,1,0,2,42,3,4,1,170,32,26,228,0,228,0,376,148,170,228,228,,1,86fd2da954731f1292e923f9ce3553ecaa31c5c2092ded67954a87755e5e545c,25/06/2023 23:22:28,ESCANER
6141,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6142,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,75,2,2,2,4,1,0,10,0,1,0,0,0,11,1,13,5,0,1,1,1,4,23,3,2,3,165,20,26,211,9,220,0,380,160,165,211,220,,1,55543a44447ef7c040f3f0e93b87fafc10dc97c9d584b987e13e6be6bfee94f1,25/06/2023 23:53:38,ESCANER
6143,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,47,3,4,2,8,2,1,5,0,0,1,0,0,16,1,5,3,2,8,1,3,4,25,2,3,1,147,24,10,181,0,181,0,380,199,147,181,181,,1,c916e5e12f88d30453d9996d06876f1596b461d9b4a2c3e63975df8fcf41137e,26/06/2023 00:17:41,ESCANER
6144,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,72,0,7,5,9,5,2,4,1,0,4,1,0,12,0,5,4,0,4,2,1,6,23,4,4,3,178,28,26,232,0,232,0,380,148,178,232,232,,1,cfafacdf17c9303f6e1e2b1eb0d412d0f6eb8b383920bebfbf7d87d92ef5ee0a,26/06/2023 00:09:20,ESCANER
6145,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,62,0,6,1,9,1,1,3,5,0,2,0,1,13,4,6,1,0,1,2,0,3,28,4,6,0,159,17,14,190,0,190,0,380,190,159,190,190,,1,c885dc413c55ae947272b6ea4f44df6bdd27a0a1714b0b1991b6c92006bbe1d9,25/06/2023 23:33:48,ESCANER
6146,"Chimaltenango",3,"San Martín Jilotepeque",3,652,219,30,2,4,3,5,1,0,1,1,0,4,0,0,8,0,3,1,1,0,0,0,1,14,0,15,1,95,13,7,115,0,115,--,219,104,95,115,115,Algún campo sin dato,1,b97f4c0e30bd2130b5a536a3bf565ff9d3e78fb6f74515e0766808d8893d7a54,25/06/2023 22:19:33,ESCANER
6147,"Chimaltenango",3,"San Martín Jilotepeque",3,652,218,26,1,10,0,1,3,0,0,0,0,0,0,0,2,0,6,1,0,1,0,0,2,15,0,2,1,71,13,17,101,0,101,0,218,117,71,101,101,,1,7b5d14a3c50ae9d6b349177bf53784ad933d3e95ab867c8ab45ce6a5f661612f,25/06/2023 23:11:45,ESCANER
6148,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6149,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6150,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6151,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6152,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6153,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6154,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6155,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6156,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6157,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6158,"Chimaltenango",3,"San Martín Jilotepeque",3,653,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6159,"Chimaltenango",3,"San Martín Jilotepeque",3,653,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6160,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6161,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6162,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6163,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6164,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,22,2,6,1,6,10,1,8,2,1,1,1,0,13,4,15,0,1,5,4,3,9,57,4,1,0,177,33,19,229,0,229,--,--,--,177,229,229,Algún campo sin dato,1,ba11f3c4289b20d45c5d2d19af0f4c0eeb7d57d8fc84954e469e22f99a2077cc,25/06/2023 22:59:13,ESCANER
6165,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,19,1,8,7,5,6,0,9,1,0,2,0,0,12,0,6,2,0,5,4,1,16,69,0,3,3,179,34,19,232,0,232,0,380,148,179,232,232,,1,5c683e22720e1af3935c52c6c3fcb528671e52adf51dbd5e8b4a61b9354ebd4b,25/06/2023 23:56:02,ESCANER
6166,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6167,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,17,1,5,4,7,9,0,9,1,0,3,0,0,11,0,13,2,0,10,2,0,6,38,0,0,3,141,31,25,197,0,197,0,380,183,141,197,197,,1,b5b8ed7fbaa9f89f2c98203382af9723b8d079914eb35f06daae3f32bfffd061,26/06/2023 00:26:36,ESCANER
6168,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6169,"Chimaltenango",3,"San Martín Jilotepeque",3,654,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6170,"Chimaltenango",3,"San Martín Jilotepeque",3,654,215,9,1,5,3,6,2,0,3,0,0,3,0,0,7,1,3,1,1,3,6,1,10,23,0,3,3,94,12,8,114,0,114,0,215,101,94,114,114,,1,2cdf1d4e463cf9ab6b0ca3c95ca27d172fea5945f3733ec1b8ff8c400cb9f656,25/06/2023 23:32:47,ESCANER
6171,"Chimaltenango",3,"San Martín Jilotepeque",3,655,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6172,"Chimaltenango",3,"San Martín Jilotepeque",3,655,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6173,"Chimaltenango",3,"San Martín Jilotepeque",3,655,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6174,"Chimaltenango",3,"San Martín Jilotepeque",3,655,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6175,"Chimaltenango",3,"San Martín Jilotepeque",3,655,282,11,0,4,3,19,0,0,14,3,0,0,0,0,25,1,3,2,0,6,6,0,1,28,0,3,5,134,9,10,153,0,153,--,282,129,134,153,153,Algún campo sin dato,1,6456e51145e5dbcb759b7537c49bc65d8a1af277821da5eae166d8be4eca6c7e,25/06/2023 22:03:46,ESCANER
6176,"Chimaltenango",3,"San Martín Jilotepeque",3,655,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6177,"Chimaltenango",3,"San Martín Jilotepeque",3,656,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6178,"Chimaltenango",3,"San Martín Jilotepeque",3,656,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6179,"Chimaltenango",3,"San Martín Jilotepeque",3,656,380,17,4,1,9,3,1,0,3,1,0,0,1,0,89,3,19,1,0,6,5,4,6,20,3,3,2,201,26,11,238,0,238,--,380,142,201,238,238,Algún campo sin dato,1,6ae23d6d57e70cc8c62852ac20888b540d81660a0477117162fcaffd32b2230f,25/06/2023 23:14:15,ESCANER
6180,"Chimaltenango",3,"San Martín Jilotepeque",3,656,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6181,"Chimaltenango",3,"San Martín Jilotepeque",3,656,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6182,"Chimaltenango",3,"San Martín Jilotepeque",3,656,262,9,3,2,2,4,2,0,2,0,0,0,1,0,82,1,8,1,0,0,9,0,5,12,2,1,0,146,5,6,157,0,157,0,262,105,146,157,157,,1,e1bf8998a4b93001f7393c3dcac4d044e1ad649fdef2fbee79dab23040e97615,26/06/2023 00:23:36,ESCANER
6183,"Chimaltenango",3,"San Martín Jilotepeque",3,656,261,7,1,2,3,3,3,0,2,2,0,0,0,0,52,5,8,1,0,1,2,0,7,8,5,5,2,119,5,4,128,0,128,--,261,133,119,128,128,Algún campo sin dato,1,4a125fc2b93a13f2ddbb009bfccaa6885c94dafc5533f23565b40b424cd82d9a,25/06/2023 22:39:47,ESCANER
6184,"Chimaltenango",3,"San Martín Jilotepeque",3,657,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6185,"Chimaltenango",3,"San Martín Jilotepeque",3,657,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6186,"Chimaltenango",3,"San Martín Jilotepeque",3,657,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6187,"Chimaltenango",3,"San Martín Jilotepeque",3,657,600,15,3,9,5,10,3,0,10,4,1,0,0,0,16,2,7,0,1,3,5,1,3,18,2,8,4,130,20,29,179,0,179,0,600,421,130,179,179,,1,ffabb65614c7e84b2b9029592e2a62615b197cb808b6b0a54683bd5f93ee2829,26/06/2023 00:08:36,ESCANER
6188,"Chimaltenango",3,"San Martín Jilotepeque",3,657,438,8,5,6,1,5,2,0,7,1,0,4,0,0,11,1,6,1,0,4,7,1,1,13,0,3,2,89,14,13,116,0,116,0,438,322,89,116,116,,1,a5e5912f8132138b80bb7010d3f3f9b32372e5685bd03ea9b1a6fde541d4585a,25/06/2023 23:59:54,ESCANER
6189,"Chimaltenango",3,"San Martín Jilotepeque",3,657,437,3,2,2,1,0,2,0,3,2,0,1,0,0,3,1,2,0,0,0,0,0,3,3,3,1,1,33,9,2,44,0,44,--,437,393,33,44,44,Algún campo sin dato,1,829e236562aaf9e99de6ccd4b7ca44f9e401b6b6046785e9fddccdc9a706e91e,25/06/2023 21:56:16,ESCANER
6190,"Chimaltenango",3,"Comalapa",4,658,400,10,2,16,3,48,18,0,5,11,1,3,0,0,2,6,13,8,0,26,2,2,5,5,4,35,13,238,33,29,300,0,300,--,400,100,238,300,300,Algún campo sin dato,1,e5c50dbe60ef3b87740a52c5a6f1892b40a1be3b841291c34b515dba1e3b9be9,26/06/2023 00:24:58,ESCANER
6191,"Chimaltenango",3,"Comalapa",4,658,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6192,"Chimaltenango",3,"Comalapa",4,658,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6193,"Chimaltenango",3,"Comalapa",4,658,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6194,"Chimaltenango",3,"Comalapa",4,658,400,11,0,40,3,36,19,1,5,13,1,0,1,0,0,5,9,12,5,23,3,5,9,4,3,12,19,239,35,19,293,0,293,--,400,107,239,293,293,Algún campo sin dato,1,42375c5e5ee46c4ac5d723cff9ae7cfda96f19281f30c95b825d4d274adc6172,25/06/2023 23:06:34,ESCANER
6195,"Chimaltenango",3,"Comalapa",4,658,400,9,2,30,1,46,16,2,7,8,4,5,1,0,6,8,9,14,1,22,7,5,7,3,1,24,29,267,49,14,330,0,330,--,404,74,267,330,330,Algún campo sin dato,1,7eef39a824566e4faa17af34510ea5047393f2e397fb9e9bbf8778660359a933,25/06/2023 23:34:35,ESCANER
6196,"Chimaltenango",3,"Comalapa",4,658,400,7,1,34,1,41,14,0,5,6,2,2,0,2,2,6,9,12,3,23,4,4,6,5,3,19,23,234,49,17,300,0,300,--,400,100,234,300,300,Algún campo sin dato,1,3922412278a7c7d06a997a5f1a5284b1b366949cdf02e6c48e5f37f4018d5d30,25/06/2023 23:42:06,ESCANER
6197,"Chimaltenango",3,"Comalapa",4,658,400,16,1,25,3,41,21,3,3,4,1,2,1,0,0,9,12,10,4,15,4,2,10,3,2,23,23,238,39,26,303,0,303,--,404,101,238,303,303,Algún campo sin dato,1,17c1a960e6403c46307ac8d12a7ac89047df3dd4471314f3c2cdc440cd376baa,25/06/2023 23:22:08,ESCANER
6198,"Chimaltenango",3,"Comalapa",4,658,400,13,1,33,5,53,14,1,3,6,2,1,1,1,2,8,9,7,2,23,5,3,5,9,4,21,28,260,40,17,317,0,--,--,400,83,260,317,317,Algún campo sin dato,1,f06a186019a4693105e3b4529f32f5e2eb25dd132eff2585084aea6a8da8f207,25/06/2023 23:56:21,ESCANER
6199,"Chimaltenango",3,"Comalapa",4,658,400,11,1,25,4,49,11,0,3,10,3,1,2,2,7,6,9,8,0,24,8,5,3,2,1,15,27,237,48,25,310,94,404,--,404,94,237,310,404,Algún campo sin dato,1,e2ae05e13c8edf469ed0ea9eed2d86ea99e8f533c2300003b678118fb16bbd3f,25/06/2023 23:30:42,ESCANER
6200,"Chimaltenango",3,"Comalapa",4,658,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6201,"Chimaltenango",3,"Comalapa",4,658,400,8,7,36,5,56,14,2,4,9,0,0,1,0,2,11,8,8,4,21,7,1,4,2,2,18,17,247,49,18,314,0,314,--,401,87,247,314,314,Algún campo sin dato,1,e158b60fad8eaece46a93087c29f80d4ebf160855cbaed8ab4625dfac6f8d422,25/06/2023 23:52:56,ESCANER
6202,"Chimaltenango",3,"Comalapa",4,658,400,4,1,21,4,50,17,2,4,6,1,1,4,1,4,8,6,11,1,12,7,7,6,6,3,28,24,239,38,21,298,0,298,--,400,102,239,298,298,Algún campo sin dato,1,1a37a2f7c862af9fa7a17d720bf2a3e1fecd8e1080617634d8e75f9525b2b629,25/06/2023 22:51:37,ESCANER
6203,"Chimaltenango",3,"Comalapa",4,658,400,4,4,38,4,44,21,2,4,8,1,1,0,0,1,9,11,7,0,15,8,2,6,2,4,21,15,232,32,22,286,0,286,--,404,118,232,286,286,Algún campo sin dato,1,93efa2580a643ad98cf1d0a4de075a5c1d3f245485f5d62a21a83a9b2a2d9838,26/06/2023 00:22:48,ESCANER
6204,"Chimaltenango",3,"Comalapa",4,658,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6205,"Chimaltenango",3,"Comalapa",4,658,400,13,1,17,4,36,16,2,4,10,1,2,1,2,2,5,7,2,0,17,6,3,14,2,3,36,18,224,38,10,272,0,272,0,405,133,224,272,272,,1,d56adb59efe27097809decf9cf2b5d0a77666514e88a00ef1b49ac9bceca3db1,26/06/2023 00:12:38,ESCANER
6206,"Chimaltenango",3,"Comalapa",4,659,400,11,1,21,5,48,16,0,5,12,2,3,0,1,5,3,8,7,2,29,6,4,5,4,5,20,21,244,38,15,297,0,297,--,396,99,244,297,297,Algún campo sin dato,1,15de8cbaf630ebec53447242484f2ac90d91d4b5c761c9b0f46e77281686dac0,25/06/2023 23:10:41,ESCANER
6207,"Chimaltenango",3,"Comalapa",4,659,400,10,0,29,4,50,10,4,5,13,0,4,1,0,3,7,19,7,1,15,4,5,9,1,4,25,20,250,26,24,300,0,300,--,400,100,250,300,300,Algún campo sin dato,1,1f578b5324b9187790e3a57458dced85a8111bc514756cf97800bf7a7aff3898,26/06/2023 00:14:24,ESCANER
6208,"Chimaltenango",3,"Comalapa",4,659,400,8,1,21,5,49,12,0,1,11,1,3,1,1,5,11,5,10,2,21,5,1,10,4,3,45,19,255,33,12,300,0,300,--,397,97,255,300,300,Algún campo sin dato,1,2dac667a2a81f154aaf9d23c53e2bc54f1b5c258840183f221c54ec5725b0dd3,25/06/2023 23:30:25,ESCANER
6209,"Chimaltenango",3,"Comalapa",4,659,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
6210,"Chimaltenango",3,"Comalapa",4,659,400,14,2,22,2,55,13,1,4,19,1,2,3,0,2,10,6,10,1,21,6,3,5,3,2,21,18,246,38,19,303,0,--,--,400,97,246,303,303,Algún campo sin dato,1,98aa1d2362870def13644af8168ab2f66f1fe9240f76c4a639f0e3e628dd1f3e,25/06/2023 22:47:41,ESCANER
