TIPO_DE_ELECCIÓN:;PRESIDENTE Y VICEPRESIDENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03 junio 2023 09:43 (UTC -6);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACTAS_ESPERADAS;ACTAS_CAPTURADAS;PORCENTAJE_ACTAS_CAPTURADAS;ACTAS_CONTABILIZADAS;PORCENTAJE_ACTAS_CONTABILIZADAS;ACTAS_NO_CONTABILIZADAS;LISTA_NOMINAL_ACTAS_CONTABILIZADAS;VOTOS_EMITIDOS_CONTABILIZADAS;PORCENTAJE_PARTICIPACIÓN_CIUDADANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24585;0;0;0;0;0;0;0;--.----;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MESA;DEPARTAMENTO;ID_DEPARTAMENTO;MUNICIPIO;ID_MUNICIPIO;CENTRO_DE_VOTACIÓN;PADRÓN;CUARENTA Y UNO ;QUINCE ;TREINTA Y DOS ;TREINTA Y TRES ;VEINTITRES ;TREINTA Y SEIS ;VEINTIOCHO ;TREINTA ;TREINTA Y CUATRO ;DIECIOCHO ;TRECE ;TREINTA Y OCHO ;TREINTA Y SIETE ;ONCE ;DIECISEIS ;VEINTINUEVE ;CINCUENTA Y SIETE ;DIECISIETE ;VEINTISEIS ;TREINTA Y UNO ;TREINTA Y CINCO ;VEINTE ;DOCE ;VÁLIDOS;NULOS;BLANCO;EMITIDOS;INVÁLIDOS;TOTAL;IMPUGNACIONES;PRES-VOTAR;VALIDOS_CALCULADO;EMITIDOS_CALCULADO;TOTAL_CALCULADO;OBSERVACIONES;CONTABILIZADA;CÓDIGO_INTEGRIDAD;FECHA_HORA_PUBLICACIÓN;DIGITALIZACIÓN
131;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
132;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
133;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
134;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
135;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
136;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
137;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
138;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
139;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
140;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
141;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
142;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
143;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
144;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
145;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
146;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
147;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
148;Distrito Central;0;Guatemala;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
149;Distrito Central;0;Guatemala;1;11;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
150;Distrito Central;0;Guatemala;1;11;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
151;Distrito Central;0;Guatemala;1;11;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
152;Distrito Central;0;Guatemala;1;11;293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
153;Distrito Central;0;Guatemala;1;11;293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
154;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
155;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
156;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
157;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
158;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
159;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
160;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
161;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
162;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
163;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
164;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
165;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
166;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
167;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
168;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
169;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
170;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
171;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
172;Distrito Central;0;Guatemala;1;12;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
