TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
52,52,100.0000,52,100.0000,0,19901,9143,45.9424

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,BIEN,C.C.T.,FCN-NACION,PODEMOS,AZUL,VIVA,PHG,CABAL,VOS,SEMILLA,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13855,"San Marcos",12,"Tejutla",10,1938,285,17,5,12,75,0,1,0,1,0,2,1,1,0,115,8,0,123,0,123,--,285,162,115,123,123,Algún campo sin dato,1,4a149daadc842ba89a84e6c01bc38063e8d3f684203bae9fb64381dd9a69dee9,26/06/2023 00:27:03,ESCANER
13856,"San Marcos",12,"Tejutla",10,1939,380,58,25,24,69,3,1,3,2,1,5,4,1,0,196,19,10,225,0,225,--,0,0,196,225,225,Algún campo sin dato,1,103b9154537a28c9a349c199175be3c345b0b8c50cc4d1dc445cca0f2cdd521f,26/06/2023 00:47:33,ESCANER
13857,"San Marcos",12,"Tejutla",10,1939,380,66,29,12,63,2,3,3,6,0,5,0,0,0,189,21,7,217,0,217,--,380,163,189,217,217,Algún campo sin dato,1,5be32780f7a75bcd1d979e664b7b0273081e1d8b592a67c7198f59b2b1a544a5,26/06/2023 01:00:22,ESCANER
13858,"San Marcos",12,"Tejutla",10,1939,380,52,52,26,72,0,2,4,6,0,7,1,1,1,224,14,1,239,0,239,--,380,141,224,239,239,Algún campo sin dato,1,20effdca65a862eff03631745df651e39396b94df2f7feea5d44a07f0ce1c107,26/06/2023 01:14:01,ESCANER
13859,"San Marcos",12,"Tejutla",10,1939,380,31,38,29,60,4,1,0,3,0,4,3,3,0,176,16,4,196,0,196,--,380,184,176,196,196,Algún campo sin dato,1,4e1f9eb1ef9285d2e6dabcd9c1a5dc40e733a2dde316008effa549104466fa88,26/06/2023 01:25:20,ESCANER
13860,"San Marcos",12,"Tejutla",10,1940,380,53,25,20,72,4,1,1,6,0,9,3,0,1,195,19,4,218,0,218,--,380,162,195,218,218,Algún campo sin dato,1,577a33b1b99cd764128f164d8efca5a931cc2b5f287697918d85ce8db5c51d36,26/06/2023 00:59:02,ESCANER
13861,"San Marcos",12,"Tejutla",10,1940,380,47,21,17,49,4,3,2,1,0,5,0,0,1,150,14,2,166,0,166,--,380,214,150,166,166,Algún campo sin dato,1,697b86c18c9657f7bbc9d0c40cb559ae53ae95b35be2bfe81cf1ad91bf41253a,26/06/2023 00:34:59,ESCANER
13862,"San Marcos",12,"Tejutla",10,1940,274,35,16,14,41,3,2,1,3,0,2,1,2,0,120,3,2,125,0,125,--,274,149,120,125,125,Algún campo sin dato,1,e1ebb822d2ad2a14fb8ef09980f116f0220315064ad8659401a66020e157326a,26/06/2023 01:10:48,ESCANER
13863,"San Marcos",12,"Tejutla",10,1940,273,33,9,12,35,1,1,0,1,0,1,0,1,1,95,4,1,100,0,100,--,270,170,95,100,100,Algún campo sin dato,1,c919386426863d8167e41a5a074afbd0ecce0e043009a5efd5fc5819e548b61f,26/06/2023 01:04:15,ESCANER
13864,"San Marcos",12,"Tejutla",10,1941,380,15,64,77,12,0,0,0,4,0,2,4,4,1,183,14,8,205,0,205,--,380,175,183,205,205,Algún campo sin dato,1,e0a6847017a8ab99bcd199ae7efcfd26d297e4e9e35e4a613f19888fbed418f7,25/06/2023 23:25:21,ESCANER
13865,"San Marcos",12,"Tejutla",10,1941,380,14,55,51,13,0,0,0,2,3,4,2,3,1,148,9,9,166,0,166,--,380,214,148,166,166,Algún campo sin dato,1,2697e9d47f5ac8c564c2ba02debab0fa257a20f1f5043d36ca489304d66fd498,25/06/2023 23:11:29,ESCANER
13866,"San Marcos",12,"Tejutla",10,1941,307,8,36,52,9,0,1,3,4,0,3,2,6,0,124,6,4,134,0,134,--,307,173,124,134,134,Algún campo sin dato,1,86bbaa4eb8f4ad96b2ea636c3b65124f8e4f7f10f002eb88739447d918af0e23,25/06/2023 23:00:35,ESCANER
13867,"San Marcos",12,"Tejutla",10,1941,306,8,28,46,9,1,0,3,1,0,2,1,3,0,102,1,0,103,0,103,--,306,203,102,103,103,Algún campo sin dato,1,695e4dbe3034489e8099341b8cda06ec9702c968d17a1ff132ef0e902bdd7218,25/06/2023 23:19:00,ESCANER
13868,"San Marcos",12,"Tejutla",10,1942,380,53,27,14,71,0,3,3,6,0,10,2,1,0,190,28,3,221,0,221,--,380,159,190,221,221,Algún campo sin dato,1,9969ce848c365b2f55aba2c040147e0274978e2e91b76c42184ee228dc25fb01,26/06/2023 00:26:33,ESCANER
13869,"San Marcos",12,"Tejutla",10,1942,344,50,14,10,59,2,1,6,2,0,4,5,0,0,153,21,2,176,0,176,--,344,168,153,176,176,Algún campo sin dato,1,8bc81d51f039dd99a501c7cdc4e335d8c9029890e431ecadb413bde47b1014a0,26/06/2023 00:09:39,ESCANER
13870,"San Marcos",12,"Tejutla",10,1942,344,36,12,12,64,0,0,4,1,0,4,0,0,0,133,8,1,142,0,142,--,344,202,133,142,142,Algún campo sin dato,1,16812325f6a3ac19801e7901e6e03f49b0e2006f2a65a164dfd02132831e377a,26/06/2023 00:40:01,ESCANER
13871,"San Marcos",12,"Tejutla",10,1943,380,44,34,21,57,1,7,5,2,1,7,2,1,1,183,18,8,209,0,209,--,380,171,183,209,209,Algún campo sin dato,1,6e36dd1956fdec459b14cfb3057b04b4bea466dada62f5ee61daa3746bde8cae,26/06/2023 00:10:44,ESCANER
13872,"San Marcos",12,"Tejutla",10,1943,380,65,25,22,58,1,8,3,5,1,5,7,1,0,201,17,7,225,0,225,--,380,155,201,225,225,Algún campo sin dato,1,64ca7de8f7b44f85537b15d4633b80786cf607a24d6d99fab4148a5b7924b940,26/06/2023 00:04:32,ESCANER
13873,"San Marcos",12,"Tejutla",10,1943,346,49,12,17,45,0,9,5,2,0,3,1,1,0,144,9,3,156,0,156,--,347,191,144,156,156,Algún campo sin dato,1,b650116f8acf9cd797a97ad1a071d855955a45110ab1a7bd04f98eaa6fcc7693,26/06/2023 00:33:59,ESCANER
13874,"San Marcos",12,"Tejutla",10,1943,345,30,20,20,38,0,10,4,5,0,1,8,0,0,136,6,0,142,0,142,--,345,203,136,142,142,Algún campo sin dato,1,a9250972579285f03e9cf42b673aaec4f378664f5daef878c58df36ed830d5dc,26/06/2023 00:02:42,ESCANER
13875,"San Marcos",12,"Tejutla",10,1944,600,24,21,35,35,1,1,1,3,0,3,5,3,0,132,7,9,148,0,148,--,600,452,132,148,148,Algún campo sin dato,1,de82949111c0996d8c3eab922a754de1181f3cdf1495836f3460919b73ffecef,25/06/2023 21:22:04,ESCANER
13876,"San Marcos",12,"Tejutla",10,1944,600,32,26,29,39,1,2,0,5,3,10,4,3,0,154,16,2,172,0,172,--,601,429,154,172,172,Algún campo sin dato,1,d94903838715f5a53d6af582a1894f4d5c945e8037b5150a7fc7759b4a7e5628,25/06/2023 23:14:12,ESCANER
13877,"San Marcos",12,"Tejutla",10,1944,600,25,22,28,40,1,4,9,3,0,12,6,8,0,158,10,4,172,0,172,--,600,428,158,172,172,Algún campo sin dato,1,2065f762c3461cc727e4e01c71dccecd6e6130b486fdc0943e4929ea79e7e184,25/06/2023 21:39:54,ESCANER
13878,"San Marcos",12,"Tejutla",10,1944,416,13,7,15,20,1,1,0,2,0,3,1,3,0,66,6,3,75,0,75,--,416,341,66,75,75,Algún campo sin dato,1,b29eed4ea8a1a2dfe10f80e696189370d0f07dadd41dee27b2b2a1cfa48f0a46,25/06/2023 20:47:41,ESCANER
13879,"San Marcos",12,"Tejutla",10,1944,415,1,4,6,9,0,0,1,3,0,5,1,0,1,31,4,0,35,0,35,--,424,389,31,35,35,Algún campo sin dato,1,64c6dc847efd2293e05f59e1e403a74c9309a180690349d157f435e0dab38a89,25/06/2023 21:36:59,ESCANER
