TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
49,49,100.0000,49,100.0000,0,18190,13802,75.8768

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,UNE,CABAL,VIVA,SEMILLA,U R N G - MAIZ,UR,CAMBIO,VICTORIA,AZUL,MLP,VALOR,PODEMOS,WINAQ,TODOS,PPN,VAMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10121,"Totonicapán",8,"San Andrés Xecul",4,1313,380,20,68,36,9,0,1,2,3,0,1,0,4,69,0,10,2,42,267,3,5,275,0,275,0,380,105,267,275,275,,1,5bec0e3869730ab543720d709e3e5f806e0bf8872befaad1b203c3b92d4ff012,26/06/2023 01:06:36,ESCANER
10122,"Totonicapán",8,"San Andrés Xecul",4,1313,380,14,65,28,6,0,1,0,3,1,2,0,2,73,0,18,4,39,256,6,0,262,0,262,0,380,118,256,262,262,,1,a533df5551702b8df121970e80a078a7dcabc23233d940ae44bb9d463cd579de,26/06/2023 01:08:17,ESCANER
10123,"Totonicapán",8,"San Andrés Xecul",4,1314,205,12,30,13,3,1,1,1,0,1,1,1,0,39,0,11,5,24,143,2,0,145,0,145,0,205,60,143,145,145,,1,405786d7bae3f5d6dd35f3f6339c563c80ea184dbd1ebcee500842e83f0a7291,26/06/2023 00:00:53,ESCANER
10124,"Totonicapán",8,"San Andrés Xecul",4,1314,205,8,35,10,3,1,2,0,3,0,0,1,1,51,0,11,3,20,149,2,0,151,0,151,--,205,54,149,151,151,Algún campo sin dato,1,6d3c95c45a67aba94c858310736716377f476ff78999fc94906a6f2bc2d98029,26/06/2023 00:42:09,ESCANER
10125,"Totonicapán",8,"San Andrés Xecul",4,1315,380,37,44,7,11,6,17,2,3,31,8,9,5,35,0,15,9,63,302,13,5,320,0,320,0,380,60,302,320,320,,1,438537dfd3e8eab758acfcbc04a98bef4fa7676cef47f3a6664f7b6ce62fc2a5,25/06/2023 23:48:40,ESCANER
10126,"Totonicapán",8,"San Andrés Xecul",4,1315,380,54,48,14,11,8,8,1,3,27,3,12,6,39,0,15,6,50,305,17,12,334,0,334,0,380,46,305,334,334,,1,aa5264703c7ccf9cef8ea3739265995ee2eec75c34858ba9563b3ce5f3624efc,26/06/2023 00:47:36,ESCANER
10127,"Totonicapán",8,"San Andrés Xecul",4,1315,380,54,66,15,2,2,6,0,5,25,8,6,12,28,0,14,11,66,320,10,10,340,0,340,0,380,40,320,340,340,,1,bd94786c5ca0b6fca0bcbf51a74748d4c3032feb18a5544a0b3a4aa03f67e76f,26/06/2023 00:38:34,ESCANER
10128,"Totonicapán",8,"San Andrés Xecul",4,1315,380,57,62,12,3,7,14,2,2,28,2,8,2,20,0,13,6,70,308,14,4,326,0,326,0,380,54,308,326,326,,1,cd90bbe9e17b807b14aaaa31ab1dc969cf4d7ac711594bec8048e528bcb6c1d1,26/06/2023 01:23:25,ESCANER
10129,"Totonicapán",8,"San Andrés Xecul",4,1316,380,42,51,7,7,12,14,0,1,28,8,12,10,16,0,17,5,47,277,8,4,289,0,289,0,380,91,277,289,289,,1,aee070b9c31deaeee81433b73d1f71b794b270e04b25a77306eaeccddf289e8a,26/06/2023 01:05:49,ESCANER
10130,"Totonicapán",8,"San Andrés Xecul",4,1316,380,48,42,12,9,6,12,1,3,27,5,9,6,17,0,25,6,49,277,4,4,285,0,285,0,380,95,277,285,285,,1,7d03d5c4ac7be872fe7b6cb693fa214e049da8b994befe436abb6da0d6d6d998,26/06/2023 00:54:14,ESCANER
