TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
77,77,100.0000,77,100.0000,0,29314,18036,61.5269

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,VAMOS,CABAL,PODEMOS,UNE,U R N G - MAIZ,TODOS,VALOR,PHG,P A N,AZUL,BIEN,CAMBIO,MLP,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12171,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1647,400,54,81,9,28,8,27,0,2,0,0,2,1,0,2,1,215,17,3,235,0,235,--,400,165,215,235,235,Algún campo sin dato,1,89748f3c7f64f0c941a6a69277051cd6b8937cee3a15d9d19932e14d14584a72,25/06/2023 23:41:03,ESCANER
12172,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1647,393,39,68,16,24,6,26,0,2,3,1,5,0,1,1,0,192,11,0,203,0,203,--,393,190,192,203,203,Algún campo sin dato,1,bf22924cd90c1afa0ae58c0b9ff6004d0eb8f02fe1ad8f6697ee4924b716c174,26/06/2023 00:23:12,ESCANER
12173,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1647,393,44,83,9,15,5,26,3,4,3,0,5,0,0,0,0,197,4,2,203,0,203,--,393,190,197,203,203,Algún campo sin dato,1,a2541ce0a89680d863e5c27831d8440c6c9b4a72d07ad1b32e0b0b3b7d081052,25/06/2023 23:35:37,ESCANER
12174,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1648,400,6,83,1,69,23,15,0,4,2,3,2,1,2,1,4,216,29,8,253,0,253,--,--,--,216,253,253,Algún campo sin dato,1,0fd1a903bc370e725c302db01487b990c102b9c0b8116f59007c1543aafb2732,26/06/2023 02:26:34,ESCANER
12175,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1648,400,2,88,4,63,21,14,2,3,4,0,1,0,2,1,2,207,28,6,241,--,241,--,400,156,207,241,241,Algún campo sin dato,1,47529002f3c510d8641dff7ece07651a91347fa5994ba651383d7dfaf336ce2f,26/06/2023 01:25:35,ESCANER
12176,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1648,400,10,94,1,56,26,32,4,2,0,0,2,1,0,0,2,230,28,12,270,0,270,--,397,127,230,270,270,Algún campo sin dato,1,369a1378f17ba1f26aaa5daea911b72bf49eb67cabc9728244bf7d91630883ee,26/06/2023 01:09:40,ESCANER
12177,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1648,400,6,131,4,76,23,26,2,1,0,2,4,0,1,2,0,278,18,15,311,0,311,--,400,86,278,311,311,Algún campo sin dato,1,967525b497fe0977d0fd4f7fd533df01bfc3e430d9620087b99e071d25f4c8d1,26/06/2023 01:15:38,ESCANER
12178,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1648,400,8,123,2,62,21,16,1,2,2,0,2,0,0,0,1,239,45,13,297,0,297,--,400,103,240,298,298,Sumas Asentadas sin cuadrar,1,056ddec13389b88ce74d30c029c5e61a5a6836866f8d842611712916d8593cf7,26/06/2023 00:15:28,ESCANER
12179,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1648,400,5,126,8,69,25,24,0,2,2,0,3,1,0,0,0,265,2,10,277,34,311,--,400,89,265,277,311,Algún campo sin dato,1,3e0e5598c9851a17529cf39083685a49b6ec0a05ac0aecb00f65a17b1f1f56fc,26/06/2023 02:05:09,ESCANER
12180,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1648,400,9,100,3,61,24,19,1,2,1,0,3,0,1,2,2,228,35,6,269,0,269,--,400,131,228,269,269,Algún campo sin dato,1,467308dc532cbe8ee2e338989bb9b2703a28163519e6bfc8814cdd5fc4cfd77b,26/06/2023 01:30:45,ESCANER
