TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
107,107,100.0000,107,100.0000,0,41073,23057,56.1366

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,AZUL,VAMOS,CABAL,VALOR,PODEMOS,UNE,UNIONISTA,P A N,VOS,VICTORIA,PPN,UR,ELEFANTE,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6319,"Chimaltenango",3,"Tecpán Guatemala",6,670,400,37,13,25,8,26,21,5,19,3,9,20,3,1,5,7,202,8,2,212,0,212,--,400,188,202,212,212,Algún campo sin dato,1,c48040e8c9ee74be43593fba9a10c6fa1a8444cc5fef9be63829cf812efd17cd,25/06/2023 23:14:12,ESCANER
6320,"Chimaltenango",3,"Tecpán Guatemala",6,670,400,59,5,37,9,22,14,5,16,5,15,17,2,2,10,5,223,4,2,229,0,229,--,400,171,223,229,229,Algún campo sin dato,1,03d08c3f9cd2819b34fe408afdd2cc28d5022efcefda5be84a56898734f0f3ba,25/06/2023 23:01:49,ESCANER
6321,"Chimaltenango",3,"Tecpán Guatemala",6,670,400,38,5,46,15,17,22,5,20,2,11,21,2,1,6,8,219,2,1,222,0,222,--,400,178,219,222,222,Algún campo sin dato,1,3cc7f4593501b233076b14f7735c9c3f9323a1290d386de7abbc405fb356836b,25/06/2023 23:28:22,ESCANER
6322,"Chimaltenango",3,"Tecpán Guatemala",6,670,400,73,5,43,4,26,23,6,24,0,18,19,0,1,6,3,251,2,0,253,0,253,--,400,147,251,253,253,Algún campo sin dato,1,553e12446debb0599e8ace071b194d6fbff2ce7da9acb4dce87c2cc913e79f2b,26/06/2023 00:43:27,ESCANER
6323,"Chimaltenango",3,"Tecpán Guatemala",6,670,400,56,5,39,7,15,21,6,21,2,19,27,0,3,5,7,236,5,2,243,0,243,0,400,157,233,240,240,Sumas Asentadas sin cuadrar,1,91dcbd60343947320580b98620796bc0591d27c188662a4ab18310e07343c6a0,26/06/2023 00:08:07,ESCANER
6324,"Chimaltenango",3,"Tecpán Guatemala",6,670,400,66,2,29,8,27,16,8,27,5,14,33,3,0,4,6,248,3,1,252,0,252,--,397,146,248,252,252,Algún campo sin dato,1,7fa300a139f17148fedf17490f4b31f30a53b99023dea0542f28aec416fd562f,26/06/2023 00:53:14,ESCANER
6325,"Chimaltenango",3,"Tecpán Guatemala",6,670,400,74,5,30,9,29,23,4,25,2,15,27,2,1,6,15,267,4,1,272,1,273,--,401,128,267,272,273,Algún campo sin dato,1,028aa42e01e34a605ecb61357a2881f1db18b31722fd2ee7c95aa080bd61a8e8,25/06/2023 23:57:27,ESCANER
6326,"Chimaltenango",3,"Tecpán Guatemala",6,670,400,30,3,37,4,19,26,9,25,1,6,17,3,0,11,2,193,4,0,197,0,197,--,397,200,193,197,197,Algún campo sin dato,1,23ff05641661307389c053cfdf134df26179b51ca63f6948261e8971a5b158e2,26/06/2023 01:08:17,ESCANER
6327,"Chimaltenango",3,"Tecpán Guatemala",6,670,400,26,3,40,3,34,22,11,10,2,5,26,0,0,3,4,189,2,1,192,0,192,--,398,206,189,192,192,Algún campo sin dato,1,b3daffef00dbfe039795db3d02c1a846257ef5c045f23d8d843ca01423910fe1,26/06/2023 01:00:28,ESCANER
6328,"Chimaltenango",3,"Tecpán Guatemala",6,670,395,18,5,46,10,22,25,6,9,2,4,20,1,3,3,2,176,2,2,180,0,180,--,395,215,176,180,180,Algún campo sin dato,1,29b2ab5281327c8358c9d9be72e44e7bd28e9ff837e2d5dd379618434571afe4,26/06/2023 00:30:17,ESCANER
6329,"Chimaltenango",3,"Tecpán Guatemala",6,670,394,37,7,40,11,20,19,8,10,3,11,18,3,1,7,2,197,10,0,207,0,207,--,394,187,197,207,207,Algún campo sin dato,1,ce8884115273d785f56d6fafc92c7f43af2b357e350166070f10b6eb2512dee4,25/06/2023 23:47:46,ESCANER
6330,"Chimaltenango",3,"Tecpán Guatemala",6,671,380,13,4,78,13,40,45,2,29,0,3,28,0,0,2,2,259,8,4,271,0,271,--,380,106,259,271,271,Algún campo sin dato,1,092774f857054566cea378f4ac5eeab28b8f41eca06146311a2d8effba60cbbe,26/06/2023 00:33:37,ESCANER
6331,"Chimaltenango",3,"Tecpán Guatemala",6,671,380,18,1,75,18,36,37,2,19,1,1,35,0,0,5,0,248,7,5,260,0,260,--,380,120,248,260,260,Algún campo sin dato,1,c16d58f53461ca651d95899e8be7bb2ea5e3249956152ad567dcdb87d7ff77dd,26/06/2023 00:26:42,ESCANER
6332,"Chimaltenango",3,"Tecpán Guatemala",6,671,380,21,6,56,6,7,72,5,10,1,1,28,2,1,5,1,222,8,7,237,0,237,--,380,143,222,237,237,Algún campo sin dato,1,5b68f4353d7c176fd3adc5a46cdab1af9f3762ec0b2f69fe0699c80f8f659fef,26/06/2023 00:06:24,ESCANER
6333,"Chimaltenango",3,"Tecpán Guatemala",6,671,380,14,3,44,7,18,67,7,16,1,1,12,0,0,0,0,190,3,4,197,0,197,--,380,183,190,197,197,Algún campo sin dato,1,648ca748311ab0f42e143375f20ca919c3e380b6dd4446c4f3bc64cf05e0e1e7,25/06/2023 22:53:23,ESCANER
6334,"Chimaltenango",3,"Tecpán Guatemala",6,671,270,8,3,46,3,10,28,4,8,0,1,16,1,0,2,1,131,2,1,134,0,134,--,267,133,131,134,134,Algún campo sin dato,1,4a68c765792e8386f54a3cfca1cd1912ea8816bda3ca9e9300a1417d3e2f24a7,26/06/2023 00:13:33,ESCANER
