TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,23210,14146,60.9478

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,VALOR,VAMOS,VIVA,BIEN,CC EL CAMINO,TODOS,AZUL,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13080,"Retalhuleu",11,"El Asintal",9,1784,400,5,16,44,53,15,23,4,0,0,57,217,4,5,226,0,226,--,400,174,217,226,226,Algún campo sin dato,1,e61ea84913b0023b12a8f78381fb07c46765973ba5d5f423cfc2fab761842fe7,25/06/2023 23:17:58,ESCANER
13081,"Retalhuleu",11,"El Asintal",9,1784,400,4,17,46,63,18,28,3,0,1,45,225,16,1,242,0,242,--,400,158,225,242,242,Algún campo sin dato,1,0fe690ec3f2e03e184401a077fd44bbe2157450be115668e476d7fa8644f6dd1,26/06/2023 01:05:43,ESCANER
13082,"Retalhuleu",11,"El Asintal",9,1784,400,8,6,46,76,4,12,7,2,1,57,219,19,3,241,0,241,--,400,159,219,241,241,Algún campo sin dato,1,fed6b5768c2022287ce6881eb4d5bcfcf3cbf6f9afce351f5389af44c8e75015,26/06/2023 02:54:57,ESCANER
13083,"Retalhuleu",11,"El Asintal",9,1784,400,9,9,50,68,9,18,4,1,3,51,222,10,2,234,0,234,--,400,166,222,234,234,Algún campo sin dato,1,d176eccea0550177eb30c43d92545e9d2062930a3f13a789e96f35a33f3286dd,26/06/2023 02:17:04,ESCANER
13084,"Retalhuleu",11,"El Asintal",9,1784,400,4,7,73,72,9,18,5,0,1,47,236,7,3,246,0,246,--,400,154,236,246,246,Algún campo sin dato,1,0f10841dd025ec6c125c7b22d42db10d9e7b4210a63acc82d2c8ebd19c705ecc,26/06/2023 00:16:18,ESCANER
13085,"Retalhuleu",11,"El Asintal",9,1785,400,10,12,44,72,14,29,7,0,0,58,246,16,1,263,0,263,--,400,137,246,263,263,Algún campo sin dato,1,9d185552684663ffbf2947230afc113d1f73520e662a46ea647bdfac6620498b,26/06/2023 02:07:16,ESCANER
13086,"Retalhuleu",11,"El Asintal",9,1785,400,7,18,44,69,11,14,12,0,0,56,231,9,2,242,0,242,--,400,158,231,242,242,Algún campo sin dato,1,d7e9d798a2b54de237b32816eb8d7d80bf2dce0b4129f143e4857013fa22e6ae,26/06/2023 01:17:44,ESCANER
13087,"Retalhuleu",11,"El Asintal",9,1785,400,6,9,45,78,5,26,4,0,0,47,220,13,4,237,0,237,--,400,163,220,237,237,Algún campo sin dato,1,063f257466ec1a3a52fbd3134a58043707515ab3d74fbeaeca62c64f7ab59a2d,26/06/2023 01:14:01,ESCANER
13088,"Retalhuleu",11,"El Asintal",9,1785,400,12,11,40,64,12,27,2,1,0,52,221,12,2,235,0,235,--,400,165,221,235,235,Algún campo sin dato,1,1ffcfaff218253b579be4a3f3f2f4598aa25d1d86ee6f9cd3cef1dd56592fdeb,26/06/2023 01:55:31,ESCANER
13089,"Retalhuleu",11,"El Asintal",9,1785,400,6,12,35,90,7,24,6,1,0,45,226,6,4,236,2,238,2,400,162,226,236,238,,1,5f9099f0998a33835898f4af09587b225cb6209b590f0c6abda0f4ad4eee6b08,26/06/2023 01:07:08,ESCANER
