TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
51,51,100.0000,51,100.0000,0,18245,9399,51.5154

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,MLP,TODOS,CABAL,AZUL,SEMILLA,CAMBIO,VIVA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21151,"Petén",17,"Las Cruces",13,3289,400,114,28,0,54,2,1,1,2,6,3,211,5,1,217,0,217,--,400,183,211,217,217,Algún campo sin dato,1,c21a71374d5eb9ae443dfd8089a99107a2e14a7032c2b5c336290433205455b2,26/06/2023 00:50:56,ESCANER
21152,"Petén",17,"Las Cruces",13,3289,400,116,61,1,51,2,2,2,1,7,2,245,2,1,248,0,248,--,396,148,245,248,248,Algún campo sin dato,1,c2fa10e403b01d1be20bc3d50105d842edb04a132df094195f15315fe5a90461,26/06/2023 01:38:02,ESCANER
21153,"Petén",17,"Las Cruces",13,3289,339,89,34,0,46,2,2,0,1,5,1,180,1,4,185,0,185,1,339,154,180,185,185,,1,6218de391ac3699ca387f27e2631af21cc89b9f2841559d9df18f21872c0a0ec,26/06/2023 01:12:41,ESCANER
21154,"Petén",17,"Las Cruces",13,3289,338,68,22,2,44,2,2,0,1,1,1,143,0,3,146,1,147,--,338,191,143,146,147,Algún campo sin dato,1,f4b53d00f0d84596bcb5a6273e65ab60ea762bd685e51e52a6add8d3c21df8f5,26/06/2023 00:04:56,ESCANER
21155,"Petén",17,"Las Cruces",13,3290,366,70,54,2,58,1,2,0,1,1,2,191,11,6,208,0,208,1,366,157,191,208,208,,1,c001c7cf2917fadfe6610d59d8882bd870973c7eb150763218da5b4809844421,26/06/2023 01:38:18,ESCANER
21156,"Petén",17,"Las Cruces",13,3290,365,63,50,1,57,3,2,0,0,3,2,181,4,3,188,0,188,--,365,177,181,188,188,Algún campo sin dato,1,0587cf882231aee5ebce98f6b9878a3c4af050d51fcec02ba78e21c29dae3727,26/06/2023 02:28:13,ESCANER
21157,"Petén",17,"Las Cruces",13,3291,380,84,54,3,45,4,0,0,2,10,3,205,16,5,226,0,226,--,380,154,205,226,226,Algún campo sin dato,1,dd8f9a3c6985f65d1570e8b3ffe63b842b7b5a6f5f3edf6f5a16e104d438d847,25/06/2023 23:43:06,ESCANER
21158,"Petén",17,"Las Cruces",13,3291,380,55,36,19,52,2,0,0,3,11,0,178,14,5,197,0,197,--,376,179,178,197,197,Algún campo sin dato,1,822bd0e5a0ff7618da2ebd15bedbdadaff1352935f57bfb79768f5e120e2d692,26/06/2023 00:46:16,ESCANER
21159,"Petén",17,"Las Cruces",13,3291,380,42,42,6,45,4,1,1,2,8,4,155,13,0,168,0,168,--,380,212,155,168,168,Algún campo sin dato,1,b5ddecb16304c1ede8c122978aac53194e0fde58a4034961e98ebe049ee8ecdc,26/06/2023 02:02:46,ESCANER
21160,"Petén",17,"Las Cruces",13,3291,380,44,50,2,68,3,0,1,1,9,4,182,14,2,198,0,198,--,377,179,182,198,198,Algún campo sin dato,1,e0e54626a097de0f2e516ff12b27eaf098b865369193c7c0ad2075b7ebfb34f9,26/06/2023 02:37:36,ESCANER
21161,"Petén",17,"Las Cruces",13,3291,380,34,44,1,59,1,3,6,0,6,3,157,14,5,176,204,380,--,380,204,157,176,380,Algún campo sin dato,1,45bb89a487e9733ddddfd049878c5fa9da98f114f7d03a4cf7e77ba01d0830d8,26/06/2023 00:55:27,ESCANER
21162,"Petén",17,"Las Cruces",13,3291,380,48,58,2,53,5,0,0,0,7,0,173,11,6,190,0,190,--,380,190,173,190,190,Algún campo sin dato,1,c459d230bd920ad0b11b4f651af01ccface5d820e23cd84f819b9fe2200df4f2,26/06/2023 01:05:57,ESCANER
