TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
87,87,100.0000,87,100.0000,0,32804,19741,60.1786

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,CAMBIO,VAMOS,AZUL,BIEN,TODOS,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20449,"Petén",17,"San Benito",3,3186,275,57,2,3,68,1,2,0,2,1,136,5,0,141,0,141,--,275,134,136,141,141,Algún campo sin dato,1,73a8efbcca38a42e9cf7df3078b7d973a77ee1e7652b1c3a23201bcbd19bd0c2,25/06/2023 23:51:42,ESCANER
20450,"Petén",17,"San Benito",3,3187,400,77,11,12,131,3,1,1,3,8,247,17,2,266,0,266,--,400,134,247,266,266,Algún campo sin dato,1,5def8fa792f24e00d493314e60cbaf7ef76777dbf3962a3b6abcf8e8e49da4b9,26/06/2023 01:48:14,ESCANER
20451,"Petén",17,"San Benito",3,3187,400,81,6,12,127,3,4,0,5,7,245,16,6,267,0,267,--,400,133,245,267,267,Algún campo sin dato,1,75281b21893b6d2098a34cee49316c7171e5172c73004bd91296a27220a12107,26/06/2023 01:00:51,ESCANER
20452,"Petén",17,"San Benito",3,3187,400,78,12,8,113,6,2,0,6,8,233,11,5,249,0,249,--,400,151,233,249,249,Algún campo sin dato,1,def990b2ae9961f7c3188b40e9c888bc0914db5451f8e830e14ebe9ff2333fb3,26/06/2023 02:26:48,ESCANER
20453,"Petén",17,"San Benito",3,3187,400,84,4,6,96,3,2,0,5,5,205,7,3,205,--,205,--,400,185,205,215,215,Sumas Asentadas sin cuadrar,1,43f83eb740efa71c2ea0be47320db160fe3d313f0757938a27aef0dd72e80c42,26/06/2023 04:39:24,ESCANER
20454,"Petén",17,"San Benito",3,3187,400,89,9,8,115,5,1,2,7,5,241,9,2,252,0,252,--,400,148,241,252,252,Algún campo sin dato,1,18a1a8260e63378235a650dc1a3ffd6e23a94942c46a0f2543f308888de6d18f,26/06/2023 02:38:32,ESCANER
20455,"Petén",17,"San Benito",3,3187,400,79,12,12,103,6,3,1,6,5,227,5,6,238,8,246,--,193,730,227,238,246,Algún campo sin dato,1,797e95ca5dd1e4dca4be3bcb5f603fc6eebe50136ddeca41696347b42116d112,26/06/2023 03:38:55,ESCANER
20456,"Petén",17,"San Benito",3,3187,400,86,9,7,94,2,3,1,1,7,210,11,0,221,1,222,1,400,178,210,221,222,,1,66d47b4ecb012f4108c37284cf9e104a6fe78b54bfb53f21bba2198878d8b7c6,26/06/2023 03:07:35,ESCANER
20457,"Petén",17,"San Benito",3,3187,400,94,6,4,104,2,4,0,5,4,223,5,1,229,0,229,--,400,171,223,229,229,Algún campo sin dato,1,6fd5d67d6928b7380c2a7b804df885cbc5f3f7484f9915b9e0ebc701d188ed07,26/06/2023 03:54:49,ESCANER
20458,"Petén",17,"San Benito",3,3187,219,52,5,7,42,1,0,0,0,1,108,5,0,113,0,113,--,219,106,108,113,113,Algún campo sin dato,1,d8d3ea79a15c56fd10c588da7c29365a023d65e95df94c1504a565ffb562aaf8,25/06/2023 22:07:18,ESCANER
20459,"Petén",17,"San Benito",3,3187,218,45,5,2,38,1,3,0,0,7,101,3,1,105,113,218,--,218,113,101,105,218,Algún campo sin dato,1,a5d4a534ea3f310834bd57fdb64f3358164e4facdb0e0cceca0dc9202ed3a7a7,25/06/2023 22:09:17,ESCANER
20460,"Petén",17,"San Benito",3,3188,400,74,11,11,127,2,4,0,2,4,235,25,2,262,0,--,--,400,138,235,262,262,Algún campo sin dato,1,04514d85e1deff41868d12ae7aed57026dcb467c2b1d991ff40a3bf786240bf0,26/06/2023 03:10:53,ESCANER
