TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,60,98.3606,1,22293,15150,67.9585

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VICTORIA,PPN,WINAQ,CABAL,AZUL,VOS,BIEN,VAMOS,UNE,PHG,PIN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11155,"Quetzaltenango",9,"Cantel",14,1496,380,57,6,11,0,36,9,4,26,52,0,3,0,29,233,10,1,244,0,244,--,380,136,233,244,244,Algún campo sin dato,1,76fc5f458e0bed8b27304b0da337a20ce89ede6f722a41b972d65946dcac8e05,26/06/2023 01:18:23,ESCANER
11156,"Quetzaltenango",9,"Cantel",14,1496,380,60,6,5,2,54,2,2,31,69,1,0,2,35,269,1,0,270,0,270,--,380,110,269,270,270,Algún campo sin dato,1,b1a976caafe43572af6faefb2e627b6b9e046705d300447f5a9380beb889511c,26/06/2023 00:24:17,ESCANER
11157,"Quetzaltenango",9,"Cantel",14,1496,380,59,5,16,0,41,6,0,31,72,0,3,0,34,267,3,0,270,0,270,--,380,110,267,270,270,Algún campo sin dato,1,b36cd9c989d73cde94d663febee8c994733ad69783e4f70b320d58a9b60bb26e,25/06/2023 23:44:49,ESCANER
11158,"Quetzaltenango",9,"Cantel",14,1496,277,53,3,10,2,24,5,2,20,35,0,0,0,28,182,5,0,187,0,187,--,274,87,182,187,187,Algún campo sin dato,1,2463cb2cc9e971df40884cf400d84e169b48ed7e4bd9d7143de666b1d38d52af,26/06/2023 04:39:06,ESCANER
11159,"Quetzaltenango",9,"Cantel",14,1496,276,40,5,9,1,18,2,2,17,55,1,3,1,19,--,3,1,177,0,177,--,276,99,173,177,177,Algún campo sin dato,1,06a7341e5f32cd69871cf2511b7addd8621e25166065871883ed24c6a97a2423,25/06/2023 23:00:29,ESCANER
11160,"Quetzaltenango",9,"Cantel",14,1497,380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta en Blanco,0,ae3abfcda8c4e1d156beec3f1448c7e117f5d5cc654ed064a70e3727789854ee,26/06/2023 00:07:10,ESCANER
11161,"Quetzaltenango",9,"Cantel",14,1497,380,57,4,28,2,58,5,4,9,50,2,0,0,57,276,7,8,291,0,291,--,380,89,276,291,291,Algún campo sin dato,1,2d66c7fb1b0014a359c1b1c874d1abe9d134234dcc42c0a5192fbb3b10935ccb,25/06/2023 22:54:47,ESCANER
11162,"Quetzaltenango",9,"Cantel",14,1497,380,46,11,12,4,47,3,0,7,63,3,0,0,63,259,11,5,275,0,275,--,380,105,259,275,275,Algún campo sin dato,1,b4f6e791b2d57868eb72f8c12008f68eb7ff9e43ca612d88a8ed6b02852e54a2,26/06/2023 01:31:29,ESCANER
11163,"Quetzaltenango",9,"Cantel",14,1497,380,58,3,27,3,54,7,1,9,56,3,2,0,50,273,9,6,288,0,288,--,380,92,273,288,288,Algún campo sin dato,1,6741888e805cf900c80ceade1793c8590027f307a4872a079cb7861bacac8e45,26/06/2023 01:38:48,ESCANER
11164,"Quetzaltenango",9,"Cantel",14,1497,380,42,10,27,9,44,4,1,6,44,12,0,0,64,262,10,1,273,0,273,--,380,107,263,274,274,Sumas Asentadas sin cuadrar,1,e3c2cbccc68b2e72915fd80352847c5876e4818c6efedc3cf330559cd146dea4,26/06/2023 02:43:28,ESCANER
11165,"Quetzaltenango",9,"Cantel",14,1497,380,38,6,24,5,30,11,1,5,46,2,0,1,69,238,7,3,248,0,248,--,380,132,238,248,248,Algún campo sin dato,1,1f2cb2eaad828ddfd6e4f52fefa05be20174f56e144361c8ecb86dc995b85fb9,26/06/2023 01:10:43,ESCANER
11166,"Quetzaltenango",9,"Cantel",14,1497,380,34,6,25,5,35,4,2,7,39,3,1,1,67,229,11,7,247,0,247,--,380,133,229,247,247,Algún campo sin dato,1,8a5a26a4bce382976fca7038206a2a54e7cded71a23f58afcb824b56f4fd47d8,26/06/2023 01:50:04,ESCANER
11167,"Quetzaltenango",9,"Cantel",14,1497,380,53,5,22,2,42,10,2,7,42,2,1,1,56,245,8,3,0,0,256,--,380,124,245,256,256,Algún campo sin dato,1,2151a8c2ec0ed3f7655adffee3b4a91ab0f6b49b9056301b4222599969adeecf,26/06/2023 01:25:32,ESCANER
11168,"Quetzaltenango",9,"Cantel",14,1497,380,36,6,23,6,40,5,4,4,50,2,1,1,83,261,1,1,263,--,263,--,380,380,261,263,263,Algún campo sin dato,1,57a30636915b76f1ac2c477c2682ac37f8a628219a2d433198fe171e909060a6,26/06/2023 02:42:14,ESCANER
11169,"Quetzaltenango",9,"Cantel",14,1497,274,35,4,20,1,27,5,1,4,42,1,2,0,59,201,3,1,205,0,205,--,274,69,201,205,205,Algún campo sin dato,1,3eed6fec230a8860ea5f018626010868081104e2aed3c05dea64174d28ad4c6e,26/06/2023 00:08:43,ESCANER
11170,"Quetzaltenango",9,"Cantel",14,1497,274,31,4,18,2,20,4,0,8,28,1,0,0,52,168,4,0,172,0,172,--,274,102,168,172,172,Algún campo sin dato,1,d4e62bb85cf137089bbc23ab1bbcff386677ee81e9da779428f4812a1afa8b0f,25/06/2023 22:43:47,ESCANER
11171,"Quetzaltenango",9,"Cantel",14,1498,380,62,26,10,9,60,19,1,15,39,1,1,4,19,266,13,2,281,0,281,--,381,100,266,281,281,Algún campo sin dato,1,63a977dec1fe1f4cc6219234de609cc4c6250eb70597d818c11737ddae49fb60,26/06/2023 00:03:49,ESCANER
11172,"Quetzaltenango",9,"Cantel",14,1498,380,51,15,10,5,86,10,3,20,44,0,2,1,29,276,7,3,286,0,286,--,380,94,276,286,286,Algún campo sin dato,1,4d63cf6b6eac6b2bf6617833b4b0a366e6027c4200fa71a22a1e01002fd76f52,26/06/2023 00:04:30,ESCANER
11173,"Quetzaltenango",9,"Cantel",14,1498,380,67,19,4,13,66,10,3,16,55,1,2,2,15,273,13,1,287,0,287,--,380,93,273,287,287,Algún campo sin dato,1,107edc8315fb60ba9c3cd224bbadd9ce008fcdb48e79b8a74f383f7dadafabe3,26/06/2023 00:20:45,ESCANER
11174,"Quetzaltenango",9,"Cantel",14,1498,380,52,20,11,4,84,8,2,17,55,2,2,2,23,282,19,4,305,0,305,--,380,75,282,305,305,Algún campo sin dato,1,f07cc58a7488a0582ed507a591ee694fbb469e946e0653c042c343e2bbe7a634,25/06/2023 23:58:29,ESCANER
11175,"Quetzaltenango",9,"Cantel",14,1498,380,57,21,9,7,61,15,3,30,68,1,1,2,22,297,15,3,315,0,315,--,380,65,297,315,315,Algún campo sin dato,1,e7e255c42e9c0c8e6646db4316484790f7fa4766319095f5a06646d9f50e0e91,26/06/2023 01:16:34,ESCANER
11176,"Quetzaltenango",9,"Cantel",14,1498,380,65,21,3,5,56,10,3,24,58,0,2,5,37,289,5,5,299,0,299,--,380,81,289,299,299,Algún campo sin dato,1,36cf76dba76933484e99f1c2854bca59194239d02e83f1b348483c5a3670f288,26/06/2023 00:58:57,ESCANER
11177,"Quetzaltenango",9,"Cantel",14,1498,380,61,25,11,7,94,5,2,22,39,2,0,2,27,297,9,1,307,0,307,--,380,73,297,307,307,Algún campo sin dato,1,c2fd8d9a75e3b3ad84d19b4d3c9ea7106b87d1568e6eb07519f79bd36c1a7628,26/06/2023 01:25:31,ESCANER
11178,"Quetzaltenango",9,"Cantel",14,1498,380,69,26,9,4,58,8,2,22,35,1,0,2,14,250,6,1,257,0,257,--,380,123,250,257,257,Algún campo sin dato,1,6ef7972579e006cd2625c71fbf499f34d0376f1f73dda01fb473b6f73da1e470,26/06/2023 00:10:40,ESCANER
11179,"Quetzaltenango",9,"Cantel",14,1498,380,62,17,13,8,62,8,4,17,34,1,4,6,18,254,11,3,268,0,268,--,380,112,254,268,268,Algún campo sin dato,1,97107a199ae22cf5da775a49cd558fae895e235ba9c0efb235782d4d9e8d9111,26/06/2023 01:10:28,ESCANER
11180,"Quetzaltenango",9,"Cantel",14,1498,380,56,26,12,9,71,9,4,13,37,0,3,3,11,254,13,6,273,0,273,--,380,107,254,273,273,Algún campo sin dato,1,c22e15b00468313ac1959a44338b89a759ca5666c9fd12b9a23ffa465efe9410,26/06/2023 01:41:35,ESCANER
11181,"Quetzaltenango",9,"Cantel",14,1498,380,54,30,5,13,57,9,1,7,36,2,1,9,15,239,9,1,249,0,249,--,380,131,239,249,249,Algún campo sin dato,1,20c047ff0ad0e75dcf6a251ad801c8256844dcf03438492e2f1d464076b4c500,26/06/2023 00:51:05,ESCANER
11182,"Quetzaltenango",9,"Cantel",14,1498,380,54,21,13,9,55,6,1,24,29,0,1,6,13,232,7,1,240,0,240,--,379,139,232,240,240,Algún campo sin dato,1,6be0e92d439ee7298508442e22fee1d8d6a789c67ccf6b11fbad7f4c16eda88a,26/06/2023 02:20:18,ESCANER
11183,"Quetzaltenango",9,"Cantel",14,1498,380,59,15,10,11,48,17,2,15,43,0,2,4,20,246,3,0,249,0,249,--,381,132,246,249,249,Algún campo sin dato,1,574725c60c268aed6be337546eac4182773137e785534572c241b617dbf42acb,26/06/2023 02:42:48,ESCANER
11184,"Quetzaltenango",9,"Cantel",14,1498,380,55,21,7,5,55,9,5,25,39,0,0,5,32,258,7,3,268,0,268,--,380,112,258,268,268,Algún campo sin dato,1,d243fc07ff54fd9945f8cdb5e598aeef4b920da3afaf2ed8de9ff7f9f062dc4c,26/06/2023 01:09:34,ESCANER
11185,"Quetzaltenango",9,"Cantel",14,1498,236,30,11,12,3,42,6,4,13,19,0,0,2,16,158,5,0,163,0,163,--,236,73,158,163,163,Algún campo sin dato,1,e14b0c17531abe223f73edbfd85497cf9c68fdee1316dbb2f4fc04010a9f79bb,25/06/2023 23:31:51,ESCANER
11186,"Quetzaltenango",9,"Cantel",14,1498,235,36,12,4,5,41,2,0,10,15,0,1,0,6,132,2,1,135,0,135,--,235,100,132,135,135,Algún campo sin dato,1,2a9eaf96b629bc4a1dcd633449a9955c8f4587e7e745d7bb96ecfbac47946f16,25/06/2023 22:56:14,ESCANER
11187,"Quetzaltenango",9,"Cantel",14,1499,600,53,10,10,7,53,10,3,11,30,4,2,3,22,218,12,5,235,0,235,--,600,365,218,235,235,Algún campo sin dato,1,f909665cbf1a8afe56200d928f107ff12f74e97e4c26e22145cde1489d1bdccb,25/06/2023 23:55:36,ESCANER
11188,"Quetzaltenango",9,"Cantel",14,1499,412,27,6,10,2,29,3,5,10,18,3,2,3,12,130,5,2,137,0,137,--,412,275,130,137,137,Algún campo sin dato,1,a82208fde47cf0796625c631bd9a353e64da221bf52576a0efb3c666938b3d1c,25/06/2023 22:38:10,ESCANER
11189,"Quetzaltenango",9,"Cantel",14,1499,412,17,5,3,1,20,5,0,8,15,0,0,0,9,83,1,1,85,0,85,--,412,327,83,85,85,Algún campo sin dato,1,8a0765c824e40d95e7eeaaa26e3ea8ed2e4477480ba5ac817087ccde33e00931,25/06/2023 22:56:46,ESCANER
