TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
113,113,100.0000,113,100.0000,0,41492,29457,70.9944

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VAMOS,U R N G - MAIZ,MLP,TODOS,VICTORIA,VIVA,CCN,WINAQ,UR,PR,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17593,"Quiché",14,"Nebaj",13,2673,290,22,73,37,0,0,24,1,8,3,0,0,0,0,168,2,2,172,0,172,0,290,115,168,172,172,,1,02d09c8aa958ad0155c7215e1ef8c8c4cf55f0e7eca62ff813d8743d258e7f23,25/06/2023 22:42:59,ESCANER
17594,"Quiché",14,"Nebaj",13,2673,290,17,63,33,1,1,26,1,10,3,0,1,0,7,163,3,2,168,0,168,0,290,122,163,168,168,,1,d5c69fd050227a60d22854b5b7abbc762be3f3c8993d07b4b85bc16124e6891e,26/06/2023 00:10:12,ESCANER
17595,"Quiché",14,"Nebaj",13,2674,400,46,119,62,2,0,48,0,14,1,0,0,0,4,296,5,7,308,0,308,--,400,92,296,308,308,Algún campo sin dato,1,4fd142a4123b7277d8ef8e72ab3362c29a11c3e2da4d231b403cd6c66675d30a,26/06/2023 00:36:49,ESCANER
17596,"Quiché",14,"Nebaj",13,2674,400,43,121,61,1,0,49,3,12,4,0,1,0,1,296,8,20,324,0,324,--,400,76,296,324,324,Algún campo sin dato,1,0273372c51eaf085272c38bcf25d398bc3a1fff7e604a8e058621bb510286808,25/06/2023 22:54:51,ESCANER
17597,"Quiché",14,"Nebaj",13,2674,400,50,111,58,0,0,58,0,17,0,2,0,4,4,304,6,10,320,0,320,0,400,80,304,320,320,,1,2ff61ca2a16aded5e1e11491044ec9c2a646858fc17505b4a931ff7993776cb5,26/06/2023 02:04:57,ESCANER
17598,"Quiché",14,"Nebaj",13,2674,400,38,94,91,3,2,46,0,19,0,1,2,0,4,300,3,19,322,0,322,--,400,78,300,322,322,Algún campo sin dato,1,cf673212bf1cb50c7795baef0510d85ab88d4f3aff47f270c47b1ab31690f3bc,26/06/2023 04:47:00,ESCANER
17599,"Quiché",14,"Nebaj",13,2674,400,37,95,58,0,1,48,1,6,2,1,0,0,2,251,5,2,258,0,258,--,400,142,251,258,258,Algún campo sin dato,1,2de0fedbac37b9f0cd19553a2d6aa367cd5de2b18e0332c3d855a8d8d15a0878,26/06/2023 00:23:41,ESCANER
17600,"Quiché",14,"Nebaj",13,2674,400,38,97,56,3,2,34,1,12,3,0,0,0,7,253,6,6,265,0,265,--,397,132,253,265,265,Algún campo sin dato,1,4d0d80fc51a9bc941dc708ecc7084ddaab520454dbabd4eef157ee7bd8f3fcc9,26/06/2023 00:28:01,ESCANER
17601,"Quiché",14,"Nebaj",13,2674,400,39,76,55,0,1,54,1,16,4,2,1,2,7,258,5,3,266,0,266,0,392,126,258,266,266,,1,12e8f66d6321c0421d56abebd33d46f337f6e23e181f462cc25185d324e3e874,25/06/2023 23:11:22,ESCANER
17602,"Quiché",14,"Nebaj",13,2674,234,25,49,28,0,1,21,1,5,1,1,0,0,1,133,3,2,138,0,138,--,234,96,133,138,138,Algún campo sin dato,1,c8ec1ea4340da891149d285d7a8d07d5a4fef34d6e7feacf5f52abea0c1740d6,25/06/2023 21:35:55,ESCANER
17603,"Quiché",14,"Nebaj",13,2674,234,18,32,24,0,1,15,0,8,1,0,0,0,2,101,0,0,101,0,101,--,234,133,101,101,101,Algún campo sin dato,1,1182cd598d4e80d92ce0a6c688eb360782dc55ab957dcd5de81b432329f2543b,26/06/2023 01:55:35,ESCANER
17604,"Quiché",14,"Nebaj",13,2675,202,16,71,29,2,0,24,1,1,2,0,1,0,0,147,3,7,157,0,157,0,202,45,147,157,157,,1,26a67bfa372926cfdeb5719f0fb2260d83b3b2a20f7dd50840eefe87d6b48519,25/06/2023 22:35:15,ESCANER
17605,"Quiché",14,"Nebaj",13,2675,201,21,40,24,1,0,29,0,3,1,1,0,0,1,121,3,3,127,0,127,0,201,74,121,127,127,,1,bac67a7399df761b203b8c78ae7861b05828253896fe8c74d00dc671ae541c8f,25/06/2023 22:24:28,ESCANER
17606,"Quiché",14,"Nebaj",13,2676,400,38,112,50,4,1,53,3,13,3,0,0,0,5,282,9,12,303,0,303,--,400,97,282,303,303,Algún campo sin dato,1,45916b0ad019afbd82aa5bdf948a390e4d059e9d86835bf78909d93ad59f0198,26/06/2023 02:37:55,ESCANER
17607,"Quiché",14,"Nebaj",13,2676,332,27,90,35,0,1,43,3,12,1,1,1,1,5,220,3,3,226,0,226,--,332,106,220,226,226,Algún campo sin dato,1,bd03cb580b98a915b84bf782a4ca6a794b5f652fb418fa89cadbd484c6db7a6f,25/06/2023 23:17:22,ESCANER
17608,"Quiché",14,"Nebaj",13,2676,331,18,76,34,0,0,52,3,9,0,0,0,0,4,197,9,5,211,0,211,1,331,120,196,210,210,Sumas Asentadas sin cuadrar,1,44a5f9a637b50d514856b356503c5cbe584b74c9be04434911b6ee44894df3af,25/06/2023 22:49:07,ESCANER
17609,"Quiché",14,"Nebaj",13,2677,380,25,160,49,0,0,38,1,5,1,0,0,0,0,279,12,13,304,0,304,--,380,76,279,304,304,Algún campo sin dato,1,a43128cc26cd0ab34497d8a4cbbae3b4e90f7a4f400267d835b301a158969d80,26/06/2023 00:36:45,ESCANER
17610,"Quiché",14,"Nebaj",13,2677,380,32,175,36,0,4,27,1,3,1,0,0,0,0,279,2,7,288,92,380,--,380,92,279,288,380,Algún campo sin dato,1,5e432b1fb6c1f1f9e748c4e98744ad99fceea4be04fc305b6f90387ddadf6786,26/06/2023 02:14:20,ESCANER
17611,"Quiché",14,"Nebaj",13,2677,380,27,164,62,2,2,47,2,4,3,1,0,1,1,316,8,6,330,0,330,0,376,46,316,330,330,,1,ab00b9757d33fcd127919c9bf5fa7ad37d6105de71ea0b40ffe383f0c7c24f8e,26/06/2023 01:45:58,ESCANER
17612,"Quiché",14,"Nebaj",13,2677,380,22,172,60,1,2,39,0,5,1,0,1,0,0,303,6,7,316,0,316,--,380,64,303,316,316,Algún campo sin dato,1,f1c75661a9ee1cf18093bf1ffe7aae73867b6340e185bbbffdfa3b6e21ecd2f5,26/06/2023 01:32:33,ESCANER
17613,"Quiché",14,"Nebaj",13,2677,380,34,155,30,2,1,26,1,6,2,1,--,--,--,258,5,2,265,0,265,1,380,115,258,265,265,Algún campo sin dato,1,f64254d87b11df373d93d812bfce0b9e199b1769faff64de3979be4a82d6045e,26/06/2023 01:16:26,ESCANER
17614,"Quiché",14,"Nebaj",13,2677,380,25,157,37,0,0,30,0,6,3,0,0,0,1,259,2,8,269,0,269,--,380,111,259,269,269,Algún campo sin dato,1,e211d030d1164aea56d68d9d20285e347c93125a092d166d8c3d3f9ef1622599,26/06/2023 00:39:16,ESCANER
17615,"Quiché",14,"Nebaj",13,2677,333,22,118,36,0,1,17,1,6,2,0,0,0,1,204,1,0,205,0,205,--,333,128,204,205,205,Algún campo sin dato,1,f71fae512ea20689d2745212ffa1132a14f0335264177e8c898a369bd4258b4b,26/06/2023 00:51:16,ESCANER
17616,"Quiché",14,"Nebaj",13,2677,333,24,108,31,0,0,27,1,2,1,1,0,0,0,195,1,3,199,0,199,--,333,134,195,199,199,Algún campo sin dato,1,f481f73458ad22dc77944458a4abf2360e3b7f11f1a3bc076faa4c4d0d971ae9,26/06/2023 00:43:59,ESCANER
17617,"Quiché",14,"Nebaj",13,2678,380,34,156,58,0,3,11,0,6,0,1,0,0,11,280,4,7,291,0,291,0,380,89,280,291,291,,1,0ff67148c3ba9311f105f56ec2d8e19c2a0d43960d30f4c6ebcae24cb0d1f4fe,26/06/2023 00:19:56,ESCANER
17618,"Quiché",14,"Nebaj",13,2678,380,28,165,35,0,8,12,1,8,1,0,0,0,9,267,1,17,285,1,286,--,380,94,267,285,286,Algún campo sin dato,1,53a1fccddf7d79ab5904911499406b0a3f7cd0c1e57787ac690a3a6e28651eb5,26/06/2023 03:01:42,MOVIL
17619,"Quiché",14,"Nebaj",13,2678,380,45,141,60,0,6,13,0,14,0,0,3,0,6,288,2,19,309,0,309,--,380,71,288,309,309,Algún campo sin dato,1,2a6950226251ff76106f83b100415d95992eb987d96f5e47eb6ac06e5c357f0f,26/06/2023 00:24:58,ESCANER
17620,"Quiché",14,"Nebaj",13,2678,380,33,130,39,0,4,10,0,7,0,1,0,0,7,231,0,4,235,0,235,--,350,145,231,235,235,Algún campo sin dato,1,b8de58fc5f8babb3bd01cbfd62b1d0df5e02a83d25aa248d2e7626332f4425d6,26/06/2023 00:22:33,ESCANER
17621,"Quiché",14,"Nebaj",13,2678,380,29,123,51,0,4,8,0,13,0,0,0,0,8,236,3,6,245,0,245,--,380,135,236,245,245,Algún campo sin dato,1,f08439d8524edbb9e3189a1e4d669bdf5abdaa43b5415176fd9bea13c927ef65,26/06/2023 00:55:29,ESCANER
17622,"Quiché",14,"Nebaj",13,2678,199,22,70,29,0,1,6,0,4,0,0,0,0,3,135,0,1,136,0,136,--,199,63,135,136,136,Algún campo sin dato,1,252961242cd6b8254c4b2fc5bd66be82e68e1ff983e707b90bd9132bf45c054d,25/06/2023 21:06:01,ESCANER
17623,"Quiché",14,"Nebaj",13,2678,198,18,60,20,0,2,5,0,6,0,0,0,0,1,112,1,2,115,0,115,0,195,80,112,115,115,,1,eb6c491bf95f467f92613bb9fa913142f34643c941a79d0ce1d9788d26001fae,25/06/2023 22:56:57,ESCANER
17624,"Quiché",14,"Nebaj",13,2679,380,42,105,33,1,1,30,2,10,2,1,0,0,42,269,11,13,293,0,293,--,380,87,269,293,293,Algún campo sin dato,1,e1f5218f46aa3f82db1adde0525778ba287084319d20a2f749429d5686adfd24,26/06/2023 05:01:14,ESCANER
17625,"Quiché",14,"Nebaj",13,2679,380,30,118,35,0,3,40,1,13,0,0,0,0,43,283,11,11,305,0,305,0,380,75,283,305,305,,1,3d56ada1386f5bef4eff0b19e530f41ad2a2df2a403dd0fb50b3a3ec1998caa9,26/06/2023 04:42:56,ESCANER
17626,"Quiché",14,"Nebaj",13,2679,380,45,90,71,3,3,19,0,26,1,0,2,0,36,296,7,5,308,0,308,0,380,72,296,308,308,,1,493ad4ce5a65d3ebec5c0de362140b78753dadec87a76591fed03ca82a8c7e5a,26/06/2023 04:49:01,ESCANER
17627,"Quiché",14,"Nebaj",13,2679,380,37,114,50,4,1,33,0,14,3,0,0,0,38,294,9,9,312,0,312,0,380,68,294,312,312,,1,2f4a3de882323adfa237af67aa2fc08fafd26b097113560a6eab3a932ecee7c1,26/06/2023 04:39:02,ESCANER
17628,"Quiché",14,"Nebaj",13,2679,380,27,95,37,1,3,39,0,15,1,0,0,0,37,255,2,7,264,0,264,0,380,116,255,264,264,,1,99e249c605cd399bca608bd10a90276e1bcd19532412e05cc1ff4cfd639a3427,26/06/2023 00:56:21,ESCANER
17629,"Quiché",14,"Nebaj",13,2679,380,30,96,32,5,7,36,2,10,2,0,0,1,25,246,2,3,251,0,251,--,381,130,246,251,251,Algún campo sin dato,1,05aab7c09e562101695d6c8e631bf56c0f001a606ac8e3a4ee8b2dcdb6ccccf5,26/06/2023 01:04:13,ESCANER
17630,"Quiché",14,"Nebaj",13,2679,380,23,79,30,0,0,29,1,8,7,0,0,0,35,212,4,4,220,0,220,0,380,157,212,220,220,,1,aa4876008a5a7707715265c40b5026e8256458c70da9cce8d5c6ad0c1c96d3f8,26/06/2023 04:52:31,ESCANER
17631,"Quiché",14,"Nebaj",13,2679,250,26,58,39,1,0,16,0,4,0,0,0,1,24,169,0,0,169,0,169,--,250,81,169,169,169,Algún campo sin dato,1,49ab16e490b8c9d974d5cd823074685d83233b091ef9c02b2b5a94a62835a752,26/06/2023 01:18:42,ESCANER
17632,"Quiché",14,"Nebaj",13,2679,249,13,41,36,2,1,22,0,7,1,0,0,0,22,145,3,1,149,0,149,--,249,100,145,149,149,Algún campo sin dato,1,89e49f1a9197a959c419ece3d2d990ec5cd190a60bc44cdbf97797b02a23c44a,26/06/2023 00:56:50,ESCANER
17633,"Quiché",14,"Nebaj",13,2680,380,45,169,44,1,0,2,0,26,0,0,0,2,3,292,4,6,302,0,302,0,380,78,292,302,302,,1,0816e5b290f789d6edf48f894ac364fb69f55ce3680c8779b5531ddc40e97d9a,26/06/2023 00:21:57,ESCANER
17634,"Quiché",14,"Nebaj",13,2680,380,39,142,78,0,0,7,0,28,0,0,0,3,0,297,3,2,302,0,302,0,380,78,297,302,302,,1,b5644446ed4556e6af6019a5236b68b0b4d3693cad219954f64dbc158c0a9a21,26/06/2023 00:11:08,ESCANER
17635,"Quiché",14,"Nebaj",13,2680,380,41,142,65,0,0,6,0,8,1,0,0,0,0,263,0,7,270,0,270,0,380,110,263,270,270,,1,d7654bd59dd01837360954ecfd81ebef3620ecd87234f49310f2bb5ee2d1ed76,25/06/2023 22:16:56,ESCANER
17636,"Quiché",14,"Nebaj",13,2680,357,25,109,40,0,0,2,0,12,2,0,0,0,1,191,1,10,202,0,202,0,357,155,191,202,202,,1,09edde27613050b3dc12cdb4ba64a2a05fd521878185a1ce761c72c8ee6ed5c5,25/06/2023 23:20:43,ESCANER
17637,"Quiché",14,"Nebaj",13,2680,357,38,109,58,0,0,7,0,14,0,0,0,0,0,226,0,1,227,0,227,0,357,130,226,227,227,,1,e3c4ebbc3648513f4ab74217960d4e087e31c3d1f0f1a19ecf86505c9d021f81,26/06/2023 00:59:25,ESCANER
