TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
63,63,100.0000,63,100.0000,0,23399,13836,59.1307

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,COCIECH,UNE,COCIEC,COCERNA,VALOR UNIONISTA,COCIEAR,CABAL,MLP,U R N G - MAIZ,VICTORIA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18333,"Baja Verapaz",15,"Rabinal",3,2805,342,73,36,6,3,1,28,6,1,3,0,0,157,7,1,165,0,165,--,342,177,157,165,165,Algún campo sin dato,1,a6112133aa0b76ac2a627fc4efcc05bfc849498cd1bf3f9da378f33c4937488e,25/06/2023 21:42:35,ESCANER
18334,"Baja Verapaz",15,"Rabinal",3,2805,341,56,42,7,1,1,25,1,0,2,0,0,135,1,2,138,0,138,--,341,203,135,138,138,Algún campo sin dato,1,338f0b07b83739c3c7163c625b8305ea907ac2e734433bda9564eab76b5f8d48,25/06/2023 22:39:13,ESCANER
18335,"Baja Verapaz",15,"Rabinal",3,2806,380,47,81,3,1,3,77,2,0,4,0,0,218,25,6,249,0,249,--,380,131,218,249,249,Algún campo sin dato,1,5ccabae16502ec2f153323c6e34fc3054d0e5090138449a360e805ea4e0d33fe,26/06/2023 01:05:47,ESCANER
18336,"Baja Verapaz",15,"Rabinal",3,2806,348,68,74,8,2,1,65,1,0,1,1,0,221,13,2,236,0,236,1,348,111,221,236,236,,1,58786e40e2dbf7e2cfd6a73807b7ea4eecbbff4d07bd26760b730a6fdeca67cf,26/06/2023 00:58:22,ESCANER
18337,"Baja Verapaz",15,"Rabinal",3,2806,348,59,55,4,1,1,52,0,0,0,0,0,172,5,1,178,0,178,--,348,170,172,178,178,Algún campo sin dato,1,e093330d783aa8d730f3e7c35e496b745190f8c79296d5a30e65b260717641a2,26/06/2023 00:51:58,ESCANER
18338,"Baja Verapaz",15,"Rabinal",3,2807,346,38,121,10,1,2,47,4,0,0,0,0,223,19,4,246,0,246,--,346,100,223,246,246,Algún campo sin dato,1,33e877a75dba20c8d20270a6081cbc4cb0c6b4019749193389638a41194cbda2,25/06/2023 23:23:42,ESCANER
18339,"Baja Verapaz",15,"Rabinal",3,2807,345,17,92,2,5,1,41,0,0,1,1,0,160,4,3,167,0,167,--,345,178,160,167,167,Algún campo sin dato,1,102ebe8a5b150e0d78f096a5eb60e7f1e884539db2a7fb57cdb1bf59a7f96592,25/06/2023 23:46:27,ESCANER
18340,"Baja Verapaz",15,"Rabinal",3,2808,380,65,49,2,16,2,63,2,0,2,0,0,201,14,5,220,0,220,--,380,160,201,220,220,Algún campo sin dato,1,5e507d7fccda801675e055429b5cf9e13668e1af77d85e4423187696496abc5a,25/06/2023 23:37:39,ESCANER
18341,"Baja Verapaz",15,"Rabinal",3,2808,380,56,66,5,11,2,75,3,0,2,0,0,220,16,3,239,--,--,--,380,141,220,239,239,Algún campo sin dato,1,d791a94c83047d931d09427ccf7d6d42e2bd62bb1a0ca9e20b8c6deba7c4546d,26/06/2023 00:21:29,ESCANER
18342,"Baja Verapaz",15,"Rabinal",3,2808,380,71,58,2,16,3,52,3,2,1,0,1,209,22,4,235,0,235,--,380,145,209,235,235,Algún campo sin dato,1,70b711ca12520a84819bf0ce2313ec6dc2dd21e0b08ba4dbce677adfe1b1a913,26/06/2023 00:40:08,ESCANER
18343,"Baja Verapaz",15,"Rabinal",3,2808,380,58,70,3,12,1,60,3,0,0,0,0,207,11,2,220,0,220,--,380,160,207,220,220,Algún campo sin dato,1,2798872cf393359b9a5016652088d27ba9502222ed723373783a2b506e186ee3,26/06/2023 02:46:50,ESCANER
