TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
133,133,100.0000,132,99.2481,1,49066,30260,61.6720

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VIVA,VAMOS,VALOR UNIONISTA,WINAQ,URNG-MAIZ SEMILLA,TODOS,UR,PPN,PR,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16732,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,37,54,39,76,5,6,8,5,1,1,1,2,235,16,3,254,0,254,--,400,146,235,254,254,Algún campo sin dato,1,05f222874cd57659a8985eae592fed193dc7cb79be6e0493d0267e6117fabb22,26/06/2023 01:29:33,ESCANER
16733,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,28,80,42,67,2,8,5,2,2,1,3,4,244,16,2,262,0,262,--,400,138,244,262,262,Algún campo sin dato,1,37fa6cfe01262bfdf13cb09cc1e9c74c1f68a158be289a11091e2968c233750a,25/06/2023 23:16:01,ESCANER
16734,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,40,53,28,57,3,7,10,2,1,0,1,2,204,20,0,224,0,224,--,399,175,204,224,224,Algún campo sin dato,1,0a9a52454ea75a2df49aa83ffe6ffb872c3f704bdf0476416b96ef62ade44c13,25/06/2023 22:38:04,ESCANER
16735,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,29,66,34,73,0,2,0,3,0,0,0,2,219,12,3,--,--,--,--,380,166,209,224,224,Sumas Asentadas sin cuadrar,1,a3839d4ce6e045922a2597f3b6dab2b7cb2a1565c71a1a148c7577f3350ef0a5,26/06/2023 00:29:51,ESCANER
16736,"Quiché",14,"Santa Cruz Del Quiché",1,2507,400,39,49,38,57,11,6,13,2,2,1,1,3,226,0,2,226,0,226,2,399,173,222,224,224,Sumas Asentadas sin cuadrar,1,3d7daa1b98f6118fd586cd2cf9dfc2f5a1be906a674ce3fb8edcc8df9cc0cc50,26/06/2023 00:17:51,ESCANER
16737,"Quiché",14,"Santa Cruz Del Quiché",1,2508,400,37,54,33,93,0,5,22,4,0,0,2,3,253,4,--,257,120,377,--,377,120,253,257,377,Algún campo sin dato,1,3f21df9497bb627e91284d76badf02fde1dc109c5e1cecc508ad6dc3781b434f,25/06/2023 23:32:22,ESCANER
16738,"Quiché",14,"Santa Cruz Del Quiché",1,2508,400,48,64,37,82,--,7,10,2,--,--,2,2,259,9,--,268,--,268,--,399,131,254,263,263,Sumas Asentadas sin cuadrar,1,f093ff941d0084c1de2577068050f3218f5686fb482ce0874007ddbe8cbf80b4,26/06/2023 00:23:58,ESCANER
16739,"Quiché",14,"Santa Cruz Del Quiché",1,2508,372,49,58,32,54,1,8,13,--,2,--,--,2,219,6,0,225,0,225,--,369,144,219,225,225,Algún campo sin dato,1,90fdc544d16ae95c9ff7018354769dfe7752314a85eea02b3eb765107045d69e,26/06/2023 04:11:29,ESCANER
16740,"Quiché",14,"Santa Cruz Del Quiché",1,2508,372,31,46,35,62,0,9,12,3,1,1,1,0,201,3,0,204,0,204,0,372,168,201,204,204,,1,0cf6fb1af4f9ee0f545ef99d27df8d02c0e898fa72d803c5fc299626af9e2e61,26/06/2023 00:09:41,ESCANER
16741,"Quiché",14,"Santa Cruz Del Quiché",1,2509,400,32,86,40,80,3,6,6,7,3,3,1,2,269,9,3,281,0,281,--,380,99,269,281,281,Algún campo sin dato,1,98966de03cc9f051137ad98a7090a6b81f7811d5f74ac18ab1db5f209a20ce5a,26/06/2023 00:25:23,ESCANER
