TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
56,56,100.0000,56,100.0000,0,21017,11315,53.8373

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,PODEMOS,VAMOS,UNE,VOS,AZUL,BIEN,ELEFANTE,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12005,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1616,380,48,16,66,13,1,5,4,2,5,160,29,3,192,0,192,--,380,188,160,192,192,Algún campo sin dato,1,43a604fa5b6665fdf08f78f07c724791233c74f7b538f22374e21a3a1883435f,25/06/2023 23:38:11,ESCANER
12006,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1616,289,25,10,40,13,1,2,11,0,4,106,11,1,118,0,118,--,289,171,106,118,118,Algún campo sin dato,1,ba0c1a87e0da7825444cababb664f185f3519df959e03f557cf925ebee81538e,25/06/2023 23:23:16,ESCANER
12007,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1616,288,35,20,38,9,2,1,4,0,3,112,7,2,121,0,--,--,288,167,112,121,121,Algún campo sin dato,1,786a68a7cab1490f1c6681fe7d92c168a1909f3fe53bf99924861f730361a647,25/06/2023 21:54:58,ESCANER
12008,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1617,380,56,37,50,19,0,4,5,0,32,203,19,5,227,0,227,--,380,153,203,227,227,Algún campo sin dato,1,aa19abd7374fa9786d84f028f2b46aee876f61e738c6a29069ff48b19b77f245,25/06/2023 23:25:02,ESCANER
12009,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1617,380,53,35,70,15,0,4,3,0,32,212,35,6,253,0,253,--,380,127,212,253,253,Algún campo sin dato,1,33d6d9c8410292ea2b7b095c337e8092de170bd50c8059334b8bd933cc148ced,25/06/2023 23:34:31,ESCANER
12010,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1617,380,68,39,46,13,1,6,1,1,37,212,26,3,241,0,241,--,380,139,212,241,241,Algún campo sin dato,1,db8562f0ab15c556c23a0fd50f8a35a6f0c12e86b829de9d24f149a36ed11d0b,25/06/2023 23:09:28,ESCANER
12011,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1617,380,50,24,44,20,0,1,1,1,36,177,18,4,199,0,199,--,380,181,177,199,199,Algún campo sin dato,1,64ae2ff31d0193b1923766e9197a7daee74c0fd53c7e9a1e1ea157d0cdc79c13,25/06/2023 22:52:43,ESCANER
12012,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1617,347,53,21,47,9,0,3,1,0,41,175,7,4,186,0,186,--,347,161,175,186,186,Algún campo sin dato,1,f099938a8da52f5a10fe0316a32fe8c19250d0d93ca9013216b621bcc4b91f5b,26/06/2023 00:43:57,ESCANER
12013,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1617,346,58,32,22,10,2,1,1,1,32,163,4,0,163,0,0,--,343,180,159,163,163,Sumas Asentadas sin cuadrar,1,aaf71a448b95754b8f512fefe008df42f796d1726fe481f035abec05c1534f11,26/06/2023 00:47:23,ESCANER
12014,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1618,380,28,66,29,11,2,5,4,1,6,152,23,5,180,0,180,--,380,200,152,180,180,Algún campo sin dato,1,ff871640b310eff26d73367c9cec53ea50fa461404f9184c9c6b202cb41ed11f,25/06/2023 23:43:50,ESCANER
