TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
38,38,100.0000,38,100.0000,0,14683,10277,69.9925

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,AZUL,BIEN,PIN,VAMOS,UNE,U R N G - MAIZ,PODEMOS,PPN,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12869,"Retalhuleu",11,"San Felipe",5,1756,380,28,76,5,100,0,65,4,12,0,2,7,299,9,3,311,0,311,--,380,69,299,311,311,Algún campo sin dato,1,527b53dcc3f84f76760857d956bee3adadd0eeccbb260aad6f61674a2bd66b8d,26/06/2023 01:23:27,ESCANER
12870,"Retalhuleu",11,"San Felipe",5,1756,354,28,59,3,96,0,50,5,7,0,4,2,254,7,4,265,0,265,--,354,89,254,265,265,Algún campo sin dato,1,2b4776bc8298c3b9dc662bae5ac4d7b477d2f32c106e2240f833f6d969175b26,26/06/2023 01:43:47,ESCANER
12871,"Retalhuleu",11,"San Felipe",5,1756,353,32,60,2,119,0,42,3,1,1,3,5,268,3,2,273,84,357,--,357,84,268,273,357,Algún campo sin dato,1,76aeee516db46d3ebb2a15990b1e26fe2c993f44f43a6b3cbed0070bd7316891,26/06/2023 01:40:09,ESCANER
12872,"Retalhuleu",11,"San Felipe",5,1757,380,40,97,6,69,1,55,2,0,0,2,3,275,11,3,289,0,289,1,384,94,275,289,289,,1,9cd3d8f6cd92a5f0fd56db53cf19e5fe4ab6a1698d5ef9ff1a01d039d3c4673c,26/06/2023 02:13:13,ESCANER
12873,"Retalhuleu",11,"San Felipe",5,1757,380,44,84,3,76,0,51,0,0,1,1,3,263,14,5,282,0,282,--,380,98,263,282,282,Algún campo sin dato,1,5abf305873ef4345f4ce3c56731c9954acbea9879989b39a0c72485eb22a72fc,26/06/2023 01:46:20,ESCANER
12874,"Retalhuleu",11,"San Felipe",5,1757,380,43,102,4,81,0,48,1,5,0,3,3,290,5,2,297,0,297,--,380,83,290,297,297,Algún campo sin dato,1,f831121795c8941e7333d20ddc3b2dfea353c7289313f34c5aa56e0c51e2099d,26/06/2023 02:17:24,ESCANER
12875,"Retalhuleu",11,"San Felipe",5,1757,211,20,52,0,44,0,26,2,2,0,0,1,147,1,0,148,0,148,6,211,57,147,148,148,,1,345aba35a246211b3ece98bf63bbd1c2a586cc6bdabc59a2362e43d69ae01173,26/06/2023 01:54:54,ESCANER
12876,"Retalhuleu",11,"San Felipe",5,1757,210,28,52,1,43,1,26,0,2,1,1,2,157,1,1,159,0,159,--,210,51,157,159,159,Algún campo sin dato,1,2df3d953c4fb7eee2a6cfa1104eb01ffa59e8012d682fdf4874a710b23ee6663,26/06/2023 02:08:58,ESCANER
12877,"Retalhuleu",11,"San Felipe",5,1758,591,43,41,3,59,2,35,0,4,2,4,4,197,8,2,207,0,207,--,591,383,197,207,207,Algún campo sin dato,1,43d69ca6d4aa8dadd0ec08ae3cc1be1a94a8e90450fc8bfd82181fce6106147a,26/06/2023 00:59:47,ESCANER
12878,"Retalhuleu",11,"San Felipe",5,1758,590,31,37,2,52,0,18,2,3,0,2,5,152,9,6,167,0,167,6,590,423,152,167,167,,1,3e8bb4916bdf6849d1b4ac071299f966f01eb31e5f38707a9989d9da279dfe2e,26/06/2023 01:51:40,ESCANER
