TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
209,209,100.0000,209,100.0000,0,79314,41849,52.7636

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,UR,AZUL,MLP,CAMBIO,VAMOS,VALOR,VIVA,UNE,SEMILLA,BIEN,PPN,VICTORIA,PHG,FCN-NACION,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23101,"Jalapa",21,"Jalapa",1,3631,400,36,12,2,3,2,4,36,64,6,16,17,6,0,5,1,0,210,8,2,220,0,220,--,--,--,210,220,220,Algún campo sin dato,1,e4e7bb3dc7181609f9955a9d6b31b1910477b69efe6ef37405448284ed78fc42,25/06/2023 23:17:00,ESCANER
23102,"Jalapa",21,"Jalapa",1,3631,400,48,19,2,6,1,0,33,86,2,9,22,5,3,5,1,0,242,8,1,0,0,251,--,401,147,242,251,251,Algún campo sin dato,1,2816eeaf03488fd49b48a0362ba570ea6f37ddc1083445d7911b9730146443aa,25/06/2023 23:53:12,ESCANER
23103,"Jalapa",21,"Jalapa",1,3631,400,38,13,5,6,6,2,38,68,9,17,19,1,0,5,0,0,227,3,0,230,0,230,--,400,170,227,230,230,Algún campo sin dato,1,0e186b45dc464329428f89bf2cac8750cf7e1a2118bb204d257a51c654f6c522,25/06/2023 23:05:51,ESCANER
23104,"Jalapa",21,"Jalapa",1,3631,400,30,10,8,0,7,3,32,66,5,22,12,2,2,2,0,0,201,8,4,213,0,213,--,396,171,201,213,213,Algún campo sin dato,1,8eacda71fa5a30020da774f0d07b0cc4ba73cbeb6234cc14e1c6467f33211c3f,26/06/2023 02:38:12,ESCANER
23105,"Jalapa",21,"Jalapa",1,3631,359,15,11,4,1,4,2,30,53,5,24,11,1,1,4,0,0,166,3,1,170,0,170,--,359,189,166,170,170,Algún campo sin dato,1,9e9f8b2a0a83bfdd71d9e26d3299e78fc6b7fa977572e2999943c6a900a5a9ca,25/06/2023 22:04:42,ESCANER
23106,"Jalapa",21,"Jalapa",1,3631,358,19,9,3,3,2,2,17,50,3,15,8,2,2,6,0,0,141,7,2,150,0,150,--,358,208,141,150,150,Algún campo sin dato,1,f1eebedf1197bb8ebcd4433b74e9ba9052ce93c6569190938730f49ecbdaedf6,26/06/2023 00:00:31,ESCANER
23107,"Jalapa",21,"Jalapa",1,3632,202,20,8,2,2,1,2,16,37,2,8,9,3,0,2,0,0,112,4,1,117,0,117,--,202,85,112,117,117,Algún campo sin dato,1,526163019e677524460886639e69a0dcd40018b906c291e0a6b4a43c34042142,25/06/2023 22:09:50,ESCANER
23108,"Jalapa",21,"Jalapa",1,3633,400,34,14,6,10,2,2,38,73,0,27,15,4,1,8,0,0,234,23,2,259,0,259,--,400,141,234,259,259,Algún campo sin dato,1,b8eba6242cde08877f968c37b38e376ac507f523ca0b898d2ab14d6654f4f186,26/06/2023 02:33:18,ESCANER
23109,"Jalapa",21,"Jalapa",1,3633,400,34,16,12,10,3,1,45,68,0,15,12,8,0,10,2,1,257,18,1,276,0,276,--,400,143,237,256,256,Sumas Asentadas sin cuadrar,1,3e9502a2e491719abab491ab5f0ef061ad577be483c3a779f124bf8aae07e96a,26/06/2023 00:28:05,ESCANER
23110,"Jalapa",21,"Jalapa",1,3633,400,39,27,5,2,1,3,35,78,1,23,21,6,3,7,2,0,253,14,2,269,0,269,--,400,131,253,269,269,Algún campo sin dato,1,a4719518339049ba56c27355043df4b807b390201adfd043acdd52edbb715dff,26/06/2023 01:57:50,ESCANER
