TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
45,45,100.0000,45,100.0000,0,17281,11497,66.5297

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,MLP,UNE,AZUL,PPN,VIVA,CABAL,UR,PODEMOS,VICTORIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5655,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,583,400,57,28,87,23,26,16,10,4,5,4,260,13,2,275,0,275,--,400,125,260,275,275,Algún campo sin dato,1,acef2fb1507406609b22f2020b055be1b159204f89e6666054d092fdf2ff4aec,26/06/2023 01:42:41,ESCANER
5656,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,583,400,53,38,89,15,20,9,12,6,2,1,245,12,1,258,0,258,--,400,142,245,258,258,Algún campo sin dato,1,fd2b87967edd885dcc66bb55d9b3ea566c7fc280a74e824287c7d283ba7e440a,26/06/2023 02:14:56,ESCANER
5657,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,583,400,66,40,83,17,19,12,11,9,2,4,263,17,1,281,0,281,--,400,119,263,281,281,Algún campo sin dato,1,ab23d0a38b19bddba2167fc0eae75259f5792f584223a5afdfe957349380e901,26/06/2023 02:31:38,ESCANER
5658,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,583,400,55,27,101,29,35,11,11,6,1,4,280,8,3,291,0,291,--,392,101,280,291,291,Algún campo sin dato,1,6a36c25198226aff7e1fab4f7afdbaa7be178c58827ed0e37fa7b5233bd974bc,26/06/2023 01:38:56,ESCANER
5659,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,583,400,48,35,98,21,38,11,8,8,4,3,274,5,0,279,3,282,--,400,118,274,279,282,Algún campo sin dato,1,4fd8a186b382ed62c321aa251cc022921928fc276d8ad5c2a9f82ad11d972ee4,26/06/2023 01:27:24,ESCANER
5660,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,584,400,65,31,88,18,31,7,13,3,3,2,261,9,1,271,--,271,1,400,129,261,271,271,Algún campo sin dato,1,d8c909c5e65540f7b486c7e989a6ec91e1f222269e3ad03ceb6cf587dfe03c2d,26/06/2023 05:08:55,ESCANER
5661,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,584,400,50,40,75,17,24,17,5,6,2,3,239,18,1,258,0,258,--,400,142,239,258,258,Algún campo sin dato,1,b3b29e1742075d9aecb6f7e1d2d6e74f2e7261335efe7595ba1f1b7f0c63b919,26/06/2023 02:22:01,ESCANER
5662,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,584,400,58,35,97,15,29,16,8,0,1,1,260,4,0,264,--,264,--,396,132,260,264,264,Algún campo sin dato,1,177b8fa3f52c4f1c44ac32104e827ec138315143f262cd7c10134a52056fdfd7,26/06/2023 01:32:11,ESCANER
5663,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,584,400,74,38,96,14,23,12,8,4,2,4,275,14,0,289,0,289,--,400,111,275,289,289,Algún campo sin dato,1,affd90e80db8ebdf40f8d1ef6600f4ba373280fb4c9097e3ffed1e8c9f87865d,26/06/2023 01:28:56,ESCANER
5664,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,584,400,62,37,84,25,27,10,11,6,1,2,265,11,0,276,0,276,--,400,124,265,276,276,Algún campo sin dato,1,5bfd38cb1c0315f6763bdfdd1f8c5ad4ce8f95affd50631b5cdcbc941c35907d,26/06/2023 00:44:59,ESCANER
5665,"Sacatepéquez",2,"San Lucas Sacatepéquez",8,584,400,31,38,104,36,25,4,24,10,1,8,281,13,1,281,0,295,--,400,105,281,295,295,Sumas Asentadas sin cuadrar,1,1e2d9a2520eb2db69f78507d37730d72a6e21151cd2dc4a92cdc6d839bf369a3,26/06/2023 04:07:26,ESCANER
