TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,32958,15234,46.2224

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,MLP,CABAL,BIEN,UR,AZUL,TODOS,PHG,CAMBIO,VIVA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16521,"Huehuetenango",13,"Aguacatán",27,2457,400,27,80,8,23,2,13,1,25,0,0,6,1,186,10,3,199,1,200,0,400,200,186,199,200,,1,6ca41d86d7fe26e55db5fb8a8925db31b9f9e632a157298c9abbe9c2a6f8f07e,26/06/2023 01:24:10,ESCANER
16522,"Huehuetenango",13,"Aguacatán",27,2458,400,30,46,10,20,10,19,0,10,0,0,16,0,161,6,1,168,--,--,--,--,--,161,168,168,Algún campo sin dato,1,b5297d33a18b88e085d24e8dbeea6213a773c0923eb811980455746823e7951f,25/06/2023 22:56:35,ESCANER
16523,"Huehuetenango",13,"Aguacatán",27,2458,400,34,58,13,20,6,18,1,6,0,0,13,0,169,2,1,172,0,172,--,398,228,169,172,172,Algún campo sin dato,1,e0a69688f0a48952a0a7d100b09a48f4571297cffdfe62f463e144bc202bf148,26/06/2023 01:10:31,ESCANER
16524,"Huehuetenango",13,"Aguacatán",27,2458,400,24,68,10,21,10,16,0,10,0,0,15,1,175,15,5,195,0,195,--,400,205,175,195,195,Algún campo sin dato,1,f82d75eb19ceafed2a0da9e8333a344c4c8c41c15106fe1c955c31ec9962962e,25/06/2023 23:46:59,ESCANER
16525,"Huehuetenango",13,"Aguacatán",27,2458,400,44,79,6,16,6,20,2,11,0,0,10,1,195,5,3,203,0,203,--,400,197,195,203,203,Algún campo sin dato,1,21a4c75f8af85300cdd9b23e64de3e5294b88204eee72bcea2aeefd32348e813,26/06/2023 00:52:40,ESCANER
16526,"Huehuetenango",13,"Aguacatán",27,2458,400,31,43,2,22,5,11,0,11,0,0,16,0,141,5,2,148,0,148,--,400,252,141,148,148,Algún campo sin dato,1,fabad9461adfb43c6cdb8e537558d487543ea346051b5d7660ab5c4d66c30317,25/06/2023 23:10:37,ESCANER
16527,"Huehuetenango",13,"Aguacatán",27,2458,400,26,52,15,14,3,26,1,13,1,0,22,0,173,1,3,177,0,177,--,400,223,173,177,177,Algún campo sin dato,1,222cc95d079d5af3fe1a0589ee2b19b9968fff875d89912e404c6f34d11d60e2,26/06/2023 01:20:26,ESCANER
16528,"Huehuetenango",13,"Aguacatán",27,2458,400,26,51,9,10,9,23,0,4,0,0,18,0,151,8,0,159,0,159,--,400,241,150,158,158,Sumas Asentadas sin cuadrar,1,2129ccb52c6a382be3650e6b8b9f77971ca40efafdab016fc5af37e4d14e40a8,25/06/2023 23:24:06,ESCANER
16529,"Huehuetenango",13,"Aguacatán",27,2458,400,24,41,13,25,6,22,0,9,0,0,18,0,158,3,1,162,0,162,--,400,238,158,162,162,Algún campo sin dato,1,6e470c91eece1d702f39069a4a46c7ef1af95d7550221011a17e8dccca1c3adf,26/06/2023 00:22:38,ESCANER
16530,"Huehuetenango",13,"Aguacatán",27,2458,326,17,32,9,11,9,6,0,4,0,0,12,2,102,4,1,107,0,107,--,326,219,102,107,107,Algún campo sin dato,1,6f84924babe2c61b8e97d75cf57e867fa46bdb2d792e375d07ed8b7079336d8c,25/06/2023 23:00:59,ESCANER
16531,"Huehuetenango",13,"Aguacatán",27,2458,326,36,33,8,11,4,13,0,10,0,0,12,0,127,6,7,140,0,140,--,326,186,127,140,140,Algún campo sin dato,1,8634f83d9c20c9ff7c6bb0d393ea12570403ebd6772812ca20ceed36b30c1842,25/06/2023 23:34:43,ESCANER
16532,"Huehuetenango",13,"Aguacatán",27,2459,380,41,84,4,4,2,--,4,5,--,--,3,--,147,12,9,168,--,168,--,380,212,147,168,168,Algún campo sin dato,1,ebdf4709db4304b43ee6916eb2d2d7bce67f91a7a3ebff2c7369ad524dd508b0,26/06/2023 00:12:39,ESCANER
16533,"Huehuetenango",13,"Aguacatán",27,2459,380,21,100,7,3,2,2,2,11,1,0,7,0,156,7,8,171,0,171,--,380,209,156,171,171,Algún campo sin dato,1,3e1bf847c619a46c74f0c1a41686a3ec971dca6e10360a71418fb8d2261e3937,25/06/2023 23:21:19,ESCANER
16534,"Huehuetenango",13,"Aguacatán",27,2459,380,27,93,4,5,1,1,5,6,2,0,5,0,149,7,15,171,0,171,--,380,209,149,171,171,Algún campo sin dato,1,f9629b42ee684232531635e35c9fcb0423423baea084ef13735717929a135e23,25/06/2023 23:39:04,ESCANER
16535,"Huehuetenango",13,"Aguacatán",27,2459,380,22,81,2,2,3,0,0,7,0,1,5,0,123,7,7,137,0,137,--,380,243,123,137,137,Algún campo sin dato,1,3b7f3dbd7d16c1df857afa69581acc65b1dc4b349daff75b0935fc397c321cde,25/06/2023 23:38:05,ESCANER
16536,"Huehuetenango",13,"Aguacatán",27,2459,337,22,67,5,1,3,0,0,3,0,0,2,0,103,6,1,110,0,110,--,337,227,103,110,110,Algún campo sin dato,1,9343be69f6bf4fb64162194c4c56e3a075de94c78dbfae25908dbab4ed9a99fc,25/06/2023 22:56:41,ESCANER
16537,"Huehuetenango",13,"Aguacatán",27,2459,337,16,60,4,3,3,2,0,2,0,0,5,0,95,4,5,104,0,104,1,337,233,95,104,104,,1,02c599d386b029f2e1384aa6a988c1a5ad00be65999dc42ea8bb88366606f6ab,25/06/2023 23:02:30,ESCANER
16538,"Huehuetenango",13,"Aguacatán",27,2460,380,33,104,2,21,0,3,1,7,0,0,15,0,186,15,8,209,0,209,--,380,171,186,209,209,Algún campo sin dato,1,6ec57fde56c400a86e7ca6954b41ed541bff8da1c688c9f41ca902c8dc1d6314,25/06/2023 23:25:34,ESCANER
16539,"Huehuetenango",13,"Aguacatán",27,2460,380,23,137,1,23,3,10,4,3,1,0,6,--,211,18,10,239,0,239,--,380,141,211,239,239,Algún campo sin dato,1,11c024e07aeb99e8f91f617f6687363aecfc89d8b635511f583a96dd7a357bf7,26/06/2023 00:36:12,ESCANER
16540,"Huehuetenango",13,"Aguacatán",27,2460,380,33,131,2,6,2,4,2,5,0,0,15,0,200,3,7,210,0,210,1,380,169,200,210,210,,1,fb0ec31ff5ec74cedc0ce5d9792c34dcc521e06c3add5def012c74360c517746,26/06/2023 00:25:50,ESCANER
16541,"Huehuetenango",13,"Aguacatán",27,2460,376,25,100,0,5,1,4,1,5,0,0,12,0,153,7,2,162,0,162,--,376,214,153,162,162,Algún campo sin dato,1,b6744324f9542ce9ae81de0a034de59bae0ad31ca011148b5c29af289124b8f9,25/06/2023 23:33:42,ESCANER
16542,"Huehuetenango",13,"Aguacatán",27,2460,376,14,89,0,7,0,3,0,5,1,0,14,0,133,3,1,137,0,137,--,376,239,133,137,137,Algún campo sin dato,1,548988ba608a399e4961e8e4a358ea7983ec791aa9d80f9ef05d700b4a3c8595,25/06/2023 22:51:15,ESCANER
16543,"Huehuetenango",13,"Aguacatán",27,2461,380,38,105,4,1,1,0,0,6,0,1,6,0,162,8,9,179,0,179,--,380,201,162,179,179,Algún campo sin dato,1,5548fa4917bd8512f43d708d1334bd6dc09ee06855c4031c04df7e4c316a8d0c,26/06/2023 01:19:18,MOVIL
16544,"Huehuetenango",13,"Aguacatán",27,2461,380,46,108,5,2,4,0,1,7,0,0,5,0,178,10,4,192,0,192,--,380,188,178,192,192,Algún campo sin dato,1,c110044f20bb17a0bd731f690c7d70239c794ff5a0c0f6889e7a514d3577a519,25/06/2023 23:57:29,ESCANER
16545,"Huehuetenango",13,"Aguacatán",27,2461,380,37,114,6,1,3,0,2,3,0,1,3,0,170,6,5,181,0,181,--,380,119,170,181,181,Algún campo sin dato,1,424cb8363118bdebe06d9c9cee43e44f7304ec32e5fa54a5d52c7160173c8b40,26/06/2023 03:17:57,ESCANER
16546,"Huehuetenango",13,"Aguacatán",27,2461,380,39,87,1,5,2,0,0,0,0,0,3,4,141,8,3,152,1,153,--,380,227,141,152,153,Algún campo sin dato,1,a10e386b4774850b4e3d03fb224634bd6eb1af408b3c7629b03f95617a61e0b7,26/06/2023 01:39:42,ESCANER
16547,"Huehuetenango",13,"Aguacatán",27,2461,380,28,69,4,3,2,6,2,3,0,0,3,1,121,8,0,129,0,129,--,380,251,121,129,129,Algún campo sin dato,1,32b753661717ac0f0dac48cab5311645e6a3a4fab9376ab7ffc773f7255b7ee4,26/06/2023 01:31:57,ESCANER
16548,"Huehuetenango",13,"Aguacatán",27,2461,262,26,70,1,2,2,3,0,1,0,0,1,0,106,1,1,108,0,108,--,262,154,106,108,108,Algún campo sin dato,1,2facc2444aa247db59c8d6847a874ba9390c33266cc8b1121b78868b13ea57e4,26/06/2023 03:51:12,ESCANER
16549,"Huehuetenango",13,"Aguacatán",27,2461,261,18,61,3,1,1,1,0,1,0,0,1,0,87,3,2,92,0,92,--,261,169,87,92,92,Algún campo sin dato,1,cea6d4c8beac27b24541f83fee7a8baba5fbddf52871fab757e4f33396577dc6,25/06/2023 23:10:24,ESCANER
16550,"Huehuetenango",13,"Aguacatán",27,2462,380,17,118,2,6,6,5,3,8,1,0,12,0,178,16,2,196,0,196,--,380,184,178,196,196,Algún campo sin dato,1,1ba6bc363d0e40bcac042c418d23d99c30f50d0ff2e2ed283217d8479d4c4d1e,26/06/2023 00:20:57,ESCANER
16551,"Huehuetenango",13,"Aguacatán",27,2462,380,36,75,4,10,8,3,1,18,0,0,16,0,171,4,18,193,0,193,--,380,187,171,193,193,Algún campo sin dato,1,f49a1cd107e351c861d1e67ffe906dad24284f70c4ae0d45a1aae983da3fcccb,25/06/2023 22:37:15,ESCANER
16552,"Huehuetenango",13,"Aguacatán",27,2462,380,26,80,1,11,3,2,0,8,1,0,24,1,157,8,2,167,0,167,--,380,213,157,167,167,Algún campo sin dato,1,d8b85d528b3a06dd27331ac36fb3174bdc55f6bd973f9b4e6b037ff0a8e8b69a,25/06/2023 23:32:56,ESCANER
16553,"Huehuetenango",13,"Aguacatán",27,2462,380,15,69,6,3,7,8,1,13,0,1,11,0,134,4,2,140,0,140,--,--,--,134,140,140,Algún campo sin dato,1,340d09fac0f5e534d9b677fd5893dfff6e38de966bff4032023eed6378c8c1ae,25/06/2023 23:23:56,ESCANER
16554,"Huehuetenango",13,"Aguacatán",27,2462,257,16,44,3,3,7,4,0,12,0,0,5,0,94,2,1,97,0,97,--,257,160,94,97,97,Algún campo sin dato,1,03c207faaca90bfb925b2355b082e56472b8c87b41527311dfee52d044730641,25/06/2023 21:51:59,ESCANER
16555,"Huehuetenango",13,"Aguacatán",27,2462,257,7,57,2,4,6,1,1,3,0,1,18,0,100,2,1,103,0,103,--,257,154,100,103,103,Algún campo sin dato,1,f16deb02f9b2d9456a8c447cca6845e989ad46d5db82179e4bdd1655a06a71d8,25/06/2023 23:45:54,ESCANER
16556,"Huehuetenango",13,"Aguacatán",27,2463,380,28,74,2,6,7,8,4,8,0,1,17,0,155,22,10,187,--,--,--,380,193,155,187,187,Algún campo sin dato,1,33d372a46f50b397a3c45848565ab113f3f08c899e12124433af29639f663fb9,26/06/2023 03:43:49,MOVIL
16557,"Huehuetenango",13,"Aguacatán",27,2463,380,24,104,9,5,2,17,1,13,0,0,43,0,218,12,13,243,0,243,--,380,137,218,243,243,Algún campo sin dato,1,0548ff8c2a727bdcd25d17926e5ee2955c1805e1d996674168d7b2bf58e68705,26/06/2023 04:01:33,ESCANER
16558,"Huehuetenango",13,"Aguacatán",27,2463,380,16,56,4,3,4,14,0,6,2,0,22,0,127,11,2,140,0,140,--,380,240,127,140,140,Algún campo sin dato,1,3f920a9818ce5fa9177266541629ec4d8fc1527136c0987c496bee397a525a38,26/06/2023 03:51:59,MOVIL
16559,"Huehuetenango",13,"Aguacatán",27,2463,214,13,31,3,1,2,16,0,5,0,0,22,0,93,2,0,95,0,95,--,214,119,93,95,95,Algún campo sin dato,1,2814c8fa286543945742913abd8e62ed2bae00c18c17d416bd9978cd0567ce8f,26/06/2023 03:45:29,MOVIL
16560,"Huehuetenango",13,"Aguacatán",27,2463,213,0,44,0,4,4,9,0,3,0,0,18,0,101,4,--,105,--,--,--,213,108,82,86,86,Sumas Asentadas sin cuadrar,1,35f52232a805ed6e78dcc6dc99703932eb52b255c28d6ddf7389b0979b65fbff,25/06/2023 23:47:42,MOVIL
