TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
39,39,100.0000,39,100.0000,0,14365,8424,58.6425

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VAMOS,MLP,VICTORIA,U R N G - MAIZ,ELEFANTE,MI FAMILIA,CABAL,PHG,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18525,"Baja Verapaz",15,"San Jerónimo",7,2846,380,22,57,33,1,48,12,5,3,2,0,12,195,20,4,219,0,219,--,380,161,195,219,219,Algún campo sin dato,1,68956446931d52272a6f56c063e27e58b5bd1aac75c3af7bf4742cc9d719a274,25/06/2023 22:31:25,ESCANER
18526,"Baja Verapaz",15,"San Jerónimo",7,2846,380,38,46,35,1,46,15,5,6,5,0,7,204,15,4,223,0,223,--,380,157,204,223,223,Algún campo sin dato,1,6edd5a567fc6db67f11756a94f042623b5fccdbc401fb401b384920192462132,25/06/2023 22:40:40,ESCANER
18527,"Baja Verapaz",15,"San Jerónimo",7,2846,380,22,44,42,1,34,14,7,5,1,1,9,180,16,6,202,0,202,--,380,178,180,202,202,Algún campo sin dato,1,2a2e169b6e23e6705983064fe269ac47d58b0bac12b49e93033a83506b973f04,25/06/2023 23:18:37,ESCANER
18528,"Baja Verapaz",15,"San Jerónimo",7,2846,336,15,46,37,1,32,12,9,6,7,0,7,172,2,1,175,0,175,--,336,161,172,175,175,Algún campo sin dato,1,14a6c4fc0994a3311cd32b74ad7741b7e9746a2b40ee78e90f76511c0cae2a09,26/06/2023 02:06:21,ESCANER
18529,"Baja Verapaz",15,"San Jerónimo",7,2846,335,16,42,26,0,33,10,3,0,1,0,5,136,3,2,141,0,141,--,335,194,136,141,141,Algún campo sin dato,1,62843035be7556d37d8255b94d26276964db840a4291ded0f28a15d4bc3766e4,25/06/2023 23:13:14,ESCANER
18530,"Baja Verapaz",15,"San Jerónimo",7,2847,380,47,45,39,7,4,57,2,0,2,2,29,234,16,4,254,0,254,--,380,126,234,254,254,Algún campo sin dato,1,fc56cb01c106ecd57cfef107913f985af830092decb1e8b5393f22f6a8c578f2,26/06/2023 00:29:50,ESCANER
18531,"Baja Verapaz",15,"San Jerónimo",7,2847,380,49,33,46,4,4,58,4,0,2,0,25,225,29,2,256,0,256,1,380,123,225,256,256,,1,c0d2df2dca77a9aaa5d589492dd06a11c0d6c6f11ae6337d6835c7f57a774b95,26/06/2023 01:59:54,ESCANER
18532,"Baja Verapaz",15,"San Jerónimo",7,2847,380,33,22,34,4,5,74,3,0,6,0,28,209,20,1,230,0,230,--,380,150,209,230,230,Algún campo sin dato,1,7b82e8af4242fbf45e68ab90c1b46575b73c3e7e55f168063344615decaf1159,25/06/2023 23:22:38,ESCANER
18533,"Baja Verapaz",15,"San Jerónimo",7,2847,276,33,14,23,3,2,35,4,0,2,0,19,135,8,0,143,0,143,--,276,133,135,143,143,Algún campo sin dato,1,4e4bbc364418a12290470d61364d1052ba764c97560c9bf66837ff75d759937f,25/06/2023 23:36:47,ESCANER
18534,"Baja Verapaz",15,"San Jerónimo",7,2847,276,30,18,26,2,1,52,2,1,1,0,11,144,9,1,154,0,154,--,276,119,144,154,154,Algún campo sin dato,1,f2353f27177dadb5061f5b6863de0a0fcb4b10e3d1ef8fb56604907e8b2e3557,26/06/2023 00:38:02,ESCANER
18535,"Baja Verapaz",15,"San Jerónimo",7,2848,568,25,15,23,1,7,12,7,2,7,0,21,120,8,2,130,0,130,--,568,438,120,130,130,Algún campo sin dato,1,58422be5529af144d2d2d79d9c90ecfe8449bda4ba4d289d445fd13abb4fc029,25/06/2023 23:33:15,ESCANER
