TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
40,40,100.0000,40,100.0000,0,15087,7879,52.2237

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,AZUL,VAMOS,UNE,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8568,"Santa Rosa",6,"Casillas",4,1011,308,20,0,0,96,7,0,123,8,1,132,0,132,--,308,176,123,132,132,Algún campo sin dato,1,c6fe79f6091e89aec35d9f4a328ad160e5bd06c0e109328416bdeb67b32d1e9b,25/06/2023 23:22:40,ESCANER
8569,"Santa Rosa",6,"Casillas",4,1012,380,66,2,2,53,57,1,181,22,8,211,0,211,--,380,169,181,211,211,Algún campo sin dato,1,749c9d9d0707f9de78b31b771c688f8eef9e930130a78d1cf01997f854885f58,26/06/2023 00:04:14,ESCANER
8570,"Santa Rosa",6,"Casillas",4,1012,380,63,0,2,69,50,3,187,14,4,205,0,205,--,380,175,187,205,205,Algún campo sin dato,1,1ff84dfd79baadcf94c93293920a6b2a726dc82e8dcfd6c42cf595f3958f0208,26/06/2023 00:22:58,ESCANER
8571,"Santa Rosa",6,"Casillas",4,1012,380,64,0,2,57,47,2,172,21,11,204,0,204,--,380,176,172,204,204,Algún campo sin dato,1,02a23ec31c85d304cc983477f4244f879cbb2c9034caeb4b3f386cc7b7036ec3,25/06/2023 22:47:12,ESCANER
8572,"Santa Rosa",6,"Casillas",4,1012,380,66,0,5,49,66,2,188,21,4,213,0,213,--,380,167,188,213,213,Algún campo sin dato,1,8bb9c011dfe11b93a3b536ad4f74ec9dd9254c9c7fa1004e04637ef31db81a36,26/06/2023 00:10:05,ESCANER
8573,"Santa Rosa",6,"Casillas",4,1012,380,49,0,3,53,52,0,157,14,1,172,0,172,--,380,208,157,172,172,Algún campo sin dato,1,6227537083cb2e00ff44b01b3cfc81badd582fac06b17a8179d16906a8c5c0cd,25/06/2023 23:15:21,ESCANER
8574,"Santa Rosa",6,"Casillas",4,1013,380,46,0,4,42,59,0,151,11,4,166,0,166,--,380,214,151,166,166,Algún campo sin dato,1,e67163072f65d57d89e81b35adc3a825deae6465f8e5ce360c8322f6ffd0923c,25/06/2023 23:38:42,ESCANER
8575,"Santa Rosa",6,"Casillas",4,1013,227,42,0,2,26,37,2,109,1,0,110,0,110,--,227,117,109,110,110,Algún campo sin dato,1,3be8289956e90af36007bc55def9e44e6f94a01c4e14cb6e3bc2988161095582,25/06/2023 23:24:55,ESCANER
8576,"Santa Rosa",6,"Casillas",4,1013,227,29,0,1,19,22,0,71,7,0,78,0,78,--,227,149,71,78,78,Algún campo sin dato,1,640cd5e2e7a4258958026703a4373d5428d778c4a980917bf05cecc69ae198f5,25/06/2023 23:32:58,ESCANER
8577,"Santa Rosa",6,"Casillas",4,1014,380,115,0,7,45,33,4,204,35,2,241,0,241,--,380,139,204,241,241,Algún campo sin dato,1,74796e0206ef7bb210e0e9c57b8f759e2723629c3b197db4448c320ffdf2d092,26/06/2023 01:33:17,ESCANER
8578,"Santa Rosa",6,"Casillas",4,1015,328,78,1,6,55,34,0,174,17,8,199,0,199,--,328,129,174,199,199,Algún campo sin dato,1,52180b3840ad8462206d5d4b98221d8b29abaae561b83de8d33fa52ebe656c76,26/06/2023 01:38:59,ESCANER
8579,"Santa Rosa",6,"Casillas",4,1015,327,70,0,2,27,41,0,140,10,3,153,0,153,--,327,174,140,153,153,Algún campo sin dato,1,bb525ad4c6f24eac87ac16ad905687fff1120cc0d5a58a4cb81808e1b7e76abd,26/06/2023 01:45:05,ESCANER
8580,"Santa Rosa",6,"Casillas",4,1016,581,52,6,0,15,15,2,90,9,3,102,0,102,--,577,475,90,102,102,Algún campo sin dato,1,22aa1e7aefb868f649adc12aef42cd0b83442e8677f471940f13c3a9933e6beb,25/06/2023 22:09:16,ESCANER
8581,"Santa Rosa",6,"Casillas",4,1016,580,17,0,0,6,4,0,27,2,1,30,0,30,--,580,550,27,30,30,Algún campo sin dato,1,05a86c12b8ec21916c82e0c993f36070d92cc94ccc9d884e23d9762b4a52c3d3,25/06/2023 21:34:17,ESCANER
