TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
112,112,100.0000,112,100.0000,0,40118,21953,54.7210

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,UNE,CABRA,MLP,VAMOS,CABAL,TODOS,PPN,PHG,PODEMOS,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20918,"Petén",17,"Sayaxché",10,3254,380,3,42,57,1,58,1,9,1,0,1,1,2,176,33,10,219,0,219,--,380,161,176,219,219,Algún campo sin dato,1,e077df93f7ac45e36bdb7303e12a63d424a15e6bf590cb407797e71d82f12dc2,26/06/2023 01:19:44,ESCANER
20919,"Petén",17,"Sayaxché",10,3254,380,1,53,69,1,62,0,8,0,1,2,0,2,199,30,3,232,0,232,--,380,148,199,232,232,Algún campo sin dato,1,0e4dfab841af102742acefcd31d1182626928f753a97786df6f6401d5bd228e2,26/06/2023 01:15:28,ESCANER
20920,"Petén",17,"Sayaxché",10,3254,380,3,56,54,1,53,1,12,0,1,0,1,2,184,29,6,219,0,219,--,380,161,184,219,219,Algún campo sin dato,1,e9a0ed82a1d1430a40f17b25ccba9705aab0e2681fb0e895598010fdc25e2fb5,26/06/2023 04:34:40,ESCANER
20921,"Petén",17,"Sayaxché",10,3254,372,3,53,55,1,66,0,4,0,1,0,0,0,183,13,0,196,0,196,--,369,173,183,196,196,Algún campo sin dato,1,be1d647f68a46a76ab2452d655c824d4a4f72080f4affd9f50a3ec781d8fe955,26/06/2023 02:04:14,ESCANER
20922,"Petén",17,"Sayaxché",10,3254,371,6,42,56,2,47,1,4,1,2,0,1,1,163,18,3,184,0,184,--,368,184,163,184,184,Algún campo sin dato,1,c264b0d9c384a589b7f80af5754f284c77513a665135ad76152b3e163b675638,26/06/2023 01:50:32,ESCANER
20923,"Petén",17,"Sayaxché",10,3255,380,7,73,11,0,44,1,22,11,0,0,1,0,170,21,7,198,0,198,--,380,182,170,198,198,Algún campo sin dato,1,31a499835323009eaa60758c395d2827090e674867b71188dc9f00c1b426c7a9,26/06/2023 01:37:36,ESCANER
20924,"Petén",17,"Sayaxché",10,3255,380,12,61,6,0,54,2,29,5,0,0,0,0,169,17,11,197,0,197,--,370,173,169,197,197,Algún campo sin dato,1,aeddd4ff61793d6d1c0073deb3b31753c3c76a79bf1bd7de94fc6c5bc6ef54fc,25/06/2023 21:40:27,ESCANER
20925,"Petén",17,"Sayaxché",10,3255,380,5,68,12,2,47,2,38,0,1,0,1,1,177,19,7,203,0,203,--,377,174,177,203,203,Algún campo sin dato,1,8f2cbad02b7abac28d2ec3ba5104a3fef2bcfb891a51679e7cdefe03a0eef1fc,26/06/2023 01:19:40,ESCANER
20926,"Petén",17,"Sayaxché",10,3255,380,10,69,11,1,46,1,37,3,1,0,0,1,180,12,8,200,0,200,--,379,179,180,200,200,Algún campo sin dato,1,242b14d391d77a972003e66dd6cda7e25a890e20b7117b2671105c5adb8a707a,26/06/2023 02:06:14,ESCANER
20927,"Petén",17,"Sayaxché",10,3255,380,9,70,7,0,45,1,24,10,2,1,0,1,170,4,12,186,14,200,0,320,180,170,186,200,,1,e3d9627bd865a7fb98c4f59e3044f78ee96cf6e646537d7997665e08d7cf7c38,25/06/2023 22:49:06,ESCANER
20928,"Petén",17,"Sayaxché",10,3255,380,8,53,5,0,34,1,42,5,1,1,0,8,158,24,4,186,0,186,--,377,191,158,186,186,Algún campo sin dato,1,0e80c70d98fb475ee964ec97d9cddc7f814f0ca9538e495407e9fba7cd275950,26/06/2023 00:01:06,ESCANER
20929,"Petén",17,"Sayaxché",10,3255,380,13,55,8,0,36,4,22,3,2,1,0,1,145,19,9,173,0,145,--,380,207,145,173,173,Sumas Asentadas sin cuadrar,1,b9a2af92db5ffb2ec78023735788adad2269b7ae6f277d881f0fc208a4e5d955,26/06/2023 00:13:31,ESCANER
20930,"Petén",17,"Sayaxché",10,3255,380,11,50,7,0,37,3,30,4,0,0,1,0,143,10,1,154,0,154,0,377,223,143,154,154,,1,85831aec1294a7bb0d8e33d7f69383458601469aeebd33db481a95895c6997cc,25/06/2023 23:03:12,ESCANER
20931,"Petén",17,"Sayaxché",10,3255,311,8,39,7,1,49,0,39,5,2,0,0,1,151,7,0,158,0,158,--,311,153,151,158,158,Algún campo sin dato,1,c1267c0dd3b8cdf382bfe722b5799e84277c8eb87d1e20a797802087b85f5346,25/06/2023 23:23:51,ESCANER
20932,"Petén",17,"Sayaxché",10,3255,311,6,38,6,0,25,1,27,5,0,0,0,1,109,6,3,118,0,118,--,308,190,109,118,118,Algún campo sin dato,1,3d589b83a60153fd7b9962401a418c072d035f408982f7a039f6a66229badc7a,25/06/2023 20:56:58,ESCANER
20933,"Petén",17,"Sayaxché",10,3256,380,8,42,70,4,59,3,4,3,4,0,1,0,198,30,7,235,0,235,0,380,145,198,235,235,,1,15585708c9681a69625e967001d2e32cf5562109c01292b8a40f3d0a857c20f5,26/06/2023 02:14:41,ESCANER
