TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
71,71,100.0000,71,100.0000,0,25822,13287,51.4561

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CREO,PHG,UNE,CABAL,TODOS,AZUL,VICTORIA,VIVA,PODEMOS,PPN,VALOR,WINAQ,UR,MLP,ELEFANTE,BIEN,PODER,VAMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13794,"San Marcos",12,"Tajumulco",9,1926,380,38,0,41,22,13,3,8,0,0,4,0,0,2,0,5,1,0,3,140,28,6,174,0,174,--,380,206,140,174,174,Algún campo sin dato,1,08e143f8ed84e5c7e94e2ce36a40b30848a0ba11c15de636f0693f76703596a6,26/06/2023 05:55:28,ESCANER
13795,"San Marcos",12,"Tajumulco",9,1926,364,34,3,43,18,11,1,0,5,1,0,0,0,0,0,1,1,0,7,125,29,7,161,0,161,0,364,203,125,161,161,,1,eab5d4a578ed2b494971b12d38c184b671b182b8ee06555458c6a74a793ae5b1,26/06/2023 06:01:50,ESCANER
13796,"San Marcos",12,"Tajumulco",9,1926,364,34,0,46,24,10,0,3,2,3,2,1,0,1,0,1,0,0,2,129,14,12,155,0,155,0,361,206,129,155,155,,1,a0b0dba612d84db229628f3edbe52ddaf3dadf8d3d287499a59595455602f9c8,26/06/2023 06:15:13,ESCANER
13797,"San Marcos",12,"Tajumulco",9,1927,380,5,0,37,42,40,0,8,1,2,0,2,0,0,2,1,1,0,3,188,29,13,230,0,230,--,377,147,144,186,186,Sumas Asentadas sin cuadrar,1,09b009cfd3129042fb62e78cc1ab8ab03c0a78230d29fc8f42007e848be431d6,26/06/2023 02:58:08,ESCANER
13798,"San Marcos",12,"Tajumulco",9,1927,380,1,33,46,32,56,1,11,2,0,10,2,0,0,0,0,2,0,10,213,38,15,266,0,266,--,377,111,206,259,259,Sumas Asentadas sin cuadrar,1,7c116e7ff7d83cf19ca229884bb0976800b56b8c37a74359ffcc2f19bd3bdfb0,26/06/2023 04:30:39,ESCANER
13799,"San Marcos",12,"Tajumulco",9,1927,380,5,19,41,31,54,2,9,0,0,9,6,0,0,0,1,0,0,2,172,21,5,205,0,205,--,377,172,179,205,205,Sumas Asentadas sin cuadrar,1,5baf121fa96fc11c0c124447699c51a4170a8a6575dec5e68fb52a013ffca93e,26/06/2023 02:14:55,ESCANER
13800,"San Marcos",12,"Tajumulco",9,1928,380,2,21,20,26,49,2,20,0,0,8,0,0,1,0,0,1,1,3,154,18,10,182,0,182,--,378,196,154,182,182,Algún campo sin dato,1,6b2a97565fd6d5d38f8164dddf524d3ff4868090bd1d25538d76a83c02d9b108,25/06/2023 22:50:19,ESCANER
13801,"San Marcos",12,"Tajumulco",9,1928,314,6,13,23,22,42,1,5,1,2,3,1,0,0,0,0,2,0,1,122,4,4,130,0,130,--,301,171,122,130,130,Algún campo sin dato,1,6e1b700af709232f660d84a4d77377e4f2dcc3e05bd0be64b21d4bcf4c4c2313,26/06/2023 02:19:47,ESCANER
13802,"San Marcos",12,"Tajumulco",9,1928,313,3,21,26,13,46,0,6,0,3,12,0,0,0,0,0,0,1,5,136,13,3,152,0,152,--,310,158,136,152,152,Algún campo sin dato,1,3e8f7c8e7b6531792dc7fd42161a4ebb3d8ee08ad8e0a46c4b8d29a741be69a4,26/06/2023 01:47:07,ESCANER
13803,"San Marcos",12,"Tajumulco",9,1929,380,3,3,67,20,35,2,15,3,5,5,3,0,0,0,0,1,1,4,167,29,5,201,0,201,--,201,179,167,201,201,Algún campo sin dato,1,1b9b4e9141c8d40a1f2f62cf0c3b9677bda25b4221da7730a657dd3be1bb1b26,26/06/2023 04:36:46,ESCANER
13804,"San Marcos",12,"Tajumulco",9,1929,380,12,2,53,13,62,1,24,3,5,7,1,0,3,2,1,0,4,7,200,7,14,221,13,234,--,379,145,200,221,234,Algún campo sin dato,1,fa5b85cf9af776d3b590241160a5b4f7ceb4df898c6bf2bfa725b320ccc9c92d,26/06/2023 04:41:31,ESCANER
13805,"San Marcos",12,"Tajumulco",9,1929,380,8,2,41,13,66,1,21,5,1,3,4,0,1,1,0,0,0,10,177,15,3,195,0,195,--,380,182,177,195,195,Algún campo sin dato,1,3dfe5144ccaebdfea2f8f776b8bdd99d8f854c7c8b59628a2c49b244d1678e24,26/06/2023 04:40:00,ESCANER
13806,"San Marcos",12,"Tajumulco",9,1929,306,2,0,38,15,35,2,5,0,1,2,1,0,2,0,0,0,0,9,112,8,7,127,0,127,--,306,179,112,127,127,Algún campo sin dato,1,3e626da3fb1b5aa55f2a91ea240c488a4f6244c38e413afee19010347fa4883d,26/06/2023 04:54:16,ESCANER
13807,"San Marcos",12,"Tajumulco",9,1929,306,6,2,17,12,25,1,7,1,4,0,2,0,0,0,0,0,0,5,82,3,4,89,10,99,0,305,206,82,89,99,,1,2e0cec8bcb787570f0d3cb5e352fad234bf8322c536c56c2dcdb6a8f9da3f925,26/06/2023 04:28:44,ESCANER
13808,"San Marcos",12,"Tajumulco",9,1930,380,3,4,45,57,76,0,2,1,6,0,4,1,1,1,0,1,0,15,217,9,10,236,0,236,--,380,144,217,236,236,Algún campo sin dato,1,bccd7cb558b4c09d7a1ee035a4382016d57d66e7201ff2e92c28b3512e218c48,26/06/2023 04:01:21,ESCANER
13809,"San Marcos",12,"Tajumulco",9,1930,380,3,2,39,49,92,1,2,0,25,0,1,1,0,0,0,0,0,4,219,15,19,253,0,253,--,380,127,219,253,253,Algún campo sin dato,1,2f473fd3a4bac9c3ada47370867b7913271b01e4881a8aa5f812fd4126ffedae,26/06/2023 04:17:11,ESCANER
13810,"San Marcos",12,"Tajumulco",9,1930,380,6,2,43,67,56,3,3,2,8,1,1,0,1,0,0,0,1,5,199,14,5,218,0,218,--,380,162,199,218,218,Algún campo sin dato,1,a462ea9852eb7da7e52fe41e06e95ad006ad57523751e02af37f92115d1e4041,26/06/2023 04:16:37,ESCANER
13811,"San Marcos",12,"Tajumulco",9,1930,362,5,4,33,52,52,2,5,3,12,1,0,--,1,--,--,--,1,6,177,9,6,192,0,192,--,362,170,177,192,192,Algún campo sin dato,1,5569880146293d96cb12371560359ae023ec1817254e767ea47c34eda39c15ed,26/06/2023 05:53:07,ESCANER
13812,"San Marcos",12,"Tajumulco",9,1930,362,5,6,16,57,49,0,4,1,14,1,1,0,2,0,0,0,0,0,156,5,4,165,0,165,0,362,197,156,165,165,,1,7031aa149eb6e496ff855c2d8b039e48fdfbadd2df7892debcfa61b3683628d0,26/06/2023 05:51:38,ESCANER
13813,"San Marcos",12,"Tajumulco",9,1931,380,33,1,81,28,18,5,5,1,0,2,1,0,0,2,0,3,0,7,187,16,7,210,2,212,--,380,168,187,210,212,Algún campo sin dato,1,bd9d7042448a9f7f6c9f4e9c318205fa6fba4f163517c801b71ec9ac8c295ac6,26/06/2023 07:12:30,ESCANER
13814,"San Marcos",12,"Tajumulco",9,1931,222,22,0,49,10,16,3,3,1,0,0,0,0,0,1,1,1,0,10,117,9,6,132,1,133,0,219,86,117,132,133,,1,6ecab98c223283e727fabacb3dc6976faba2c4495cf6eb74bf790605709fef10,26/06/2023 07:09:34,ESCANER
