TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
73,73,100.0000,73,100.0000,0,28302,21834,77.1464

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR,UNE,MLP,ELEFANTE,VIVA,CAMBIO,CABAL,PPN,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
3482,"Guatemala",1,"San Pedro Sacatepéquez",9,338,400,127,53,51,1,4,57,3,4,6,0,306,12,3,321,0,321,--,400,79,306,321,321,Algún campo sin dato,1,29d9a02e224921922d66e343dae8f63ef1bee63387f8c3518413990892880ba9,25/06/2023 23:19:45,ESCANER
3483,"Guatemala",1,"San Pedro Sacatepéquez",9,338,400,128,51,50,1,8,58,8,5,14,0,323,13,0,336,0,336,0,400,64,323,336,336,,1,0a96506b673b327fe15ae7f99b9cc7a3ccd7c3e7279c8f3cb4d982784a385703,26/06/2023 01:27:48,ESCANER
3484,"Guatemala",1,"San Pedro Sacatepéquez",9,338,400,116,45,56,3,4,58,14,8,5,0,309,6,3,318,0,318,--,400,82,309,318,318,Algún campo sin dato,1,f617075ea3658e89a9766455f1e65cc1298c7b3625194fafd04ea1b5d2bb9f90,26/06/2023 00:08:49,ESCANER
3485,"Guatemala",1,"San Pedro Sacatepéquez",9,338,400,128,52,62,4,2,57,8,3,5,1,322,12,3,337,0,337,--,400,63,322,337,337,Algún campo sin dato,1,4601e22dc1f667ecf783ee5308adca01aadb9c59bcc34b7d980fbd15f599a2f0,26/06/2023 00:29:15,ESCANER
3486,"Guatemala",1,"San Pedro Sacatepéquez",9,338,400,89,54,51,1,5,70,11,4,11,2,298,10,3,311,0,311,--,400,89,298,311,311,Algún campo sin dato,1,68030d84fc094739d55fb8fe6577511a19a3b2d595d67e357de4024ded26ee85,26/06/2023 00:42:36,ESCANER
3487,"Guatemala",1,"San Pedro Sacatepéquez",9,338,400,75,36,49,3,15,118,9,11,16,1,333,3,0,336,0,336,--,400,64,333,336,336,Algún campo sin dato,1,58823accd09d638948047ed67911e3e20575a97017237e3692a609189bb4a4e0,25/06/2023 23:28:02,ESCANER
3488,"Guatemala",1,"San Pedro Sacatepéquez",9,338,400,105,49,60,2,3,88,3,2,6,0,318,3,1,322,0,322,--,400,78,318,322,322,Algún campo sin dato,1,32e4a78b3bbb44924cf80856812cad4a1eedf462a1e123d26568c5c33d4a86ff,25/06/2023 22:57:37,ESCANER
3489,"Guatemala",1,"San Pedro Sacatepéquez",9,338,400,84,31,57,2,6,100,12,3,14,0,309,3,1,313,0,313,--,400,87,309,313,313,Algún campo sin dato,1,676e1c9288536f4912805773b38939543adb2fd8d3f698ad416b9a61079283b1,25/06/2023 23:57:00,ESCANER
3490,"Guatemala",1,"San Pedro Sacatepéquez",9,338,400,116,53,57,1,9,72,5,5,9,0,327,2,1,330,0,330,--,400,70,327,330,330,Algún campo sin dato,1,7047f44b7c522e58c2b7d2a0f4d99a608c575c14b8609d10ad006901a183d03d,25/06/2023 23:43:27,ESCANER
3491,"Guatemala",1,"San Pedro Sacatepéquez",9,338,349,83,42,48,3,3,66,6,1,13,1,266,2,0,268,0,268,--,349,81,266,268,268,Algún campo sin dato,1,36450bc3150600c0634ccfcf7a041a1f22434cb82eb1fc9ec06e197ee31e93da,25/06/2023 23:11:46,ESCANER
3492,"Guatemala",1,"San Pedro Sacatepéquez",9,338,349,90,32,23,3,2,58,9,9,10,2,238,7,0,245,0,245,--,349,104,238,245,245,Algún campo sin dato,1,116a1226c4da65dc1498f6e61faf6b526ccc9899b654d5348c1ec022b0edf3e5,25/06/2023 23:34:41,ESCANER
3493,"Guatemala",1,"San Pedro Sacatepéquez",9,339,400,80,53,50,1,14,77,16,2,8,0,301,15,2,318,0,318,--,400,82,301,318,318,Algún campo sin dato,1,313d3363e6d9671a678fa47cb4146da3a83a6474cfb92be78802ce24a5bc5f52,25/06/2023 23:11:05,ESCANER
3494,"Guatemala",1,"San Pedro Sacatepéquez",9,339,400,69,56,49,5,9,90,14,3,13,0,308,13,0,321,0,321,--,400,79,308,321,321,Algún campo sin dato,1,b76747c8f54f1dcbf20ff0401d594560629eb31c2515077c8e2d1598c5d33997,26/06/2023 00:08:46,ESCANER
3495,"Guatemala",1,"San Pedro Sacatepéquez",9,340,400,86,42,44,1,6,67,9,5,3,0,263,13,3,279,0,279,--,400,121,263,279,279,Algún campo sin dato,1,b8e7c37e30a20931239cca3a0e8fb8e451619b86f4a5d2b65b4c5c9087245a98,25/06/2023 23:34:12,ESCANER
3496,"Guatemala",1,"San Pedro Sacatepéquez",9,340,400,83,56,45,0,8,59,8,2,9,0,270,18,4,292,0,292,--,400,108,270,292,292,Algún campo sin dato,1,32305f41bdf2b798f659e520546ef0c65208bb66ac29c2d948065b0fd6651a6e,26/06/2023 00:15:20,ESCANER
3497,"Guatemala",1,"San Pedro Sacatepéquez",9,340,257,37,31,26,4,2,48,11,2,6,1,168,7,1,176,0,176,--,257,81,168,176,176,Algún campo sin dato,1,cc622b305eef76ea7598b7a385fc487998347c71002641d82748e5d5c4288da5,25/06/2023 21:15:44,ESCANER
