TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
113,112,99.1150,112,99.1150,0,41406,28682,69.2701

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,AZUL,PHG,CABAL,MLP,VIVA,VAMOS,ELEFANTE,U R N G - MAIZ,TODOS,UNE,SEMILLA,PPN,VOS,VALOR,CREO,P A N,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19911,"Alta Verapaz",16,"Cahabón",12,3063,380,31,15,59,9,1,16,74,0,0,0,40,8,10,5,5,0,0,2,275,8,12,295,0,295,--,85,85,275,295,295,Algún campo sin dato,1,7a096af0669930e3545fdf8022fda955ea5752271375a5e97613ed5e9cf8eb96,27/06/2023 14:23:01,MOVIL
19912,"Alta Verapaz",16,"Cahabón",12,3063,380,24,5,52,3,2,16,77,0,1,1,57,14,2,9,1,0,1,0,265,15,20,300,0,300,--,380,80,265,300,300,Algún campo sin dato,1,1d11c25a20aad17936bc6e84a3d780b1a1531dd592e0e2e7660be1c356b8ba05,26/06/2023 11:15:10,MOVIL
19913,"Alta Verapaz",16,"Cahabón",12,3064,380,15,7,45,4,1,15,54,0,0,0,86,10,4,1,4,0,3,1,250,5,10,265,0,265,--,380,115,250,265,265,Algún campo sin dato,1,c1dfdc87e62173abec33f1aba231f639cc21881754817038ef4b06d329fe1110,26/06/2023 18:21:27,MOVIL
19914,"Alta Verapaz",16,"Cahabón",12,3064,380,21,8,36,7,2,26,57,0,1,0,66,14,2,1,5,0,1,2,249,9,11,269,0,269,--,382,113,249,269,269,Algún campo sin dato,1,5ca5a4a6df12025c3264465b28cbda909e7d6eadf63b79b906cbbc55f251ecc2,27/06/2023 14:23:27,MOVIL
19915,"Alta Verapaz",16,"Cahabón",12,3064,380,19,9,56,6,0,15,63,0,1,0,56,7,3,2,4,0,0,1,242,5,7,254,0,254,0,380,126,242,254,254,,1,a4666ef9717ce293fa35388d79d85a1f656e89613e89f4b360cc2453574e0351,27/06/2023 22:27:29,ESCANER
19916,"Alta Verapaz",16,"Cahabón",12,3065,369,24,8,60,2,0,11,81,0,0,1,36,9,2,3,5,0,0,0,242,0,2,244,1,245,--,369,124,242,244,245,Algún campo sin dato,1,4121937779fac446dc71ff8907886aa9c55a50500e71bee965c2483bb79c4b21,26/06/2023 11:03:09,MOVIL
19917,"Alta Verapaz",16,"Cahabón",12,3065,368,14,4,53,12,0,11,64,0,0,0,42,3,1,4,6,0,0,0,214,7,3,224,0,224,--,368,144,214,224,224,Algún campo sin dato,1,7f5119d9510262f40989791fdb7c8456f5577289686dcf0ea0fe42b199b545f4,26/06/2023 12:22:51,MOVIL
19918,"Alta Verapaz",16,"Cahabón",12,3066,380,9,6,37,9,10,10,74,0,1,0,58,9,6,0,33,0,0,2,264,16,5,285,0,285,--,380,95,264,285,285,Algún campo sin dato,1,c60702a8fa32cb7702a6fd1892168a29330aacc93e38b56a26821f5441136416,26/06/2023 11:05:58,ESCANER
19919,"Alta Verapaz",16,"Cahabón",12,3066,380,4,7,46,3,13,21,86,0,1,0,55,2,3,0,37,0,0,0,278,27,4,309,0,309,--,380,71,278,309,309,Algún campo sin dato,1,79eca2fafe170105ae42a8db7ea571649cd845212bad9f350f0dcf8307da6b67,26/06/2023 11:15:43,ESCANER
19920,"Alta Verapaz",16,"Cahabón",12,3066,380,1,2,53,12,1,15,70,0,0,1,45,2,4,2,49,0,0,0,257,18,6,281,0,281,--,380,96,257,281,281,Algún campo sin dato,1,df8e7111fe2fd930158d968fc95390f7e4b5cb975539892c2b217a0167c32f97,26/06/2023 11:41:56,ESCANER
19921,"Alta Verapaz",16,"Cahabón",12,3067,380,11,3,46,9,3,23,96,0,2,1,49,7,2,2,32,0,0,0,286,14,6,306,0,306,--,380,74,286,306,306,Algún campo sin dato,1,d4858974386761e0469b7a40a52d9bd406ace7380d562de3ca2c1490177e18e8,26/06/2023 11:05:23,ESCANER
19922,"Alta Verapaz",16,"Cahabón",12,3067,380,10,4,30,12,2,19,72,0,2,0,52,6,6,0,47,0,0,1,263,27,14,304,0,304,--,377,73,263,304,304,Algún campo sin dato,1,6dd6253e735df6331a8e59756a835b2195602095043909d67dacfb5d37b51be4,26/06/2023 11:13:17,ESCANER
19923,"Alta Verapaz",16,"Cahabón",12,3068,380,5,2,65,11,5,23,57,0,0,0,39,3,4,4,33,0,1,1,253,18,6,277,0,253,--,380,103,253,277,277,Sumas Asentadas sin cuadrar,1,f2a09caa11ffa7c826318d9f5819ba9606febcafdba169107affbfe44118d4b2,26/06/2023 11:19:45,ESCANER
19924,"Alta Verapaz",16,"Cahabón",12,3068,380,3,2,83,15,3,12,78,0,3,0,43,2,7,2,17,1,1,2,274,25,6,305,0,305,--,380,75,274,305,305,Algún campo sin dato,1,006b5c62a02d19d44d900a0a4a08156c34be56138cd8ea9e1e72054de8440149,26/06/2023 12:26:15,ESCANER
19925,"Alta Verapaz",16,"Cahabón",12,3068,380,6,4,56,4,2,18,67,0,1,1,44,4,3,1,37,0,0,1,249,10,6,265,0,265,--,380,115,249,265,265,Algún campo sin dato,1,7c8b78a6cf103082e4c80e6028cc855f221fa2490de13a38b4d3abcbeb9aa7a6,26/06/2023 12:05:59,ESCANER
19926,"Alta Verapaz",16,"Cahabón",12,3069,380,10,3,66,8,3,12,77,0,0,0,46,2,1,0,30,0,0,0,258,8,3,269,2,269,--,377,108,258,269,271,Sumas Asentadas sin cuadrar,1,01db203a2757e3e7c6ef7e1eeb48498dd44edce591110ca80865421af1046338,27/06/2023 11:32:54,ESCANER
19927,"Alta Verapaz",16,"Cahabón",12,3069,380,0,7,47,9,0,18,65,0,0,1,51,2,1,0,34,1,0,1,241,19,9,269,0,269,--,377,108,237,265,265,Sumas Asentadas sin cuadrar,1,42dd839c3fcf08e8346486a8c0cc560eb79f4595558c653270b63fd17fb23826,27/06/2023 13:41:48,ESCANER
19928,"Alta Verapaz",16,"Cahabón",12,3069,380,5,6,49,5,3,9,52,0,2,1,37,5,4,1,39,0,0,2,220,17,8,245,0,245,--,376,131,220,245,245,Algún campo sin dato,1,c8be1cddad86e2a147e6e255f8383d95484c6590eeb8444018c877800b2d6aa2,27/06/2023 13:44:33,ESCANER
19929,"Alta Verapaz",16,"Cahabón",12,3069,380,2,1,63,9,3,14,66,0,0,0,48,2,5,2,26,0,0,1,242,7,4,253,0,253,--,380,127,242,253,253,Algún campo sin dato,1,a41978da2afc7b570655e1058dc87f777367e739f13ae2cda45512e9a4d9af03,27/06/2023 15:14:38,ESCANER
19930,"Alta Verapaz",16,"Cahabón",12,3069,380,2,3,61,8,0,21,56,0,0,0,44,0,9,2,25,0,0,0,231,4,4,239,0,239,--,380,141,231,239,239,Algún campo sin dato,1,29357bf3cac319498af469e1c44f155220f8be758221819d606768425e1b9595,27/06/2023 13:51:33,ESCANER
19931,"Alta Verapaz",16,"Cahabón",12,3069,380,4,2,75,9,3,14,59,0,0,1,32,1,3,0,29,0,0,0,232,6,6,244,0,244,--,380,136,232,244,244,Algún campo sin dato,1,62a48a2e910ff25c510776ab86335101eb0cb3040f4e84527ae28565077ddaff,27/06/2023 13:55:10,ESCANER
19932,"Alta Verapaz",16,"Cahabón",12,3069,380,4,1,48,3,2,18,49,0,0,0,39,2,1,0,26,0,0,0,193,3,3,199,0,199,--,380,181,193,199,199,Algún campo sin dato,1,f49853d88e3b47de3ac0e55d5b024b05b2d7454534335f13302f7dc29d24317b,27/06/2023 13:58:52,ESCANER
19933,"Alta Verapaz",16,"Cahabón",12,3069,274,1,3,40,6,3,8,39,0,0,1,25,1,3,0,23,0,0,1,154,3,3,160,0,160,--,274,114,154,160,160,Algún campo sin dato,1,36290a8eaa253400186437604a0943a29623ae048a9433a33fb9f05156b3d8ae,27/06/2023 14:02:41,ESCANER
19934,"Alta Verapaz",16,"Cahabón",12,3069,273,2,3,29,6,1,10,45,0,1,0,32,1,1,2,25,0,0,0,158,4,4,166,0,166,--,273,107,158,166,166,Algún campo sin dato,1,1d87588dbfe5b2667c83dbce36b5a408b98ac0a426ed4646627f5c6950304770,27/06/2023 14:07:35,ESCANER
19935,"Alta Verapaz",16,"Cahabón",12,3070,380,31,1,47,4,1,10,74,0,4,0,85,7,2,0,11,1,0,2,280,19,14,313,0,313,--,381,68,280,313,313,Algún campo sin dato,1,06f24f10746d5b88856c63bec0b9db7f5b45c131e817a2dff2f72d23af968b53,26/06/2023 11:17:55,MOVIL
19936,"Alta Verapaz",16,"Cahabón",12,3070,380,16,3,27,4,0,10,101,0,0,0,89,16,0,2,13,0,0,0,281,24,11,316,--,--,--,380,64,281,316,316,Algún campo sin dato,1,d687c834369d93801142347744555e54c39573bd57e36f8ea9fd42b0e263eeae,26/06/2023 12:24:09,MOVIL
19937,"Alta Verapaz",16,"Cahabón",12,3070,380,24,4,42,0,1,18,71,5,3,0,82,7,1,0,23,0,1,2,284,19,14,317,0,317,--,376,59,284,317,317,Algún campo sin dato,1,a451de91484ba71232ef21637fdc958fff437b0993a89ffe8dbc6d4006d71503,26/06/2023 13:09:55,MOVIL
19938,"Alta Verapaz",16,"Cahabón",12,3070,380,21,2,42,3,0,29,51,0,1,0,105,7,0,1,7,0,0,2,271,24,14,309,0,309,--,380,71,271,309,309,Algún campo sin dato,1,1bdd4111b1dcc94e0bceff069c8a124ae7f97bdc037eaa37755f63911f8d22be,27/06/2023 14:24:25,MOVIL
19939,"Alta Verapaz",16,"Cahabón",12,3071,380,13,3,43,2,0,11,48,0,1,0,113,8,0,0,14,0,0,0,256,8,4,268,0,268,--,380,112,256,268,268,Algún campo sin dato,1,a91a41befc3830259492e1d986f093ba337b2fcfa9b83a3be2855067187312d2,27/06/2023 13:46:18,ESCANER
