TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,32145,16909,52.6022

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,PHG,UNE,VIVA,CAMBIO,VALOR,VAMOS,PODEMOS,CABAL,PPN,AZUL,WINAQ,U R N G - MAIZ,LI INUP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20181,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3136,380,0,55,52,4,2,20,8,7,5,29,1,9,0,0,192,32,7,231,0,231,--,380,149,192,231,231,Algún campo sin dato,1,689a48ff47ada71af6b02a8c3f9372515ceaf43c2cb03e9bfe2f47ec1bef1245,26/06/2023 04:25:25,ESCANER
20182,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3136,230,0,31,33,4,1,13,7,2,2,20,0,0,3,0,116,7,2,125,0,125,--,230,105,116,125,125,Algún campo sin dato,1,0922de66bee5c4642967ae7b149b5270c2cb28eeb8f0e442992b552ecb7e34a5,26/06/2023 04:14:20,ESCANER
20183,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3136,229,0,19,21,8,2,9,1,3,4,22,0,0,4,0,93,6,4,103,0,103,--,229,126,93,103,103,Algún campo sin dato,1,b1a670fea9baf3ce57a3870f274dca817f2ea42c499097cd28317eda535642dc,26/06/2023 04:40:16,ESCANER
20184,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3137,380,0,41,47,25,2,2,19,0,1,44,1,1,9,3,195,26,6,227,0,227,--,380,153,195,227,227,Algún campo sin dato,1,a990f1995f38ad90a9f8be2a7ae90bec8cc6685d71aea3aa4ac81d23b1b144b5,26/06/2023 05:51:33,ESCANER
20185,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3137,380,11,44,29,36,3,4,12,2,1,63,0,1,19,1,226,35,0,261,0,261,--,380,119,226,261,261,Algún campo sin dato,1,bdb1e79f1a1ff03530dec459136cbbae2f792f35256b13ab17a4217a52fed941,26/06/2023 04:14:11,ESCANER
20186,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3137,380,16,37,33,25,0,3,15,2,0,44,0,1,30,0,206,44,5,255,0,255,--,377,122,206,255,255,Algún campo sin dato,1,60adb00286ebbe83771e9c2d3e7a510b41fe40cd4464d129019187a6e3a3e036,26/06/2023 04:47:41,ESCANER
20187,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3137,380,2,62,38,39,3,4,24,2,1,26,1,--,11,1,214,32,6,252,0,252,--,380,128,214,252,252,Algún campo sin dato,1,4f3557e1963cbf144783aad27ca02977e3cacdc17bb7f8311a67b8c7413efbfc,26/06/2023 04:08:22,ESCANER
20188,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3137,380,4,53,29,22,3,0,11,5,1,28,0,2,14,0,172,24,6,202,0,202,--,377,175,172,202,202,Algún campo sin dato,1,2ce6cb5fdd526a74d7376b3711d19fe5be3821823b1e5823e6f4cbdc6eca12b2,26/06/2023 04:06:44,ESCANER
20189,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3137,234,2,34,21,31,1,1,5,1,0,38,0,0,12,0,146,6,4,156,0,156,--,235,79,146,156,156,Algún campo sin dato,1,b362be78bafeb6b38d96a23c6dadb8abfc5b70ebb638eadcd4d278f255ba9114,26/06/2023 04:05:08,ESCANER
20190,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3137,234,7,30,17,14,2,3,3,3,1,23,0,0,7,0,110,6,1,117,0,117,--,235,117,110,117,117,Algún campo sin dato,1,a50b009912262ec4adff73628c5205e922ad48fda9315f51d1f0404808e84014,26/06/2023 05:14:47,ESCANER
