TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
55,55,100.0000,55,100.0000,0,21354,15123,70.8204

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,VALOR,UNE,VAMOS,PPN,CABAL,VIVA,CAMBIO,TODOS,VOS,PHG,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19080,"Alta Verapaz",16,"Tactic",4,2925,400,2,30,27,47,99,6,3,8,2,2,2,3,231,2,2,235,0,235,--,414,179,231,235,235,Algún campo sin dato,1,7074a183f2a16eaede0ecdd981511af2b8266458244b87a7f5ae611bfba75d5f,26/06/2023 01:44:01,ESCANER
19081,"Alta Verapaz",16,"Tactic",4,2925,378,0,22,35,59,78,2,1,12,2,0,1,2,214,2,2,218,1,219,1,378,159,214,218,219,,1,cc33efd89309f3c8420cf51535f0fa4c84e1cebf49892ab961dc6d54496d36c6,28/06/2023 10:17:21,ESCANER
19082,"Alta Verapaz",16,"Tactic",4,2925,377,3,23,27,50,78,4,2,8,0,2,0,2,199,8,2,209,0,209,--,381,172,199,209,209,Algún campo sin dato,1,32cabcefa6a3eff5d3e3b79d4c070971dc98cc9f2235cb602046f287de08e182,25/06/2023 23:36:36,ESCANER
19083,"Alta Verapaz",16,"Tactic",4,2926,400,3,13,41,72,124,4,7,2,2,2,11,1,282,15,6,303,0,303,--,404,101,282,303,303,Algún campo sin dato,1,a9c1917c55dc614bd87f955507689eb4c801c66a73f22d01bc45fda6501d3188,26/06/2023 01:56:24,ESCANER
19084,"Alta Verapaz",16,"Tactic",4,2926,322,4,25,16,34,94,13,5,3,2,2,8,2,208,21,1,230,0,230,--,325,95,208,230,230,Algún campo sin dato,1,aaf2af959f40de64ec06d46dd9df055e04e4acb28a7369029fab2783dd6a9684,26/06/2023 00:01:02,ESCANER
19085,"Alta Verapaz",16,"Tactic",4,2926,322,0,28,11,52,85,3,4,7,0,2,8,2,202,3,1,206,0,206,--,322,116,202,206,206,Algún campo sin dato,1,2676e5b44afb35e5913a4aec7e95516a826d2e28bf2913fda22de397f6594275,26/06/2023 02:14:21,ESCANER
19086,"Alta Verapaz",16,"Tactic",4,2927,400,3,17,49,105,60,4,14,15,2,4,4,1,278,26,7,311,0,311,--,407,96,278,311,311,Algún campo sin dato,1,43f505cd2ddf81f9dfae779779f14180df4fcf1258773e17070ebfeb5e702f1f,26/06/2023 02:46:04,ESCANER
19087,"Alta Verapaz",16,"Tactic",4,2927,400,3,27,45,95,66,3,7,8,6,1,1,1,263,36,8,307,0,307,--,407,100,263,307,307,Algún campo sin dato,1,9b52a8199f62d48f7538ce65a8e6bfb6ad03af8a2a3e24d8251f28d36a71868b,26/06/2023 01:37:42,ESCANER
19088,"Alta Verapaz",16,"Tactic",4,2927,400,2,26,24,59,97,4,4,11,5,1,5,0,238,29,7,274,0,274,--,400,126,238,274,274,Algún campo sin dato,1,2b204e28603c1ce465f4d273361d171892a498474cdd9c18cbbee9afde1ca656,25/06/2023 23:57:28,ESCANER
19089,"Alta Verapaz",16,"Tactic",4,2927,278,1,21,22,43,47,4,2,9,4,2,2,0,157,8,1,166,0,166,--,278,112,157,166,166,Algún campo sin dato,1,ca68c9d1c0d0159115a1a0f5d7360105cdb81addd958631025022228699e6fe7,26/06/2023 00:29:58,ESCANER
