TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,18126,10667,58.8491

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,PPN,TODOS,UNE,AZUL,VAMOS,VICTORIA,ELEFANTE,WINAQ,CABAL,VALOR,VIVA,P A N,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20319,"Alta Verapaz",16,"Raxruhá",17,3161,298,7,8,1,20,16,12,61,0,1,0,3,0,0,0,129,4,2,135,0,135,--,295,160,129,135,135,Algún campo sin dato,1,e11574a2363a180c0cc7eb5b6e5aaa0f3b27676eb865697b3fa61b8552c79e15,25/06/2023 23:31:51,ESCANER
20320,"Alta Verapaz",16,"Raxruhá",17,3161,297,6,12,1,16,21,10,57,0,1,0,2,0,0,0,126,3,5,134,0,134,0,294,160,126,134,134,,1,1710483c05d69d453e52b7f9cf833a00bd26d6ecea73920594f74c6b5a43dc26,25/06/2023 22:36:10,ESCANER
20321,"Alta Verapaz",16,"Raxruhá",17,3162,380,28,24,1,68,17,18,58,0,7,0,8,0,0,0,229,17,7,0,0,253,--,380,127,229,253,253,Algún campo sin dato,1,c0be173fe7321c3e411e6cff6d1b7f867d9b9dfb81d3659b9b72ddf20c0e9504,26/06/2023 01:06:46,ESCANER
20322,"Alta Verapaz",16,"Raxruhá",17,3162,380,29,21,4,74,17,19,36,0,10,0,6,0,1,0,217,22,4,243,0,243,--,380,137,217,243,243,Algún campo sin dato,1,2c67b6abbbe8c3ed12446eb9df85dd2d4b4c52b152690493a8e2941fd664d983,25/06/2023 23:10:54,ESCANER
20323,"Alta Verapaz",16,"Raxruhá",17,3162,380,26,19,5,55,15,19,29,0,16,1,3,0,1,0,189,25,3,217,0,217,--,380,163,189,217,217,Algún campo sin dato,1,d6ae253215a93645cce9a83ce0eb6c14c43e7400bff5e3d27c8d452acbe1f6c4,25/06/2023 23:17:04,ESCANER
20324,"Alta Verapaz",16,"Raxruhá",17,3162,327,38,11,1,37,18,11,41,0,7,0,7,0,0,0,171,10,3,184,0,184,--,327,143,171,184,184,Algún campo sin dato,1,df7f5ca8ad7c8c15bc9c9b499faaa4e42e00c5f5b947de18725641059930ff2f,25/06/2023 23:04:39,ESCANER
20325,"Alta Verapaz",16,"Raxruhá",17,3162,326,22,14,1,37,10,14,52,0,5,0,6,0,1,0,162,2,1,165,0,165,--,326,161,162,165,165,Algún campo sin dato,1,67719c20c7b467bb7a620e8973e983ce2096d860160f8c999616ab635303a4f9,25/06/2023 22:23:22,ESCANER
20326,"Alta Verapaz",16,"Raxruhá",17,3163,380,4,22,9,85,30,16,46,0,9,3,0,1,16,0,241,9,7,257,0,257,--,380,123,241,257,257,Algún campo sin dato,1,07ada478a3a77202e60f590dac53c8ef58426ad229c616a5665a05646211832e,26/06/2023 02:43:04,ESCANER
20327,"Alta Verapaz",16,"Raxruhá",17,3163,380,14,18,4,75,48,14,51,0,5,0,1,0,15,0,245,23,6,274,0,274,--,380,106,245,274,274,Algún campo sin dato,1,ecf8789fed5f81a2fa5e54a65afc3e4e7b1c5647a0459ae513d6e9fb8c2982bf,26/06/2023 02:34:16,ESCANER
20328,"Alta Verapaz",16,"Raxruhá",17,3163,380,11,13,3,90,26,12,50,0,3,0,3,1,17,0,229,22,5,256,0,256,--,380,124,229,256,256,Algún campo sin dato,1,668dae49ab6fe6d1cb83ed63906d15df47afebc83deb22ea1e8c4bf8ea04e84e,26/06/2023 01:40:37,ESCANER
