TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
117,117,100.0000,116,99.1452,1,43667,31646,72.4712

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,MLP,VALOR,UNE,CABAL,PODEMOS,WINAQ,UR,VAMOS,P A N,VOS,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20009,"Alta Verapaz",16,"Chisec",13,3098,400,89,2,135,4,0,87,0,0,2,0,0,0,319,1,0,320,0,320,--,400,80,319,320,320,Algún campo sin dato,1,b2a6f567ef82ca570d3238801c6adbc6ed7e5c9fdff9cf8a3410206235854372,26/06/2023 00:46:24,ESCANER
20010,"Alta Verapaz",16,"Chisec",13,3098,267,49,2,87,6,0,57,0,0,2,1,0,0,204,4,0,208,0,208,--,267,59,204,208,208,Algún campo sin dato,1,70a7eb28ce86c557d6a2ce6da7783b835a823861d6de6826da4d513bbf29587f,26/06/2023 00:24:17,ESCANER
20011,"Alta Verapaz",16,"Chisec",13,3098,267,51,1,73,5,0,51,0,0,2,1,0,1,185,5,1,191,0,191,--,267,76,185,191,191,Algún campo sin dato,1,4ee6a415d867a88e4042e092b801c57ba3b9cdc3adfc1c792f486a2ebc667fa4,26/06/2023 00:58:32,ESCANER
20012,"Alta Verapaz",16,"Chisec",13,3099,400,78,0,79,34,1,85,3,0,7,4,0,0,291,19,11,321,0,321,--,400,79,291,321,321,Algún campo sin dato,1,83335580437a6bfc189970dbbe31b8a656be59ec22be964ddb8f42c1bb76af8e,26/06/2023 01:25:55,ESCANER
20013,"Alta Verapaz",16,"Chisec",13,3099,400,66,1,89,49,1,79,4,0,7,6,0,0,324,10,11,--,1,--,--,400,76,302,323,324,Sumas Asentadas sin cuadrar,1,f937e5f9bd3fbd035d4a77f85bb2d4ddf5d2d57b6f233b410836f21a8aad8d8c,26/06/2023 00:57:52,ESCANER
20014,"Alta Verapaz",16,"Chisec",13,3099,400,68,0,90,40,1,88,0,1,6,4,0,0,298,19,2,319,0,319,0,397,78,298,319,319,,1,da143875a77a7a999830a52b9f3eb30af88603c398a4545d28f7f1b5b3cd91b9,26/06/2023 00:19:06,ESCANER
20015,"Alta Verapaz",16,"Chisec",13,3099,400,62,1,83,43,0,97,2,0,10,2,0,1,301,11,4,316,0,316,--,400,84,301,316,316,Algún campo sin dato,1,0a8fb3d429461ddef32de66e87fe826a531dddaabe159bbd0a9e9c034ce6f44c,26/06/2023 01:31:24,ESCANER
20016,"Alta Verapaz",16,"Chisec",13,3099,400,67,2,83,35,0,76,4,0,17,5,1,0,290,10,5,305,0,305,--,400,92,290,305,305,Algún campo sin dato,1,2f207646df725b9b1ff2bd90e96b598abb7e22dddc364b840cf5264bf2eb0c5c,26/06/2023 04:22:29,ESCANER
20017,"Alta Verapaz",16,"Chisec",13,3099,400,86,11,70,82,3,61,4,0,3,2,0,0,322,10,0,332,0,332,--,400,68,322,332,332,Algún campo sin dato,1,14a92b14410a014274f7a4a3391e3f5bb2859516456777b44e2f0bd18841a0c5,26/06/2023 03:25:40,ESCANER
20018,"Alta Verapaz",16,"Chisec",13,3099,400,69,0,70,75,1,68,2,0,4,2,0,0,291,9,4,304,0,304,--,397,93,291,304,304,Algún campo sin dato,1,3b69321fd259cb4429abf33ab52843ecda1b0c08da0a4562fdd653f5cafbeb50,26/06/2023 00:30:16,ESCANER
