TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
120,119,99.1666,118,98.3333,1,45728,25732,56.2718

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,TODOS,VAMOS,PODEMOS,VIVA,AZUL,VICTORIA,ELEFANTE,SEMILLA,PPN,FCN-NACION,PHG,MLP,BIEN,PIN,CAMBIO,VOS,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11752,"Suchitepéquez",10,"Mazatenango",1,1579,400,26,23,35,39,25,4,9,1,20,11,10,1,4,0,10,1,1,13,10,243,7,1,251,0,251,--,400,149,243,251,251,Algún campo sin dato,1,7b0b6a1cc90b8b8974d02c70bcc46f836fd3cb49df349546bf788abca88c7343,25/06/2023 22:59:49,ESCANER
11753,"Suchitepéquez",10,"Mazatenango",1,1579,400,28,16,25,45,8,8,5,1,17,9,8,0,4,2,9,1,3,0,14,203,10,27,240,0,240,--,411,208,203,240,240,Algún campo sin dato,1,0f4693c317d4999a357a73281daf2902d17b0394565c35d5951d42574126189a,26/06/2023 01:14:57,ESCANER
11754,"Suchitepéquez",10,"Mazatenango",1,1579,400,25,13,38,44,14,6,6,2,20,9,13,3,4,2,7,1,0,10,7,224,13,4,241,0,0,--,400,159,224,241,241,Algún campo sin dato,1,a31c3f420ec025af5c4c96fd1ac1f4e1664a8212c7ab1ef47badc7a5fbad720f,26/06/2023 01:00:16,ESCANER
11755,"Suchitepéquez",10,"Mazatenango",1,1579,400,24,16,45,38,15,6,4,1,23,7,14,0,9,1,8,1,2,10,10,234,18,2,254,--,--,--,400,146,234,254,254,Algún campo sin dato,1,84d8c7c9a65c96cb2dd50e0033e76744f61ea445145d4764be48b4cc9bb8aa90,26/06/2023 03:02:15,ESCANER
11756,"Suchitepéquez",10,"Mazatenango",1,1579,400,32,18,45,49,14,7,6,2,18,18,8,1,5,1,11,0,2,6,11,254,9,1,264,136,400,--,400,136,254,264,400,Algún campo sin dato,1,bcab36c0608943c5b37ae526b05b1500dd4376af68eb4bfc0f964b864e1aeeba,26/06/2023 01:31:19,ESCANER
11757,"Suchitepéquez",10,"Mazatenango",1,1579,400,33,26,40,46,9,6,11,1,12,9,10,0,6,2,10,0,0,9,8,238,16,0,254,0,254,--,400,146,238,254,254,Algún campo sin dato,1,b09ffdba20ca59f96bd5f87259878de42976730df9f30acafa99421700c8b926,26/06/2023 02:05:25,ESCANER
11758,"Suchitepéquez",10,"Mazatenango",1,1579,400,19,12,37,53,17,10,4,0,21,8,12,1,8,0,2,0,2,10,10,247,19,2,247,0,247,--,400,153,226,247,247,Sumas Asentadas sin cuadrar,1,60cce48c967279d735a1adebbbed21e46603236fbfacf1703fbb05089590c6bb,26/06/2023 02:51:04,ESCANER
11759,"Suchitepéquez",10,"Mazatenango",1,1580,400,14,30,43,56,21,2,5,2,11,9,7,1,4,1,6,0,0,6,7,225,10,1,236,0,236,--,400,164,225,236,236,Algún campo sin dato,1,ade1185edf03b233cd1487043f485030659280d4d2cd31b8a0fae8251c6a305e,26/06/2023 00:09:50,ESCANER
11760,"Suchitepéquez",10,"Mazatenango",1,1580,400,11,23,46,47,10,6,9,2,16,4,9,1,11,2,4,0,0,9,4,214,12,4,230,0,230,--,400,170,214,230,230,Algún campo sin dato,1,f692cc6fd94606897e8ec926fe6c486ecf5d4e6d71aea6db7b3efb2103136fb3,26/06/2023 01:41:22,ESCANER
11761,"Suchitepéquez",10,"Mazatenango",1,1580,400,20,16,35,39,10,5,8,3,13,11,7,1,5,9,7,1,1,10,9,210,11,2,223,--,223,--,400,177,210,223,223,Algún campo sin dato,1,b78b25c1adc7f75b3f89d0110bc9e6ec0e4d599c0f36f76832e6513bd5c3dfcf,26/06/2023 00:59:07,ESCANER
11762,"Suchitepéquez",10,"Mazatenango",1,1580,400,13,24,38,43,4,4,7,3,13,19,13,3,4,1,5,0,2,9,9,214,16,0,230,0,230,1,400,169,214,230,230,,1,272e6dfb0071861b40a488bd30ad4b767e5124d7e417c49bd0cd348ff4adfdd5,26/06/2023 03:08:07,ESCANER
11763,"Suchitepéquez",10,"Mazatenango",1,1580,400,14,13,31,34,18,9,4,0,15,17,11,1,3,1,7,1,3,7,6,195,7,1,203,0,203,--,400,197,195,203,203,Algún campo sin dato,1,fdcc69eaf6e1cd53aa4f22390b1887b099d65486100400405dc6fc95e4abf0ab,26/06/2023 01:11:46,ESCANER
11764,"Suchitepéquez",10,"Mazatenango",1,1581,400,11,15,45,50,12,9,3,2,13,24,8,3,9,0,10,5,3,13,7,242,11,0,253,0,253,--,397,144,242,253,253,Algún campo sin dato,1,7e9c745d0ec4c0c6a4b9de4d8805d4b8a063d9c949a8133baa47bab2f255958e,26/06/2023 00:37:01,ESCANER
11765,"Suchitepéquez",10,"Mazatenango",1,1581,201,12,10,15,20,7,2,5,1,7,9,5,1,2,3,3,0,0,7,5,114,2,0,116,0,116,--,198,82,114,116,116,Algún campo sin dato,1,5d10d68b1d24b9e5544466c44ab450537b7923097507752de9a296573a21d3c4,25/06/2023 23:33:17,ESCANER
11766,"Suchitepéquez",10,"Mazatenango",1,1581,201,6,7,15,14,3,1,4,0,9,2,4,0,5,0,1,0,1,2,2,76,7,115,198,0,198,--,198,115,76,198,198,Algún campo sin dato,1,8dd2dd4d56498c6623c7549d1d07174649b1dce009136e746ee38c9217ccedef,25/06/2023 23:42:34,ESCANER
11767,"Suchitepéquez",10,"Mazatenango",1,1582,400,18,33,40,32,9,17,5,2,10,11,7,0,12,0,10,0,1,5,7,219,21,0,240,0,240,--,399,159,219,240,240,Algún campo sin dato,1,1804459f8445d0e02e430496c15b6a022cce796012d243e80390b6a0717d5194,26/06/2023 03:16:10,ESCANER
11768,"Suchitepéquez",10,"Mazatenango",1,1582,400,12,36,37,50,7,14,5,2,10,11,4,2,13,2,4,1,3,6,11,230,12,4,246,0,246,--,400,154,230,246,246,Algún campo sin dato,1,af044aec08bb98a648902a378ee7f96348b6213485d75ffd79dfdb016bedda48,26/06/2023 02:35:18,ESCANER
11769,"Suchitepéquez",10,"Mazatenango",1,1582,400,22,31,41,51,5,16,4,1,9,13,8,2,12,1,10,3,2,8,10,249,10,2,261,1,262,0,398,138,249,261,262,,1,e5d8aa52369fb715ad59d23e67542998694b453e19f73f70397c281c24360188,26/06/2023 03:01:09,ESCANER
11770,"Suchitepéquez",10,"Mazatenango",1,1582,400,17,23,65,44,6,7,2,7,14,7,10,0,19,1,4,0,4,6,18,254,13,2,269,0,269,--,397,128,254,269,269,Algún campo sin dato,1,e3fee437957ff0212a51ade199967f8b173005a2bcdbb700d29210d8185c1ef5,26/06/2023 03:10:52,ESCANER
11771,"Suchitepéquez",10,"Mazatenango",1,1582,400,24,32,46,51,6,15,6,3,17,14,11,2,16,0,12,0,0,9,11,275,17,2,294,0,294,--,400,104,275,294,294,Algún campo sin dato,1,09e6a172ec08e5f9139c35a3150be1ffe8a90088ea7053455928784eefe9c411,26/06/2023 02:20:13,ESCANER
11772,"Suchitepéquez",10,"Mazatenango",1,1582,400,15,29,39,48,4,10,1,8,14,10,8,1,16,1,7,1,0,13,20,245,18,2,265,0,265,--,400,135,245,265,265,Algún campo sin dato,1,e4ec0c866ff61a92b6cc9f02fcca13384cb0236e7a78d028b1fdbd30e08ef445,26/06/2023 01:10:25,ESCANER
11773,"Suchitepéquez",10,"Mazatenango",1,1582,400,24,32,51,53,4,8,4,4,10,14,8,0,12,1,4,0,0,5,20,254,15,3,272,0,254,--,400,127,254,272,272,Sumas Asentadas sin cuadrar,1,22205bbd3c149855a3a4834da8e3dc3c591f5492a012f25b6990dcab790ab757,26/06/2023 03:39:43,ESCANER
11774,"Suchitepéquez",10,"Mazatenango",1,1582,400,26,30,45,46,10,10,5,9,14,8,8,2,14,2,3,1,1,8,10,252,16,4,272,0,272,--,400,128,252,272,272,Algún campo sin dato,1,8e58da8b83a7d7158c2f0a801a9b7dc9933e4214d1a246d88121bd235557673e,26/06/2023 03:32:07,ESCANER
