TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
130,130,100.0000,130,100.0000,0,46814,35012,74.7895

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,TODOS,CABAL,VIVA,SEMILLA,VOS,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9270,"Sololá",7,"Nahualá",5,1132,400,126,2,3,127,6,2,0,2,0,268,2,1,271,0,271,--,400,129,268,271,271,Algún campo sin dato,1,4429ee85abaef672ab06ecbe15e79283f55f7195f04cab0ee579ef92a0a6fdb1,25/06/2023 21:54:33,ESCANER
9271,"Sololá",7,"Nahualá",5,1132,400,124,1,2,145,4,4,2,5,1,288,2,2,292,0,292,--,396,104,288,292,292,Algún campo sin dato,1,09bdd19b6139366ddd1f5462f4c566e72080f4a7a4663e9dce3eb9335be1b8e0,26/06/2023 01:42:52,ESCANER
9272,"Sololá",7,"Nahualá",5,1132,400,107,7,3,149,4,2,1,4,1,278,7,5,290,0,290,--,400,110,278,290,290,Algún campo sin dato,1,2f784c194b3b752a6b58e846e049b99bd0db02b530a2a5b260ee55b83b404be0,25/06/2023 22:09:22,ESCANER
9273,"Sololá",7,"Nahualá",5,1133,400,147,3,6,135,1,0,1,1,3,297,2,0,299,0,299,--,400,101,297,299,299,Algún campo sin dato,1,c11fa6e6e991a64bf3d760b536020f6b78a6d26a882c111b530d1238f9e78f49,25/06/2023 23:21:03,ESCANER
9274,"Sololá",7,"Nahualá",5,1133,400,144,1,0,127,5,2,2,2,0,283,3,2,288,1,289,--,400,111,283,288,289,Algún campo sin dato,1,55396208e5f9b3d90594ecdafa7881c4f1197b5072b8ecdd9698a38938f76357,25/06/2023 23:00:00,ESCANER
9275,"Sololá",7,"Nahualá",5,1133,272,105,2,0,74,2,1,0,2,1,187,3,0,190,0,190,--,272,82,187,190,190,Algún campo sin dato,1,757a70991d58ffe7fded11b23c1cd97fd0b3df3a9a92189e11e96fb75aff3195,25/06/2023 21:19:43,ESCANER
9276,"Sololá",7,"Nahualá",5,1133,272,92,2,1,80,0,0,1,1,0,177,2,4,183,1,184,--,272,88,177,183,184,Algún campo sin dato,1,75716163c54eb2ed01510b6677b5d38bb9794197d2f39cfa7ab32b42de0cf157,26/06/2023 00:09:45,ESCANER
9277,"Sololá",7,"Nahualá",5,1134,380,154,4,0,95,1,0,0,0,7,261,9,1,271,0,271,--,380,109,261,271,271,Algún campo sin dato,1,bbdb9ddf48b61781fc87c3ee72433ccff4c8fb36f2e2bf131954cfb1cc78a7bc,26/06/2023 02:05:56,ESCANER
9278,"Sololá",7,"Nahualá",5,1134,380,142,12,3,76,2,1,0,0,9,245,12,10,267,0,267,--,380,113,245,267,267,Algún campo sin dato,1,f40a7cec496b95928dce290e03e205c8513d77e29009817e6cee9576d110efae,26/06/2023 01:34:20,ESCANER
9279,"Sololá",7,"Nahualá",5,1134,380,161,4,0,96,0,0,0,1,5,267,17,5,289,0,289,0,379,90,267,289,289,,1,ee0c4c3726b346700af3d3743fe57090e6cef44c605ec208a9df3b4e2e2a18e2,26/06/2023 00:17:15,ESCANER
9280,"Sololá",7,"Nahualá",5,1134,380,160,11,1,93,0,0,0,0,4,269,8,14,291,0,291,--,380,89,269,291,291,Algún campo sin dato,1,f0a5601a1f90e708ef6f23275bf22fd259f00dee02979454b70a821630053a61,26/06/2023 00:20:09,ESCANER
9281,"Sololá",7,"Nahualá",5,1134,380,140,8,1,92,1,0,0,0,5,247,9,4,260,0,260,--,380,120,247,260,260,Algún campo sin dato,1,e154a61a4bfcece3bf980e44d811e851c2103e4c2f924496fbdc8b60e9fc5447,26/06/2023 00:35:42,ESCANER
