TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
174,174,100.0000,174,100.0000,0,65904,31957,48.4902

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR UNIONISTA,AZUL,UNE,VAMOS,VICTORIA,ELEFANTE,PODEMOS,TODOS,CAMBIO,VIVA,P A N,SEMILLA,EL TAJAS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22464,"Chiquimula",20,"Chiquimula",1,3503,380,2,2,28,20,38,1,17,0,1,0,0,0,1,4,114,49,8,171,0,171,--,380,207,114,171,171,Algún campo sin dato,1,38dbaf145b52e19cbe17924cc227c77a6411c7567120ac6f152747ccb40d8a2f,26/06/2023 04:53:29,ESCANER
22465,"Chiquimula",20,"Chiquimula",1,3503,380,3,2,32,17,32,1,15,1,3,0,2,0,0,2,110,23,6,139,4,143,--,380,237,110,139,143,Algún campo sin dato,1,2240fda89acc1fc25a2512520a1f56dc1ab001db34d9db1183cd6b74a4529b2f,26/06/2023 05:09:31,ESCANER
22466,"Chiquimula",20,"Chiquimula",1,3503,380,2,6,32,12,35,0,10,0,2,3,3,2,1,2,110,26,11,--,--,--,--,400,253,110,147,147,Algún campo sin dato,1,ac98eb374fcef7b06ecd00d2450ca30de85df9d04763ccd845055e1eaf735e80,26/06/2023 03:58:37,ESCANER
22467,"Chiquimula",20,"Chiquimula",1,3503,380,5,2,22,17,31,2,13,1,1,3,0,0,1,4,102,32,13,147,0,147,--,380,233,102,147,147,Algún campo sin dato,1,d1be5d69c1d36a15c3f3e4f7a40dbb6b26157655ec77f9816a8280705f114abd,26/06/2023 04:08:30,ESCANER
22468,"Chiquimula",20,"Chiquimula",1,3503,380,2,6,26,11,37,1,17,2,1,2,1,1,2,3,112,38,3,153,0,153,--,418,265,112,153,153,Algún campo sin dato,1,add35dd263167a4eb780ac31c2211489a9378d2f533763235dbe7352cc581a48,26/06/2023 04:18:04,ESCANER
22469,"Chiquimula",20,"Chiquimula",1,3503,348,1,2,21,9,28,0,12,0,0,2,0,1,3,1,80,23,5,108,--,--,--,348,240,80,108,108,Algún campo sin dato,1,e431046a98033db3fdfaa8adada705971f487c84762a0c7e217107bedae94954,26/06/2023 04:29:31,ESCANER
22470,"Chiquimula",20,"Chiquimula",1,3503,348,0,3,32,5,22,0,14,1,0,3,2,0,1,2,85,12,5,102,0,102,--,348,246,85,102,102,Algún campo sin dato,1,da706a32c0b905bb116bbb66633ccc632a266152c3cce7791f83e4ae1272c3fc,26/06/2023 04:36:38,ESCANER
22471,"Chiquimula",20,"Chiquimula",1,3504,380,3,7,52,51,35,1,7,0,1,8,5,1,0,10,184,26,7,217,1,218,--,380,162,181,214,215,Sumas Asentadas sin cuadrar,1,018002ef1cc13eee01cb1708f4d2d12cd99bed98a872b94ba7ad826b498c9b4b,26/06/2023 00:15:53,ESCANER
22472,"Chiquimula",20,"Chiquimula",1,3504,380,4,13,52,65,56,0,13,0,1,9,3,1,3,8,228,20,9,257,0,257,--,380,123,228,257,257,Algún campo sin dato,1,91c0a0a3c15680c0abc1399d732b42d4fef4e8fd3fbdbfe4dcaece7a9b7298d3,26/06/2023 00:26:04,ESCANER
22473,"Chiquimula",20,"Chiquimula",1,3504,380,5,14,73,65,44,0,7,0,0,9,2,2,2,9,232,17,3,252,0,252,--,380,128,232,252,252,Algún campo sin dato,1,aff38caecec3830424e3aabb72d0415b195732fc18e62dffd63cbe18cadf4e31,26/06/2023 00:39:57,ESCANER
