TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
85,85,100.0000,85,100.0000,0,31252,20761,66.4309

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,AZUL,ELEFANTE,TODOS,PODEMOS,CABAL,VOS,MI FAMILIA,P A N,URNG-MAIZ WINAQ,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22711,"Chiquimula",20,"Camotán",5,3551,380,104,50,4,94,3,0,7,1,0,0,1,39,303,16,9,328,0,328,--,385,57,303,328,328,Algún campo sin dato,1,9b693a37d569aceb375c54703811782d3913106d55702e634964bab2ee823f11,26/06/2023 02:05:53,ESCANER
22712,"Chiquimula",20,"Camotán",5,3551,380,78,27,6,86,2,0,15,0,2,0,0,39,255,14,7,276,1,277,1,377,103,255,276,277,,1,96fb814967cb4cf4c6da3aa6b212e5a0478dfb9d09036767ccce569e701a960f,26/06/2023 03:36:20,ESCANER
22713,"Chiquimula",20,"Camotán",5,3551,380,63,22,4,108,3,1,18,0,1,0,0,24,244,11,9,264,0,264,--,380,166,244,264,264,Algún campo sin dato,1,64995e20bc80d111f3ea9e4c443d83ccc358f1f6ece22819a394dd0dc3df8d44,26/06/2023 02:17:54,ESCANER
22714,"Chiquimula",20,"Camotán",5,3551,317,69,30,2,73,3,0,7,0,0,0,0,21,205,1,5,211,0,211,--,317,106,205,211,211,Algún campo sin dato,1,56acff2bc9a7ecd93b9ab933b09c245ef133c7c993562bcf7df94e4956cdf0b6,26/06/2023 01:12:04,ESCANER
22715,"Chiquimula",20,"Camotán",5,3552,316,67,19,1,86,2,1,3,1,0,1,0,24,205,2,0,207,0,207,--,316,109,205,207,207,Algún campo sin dato,1,e2220345bb143d3778855c689ebe2d955931f4c316426a113d6f32517ef336f6,26/06/2023 04:18:10,ESCANER
22716,"Chiquimula",20,"Camotán",5,3553,380,113,26,0,79,3,8,1,1,3,0,4,8,268,5,7,268,10,268,--,377,109,246,258,268,Sumas Asentadas sin cuadrar,1,b2882a1e2fa616a74ef109725b394e7eabe9b698f7b43364afc634fcab931754,26/06/2023 02:23:06,ESCANER
22717,"Chiquimula",20,"Camotán",5,3553,380,126,22,3,78,2,5,1,0,2,1,1,10,251,23,8,282,1,283,--,380,97,251,282,283,Algún campo sin dato,1,eb71edb3ba1678dddde510cfe0f21809a89e4de583c835f63cc749997d10ce25,25/06/2023 22:57:53,ESCANER
22718,"Chiquimula",20,"Camotán",5,3553,380,118,34,3,81,3,7,1,1,2,0,2,15,267,10,7,284,3,287,3,380,93,267,284,287,,1,75691b45a71a2a1e757d4edaaab5747af086f9913dc0f5538c03e343a88c19d3,26/06/2023 00:48:12,ESCANER
22719,"Chiquimula",20,"Camotán",5,3553,380,93,33,0,72,2,5,1,0,1,0,5,5,217,9,5,231,2,233,1,380,147,217,231,233,,1,2c4788664b9f9e542db32990ee99ab09426c68124567c5a81a58d238b6db9de8,26/06/2023 02:29:36,ESCANER
22720,"Chiquimula",20,"Camotán",5,3553,354,92,33,0,64,1,4,1,0,1,0,0,9,205,4,0,209,0,209,--,351,142,205,209,209,Algún campo sin dato,1,89a89d284198005b27be0a54e19f0c84fa61cca4b4c81da3a2933a388cb1c838,26/06/2023 01:17:48,ESCANER
22721,"Chiquimula",20,"Camotán",5,3553,354,79,25,2,74,0,2,2,0,1,0,0,5,190,5,0,195,0,195,--,351,156,190,195,195,Algún campo sin dato,1,5ec10414a59937559407a79f3575a854255fef95705a6dd523bc7e47d9d6dcf6,26/06/2023 00:34:58,ESCANER
22722,"Chiquimula",20,"Camotán",5,3554,380,87,23,7,60,1,4,1,1,2,1,1,31,219,12,9,240,0,240,1,380,140,219,240,240,,1,36fd0b982ba7274d933c6f8f4054cd9b0b90b74cab5e30443310ccddaa2872d6,26/06/2023 02:03:30,MOVIL
22723,"Chiquimula",20,"Camotán",5,3554,380,114,12,3,46,5,0,2,0,1,0,1,25,209,23,8,240,1,241,--,380,139,209,240,241,Algún campo sin dato,1,d75d554647df9a71e6bcdda8587fb6931475a0c57b48968fb251b1398e8c60a5,25/06/2023 23:04:09,MOVIL
22724,"Chiquimula",20,"Camotán",5,3554,380,132,12,4,57,4,2,2,2,2,1,0,23,241,18,5,264,0,264,--,380,116,241,264,264,Algún campo sin dato,1,350b8e2a46e716f3019430f7ade8f988aed0aeac75ecefb1e92ea8bacf7f5720,26/06/2023 02:04:29,MOVIL
22725,"Chiquimula",20,"Camotán",5,3554,380,128,23,4,68,1,1,3,0,0,1,1,24,254,18,4,276,0,276,1,380,104,254,276,276,,1,c10fb38a579c33a45a296ac4e38bfe70d442094d8bd0fb6e23ad60fcd21cc7e6,26/06/2023 04:45:23,MOVIL
22726,"Chiquimula",20,"Camotán",5,3555,380,83,16,2,87,0,3,0,1,1,1,0,29,223,21,0,244,0,244,--,380,136,223,244,244,Algún campo sin dato,1,e0d240fe9d795b73d4ec3fe2dbc530d9eabd6db58a945a420c8532ae63c8068b,26/06/2023 00:03:07,ESCANER
22727,"Chiquimula",20,"Camotán",5,3555,380,80,16,7,60,1,1,1,0,0,0,0,32,198,10,8,216,0,216,--,380,164,198,216,216,Algún campo sin dato,1,142066bc3020dbcc95013bc8cfc3e8f19318635ecd572f0acfd172eafe2ddd32,25/06/2023 22:40:03,ESCANER
22728,"Chiquimula",20,"Camotán",5,3555,380,68,18,8,51,6,0,2,0,2,0,1,22,178,12,5,195,0,195,--,376,184,178,195,195,Algún campo sin dato,1,9b69afaa279150b746c5dbcb090f2af18f93d55375e6bd66afb6530cebdfc1a9,26/06/2023 02:21:00,ESCANER
22729,"Chiquimula",20,"Camotán",5,3555,380,104,17,2,59,1,1,3,0,2,0,1,29,219,2,3,224,0,224,--,380,156,219,224,224,Algún campo sin dato,1,3f093ea2cc1846fe6739b4c7215158a767b3572569b5b9893bddd9f19cb4e60e,26/06/2023 01:49:50,ESCANER
22730,"Chiquimula",20,"Camotán",5,3555,380,92,11,3,69,1,1,2,0,1,0,1,33,214,5,1,220,0,220,--,380,160,214,220,220,Algún campo sin dato,1,690f0fe4cac222fb771ae5ce6cd30532c78ac4d976698e1e96100aca0f688f01,25/06/2023 23:12:20,ESCANER
22731,"Chiquimula",20,"Camotán",5,3556,343,83,15,6,45,3,2,2,0,1,0,0,42,199,5,1,205,0,205,--,343,138,199,205,205,Algún campo sin dato,1,c6f7b1031a4e99f27f6c219e213a2a33f002334441feb4c9454c81ff1d4be833,26/06/2023 02:12:40,ESCANER
22732,"Chiquimula",20,"Camotán",5,3556,342,83,9,5,47,0,2,2,0,1,0,0,29,178,5,2,185,0,185,--,342,157,178,185,185,Algún campo sin dato,1,54693893da828aa55d23bf6751dd4de360a4ba05c85c401e0d97df24b626f183,26/06/2023 02:19:51,ESCANER
