TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,17478,7658,43.8150

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,CABAL,MLP,VAMOS,PPN,VIVA,TODOS,U R N G - MAIZ,VOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10818,"Quetzaltenango",9,"San Carlos Sija",4,1437,380,35,65,4,8,31,2,1,1,0,44,191,13,3,207,0,207,--,380,173,191,207,207,Algún campo sin dato,1,2952b68997e8fe602ae14fca55a520d5d39b9562c302a1032b95175bbb41c252,26/06/2023 00:33:15,ESCANER
10819,"Quetzaltenango",9,"San Carlos Sija",4,1437,380,28,60,10,8,34,0,7,2,0,35,184,9,5,198,0,198,--,380,182,184,198,198,Algún campo sin dato,1,db9abb24bbdada3eddf6ddd900f6c8b5e9efbbee3540bcc7ac0b3b449bacd680,26/06/2023 00:40:10,ESCANER
10820,"Quetzaltenango",9,"San Carlos Sija",4,1437,380,18,51,7,11,28,4,1,6,1,38,165,10,3,178,0,178,--,377,199,165,178,178,Algún campo sin dato,1,a6ae6a26adce347aab2fe53c25ee6be7c794bfd98eef9b0e0cd9324755103efb,26/06/2023 00:48:32,ESCANER
10821,"Quetzaltenango",9,"San Carlos Sija",4,1437,380,21,49,7,7,38,2,3,3,4,43,177,2,2,181,0,181,--,380,199,177,181,181,Algún campo sin dato,1,2b9a8375439c906d091847dd2bc8aa2fc105461639b28dec59f4175e08293267,26/06/2023 00:52:40,ESCANER
10822,"Quetzaltenango",9,"San Carlos Sija",4,1437,238,18,30,0,4,20,2,0,4,1,22,101,3,0,104,0,104,--,238,134,101,104,104,Algún campo sin dato,1,3dacaf487f5c01cabb5b9c1e256641327365477952c715381b64930eef9ac692,26/06/2023 01:01:22,ESCANER
10823,"Quetzaltenango",9,"San Carlos Sija",4,1437,238,14,20,1,3,16,1,0,6,0,18,79,2,0,81,0,81,--,238,157,79,81,81,Algún campo sin dato,1,f6c9f22e15e94492491b56225d93c008ffa395db5a553d79a11cff309f88f1eb,26/06/2023 01:05:46,ESCANER
10824,"Quetzaltenango",9,"San Carlos Sija",4,1438,380,10,18,5,63,27,8,5,1,0,45,182,18,8,208,0,208,--,380,172,182,208,208,Algún campo sin dato,1,8f30e82ebfbf40c39b814909f18b7d176c42173d3cbf8453276228fbb032f2e8,26/06/2023 02:58:16,ESCANER
10825,"Quetzaltenango",9,"San Carlos Sija",4,1438,380,17,23,9,57,39,2,3,8,0,38,196,5,6,207,0,207,--,380,173,196,207,207,Algún campo sin dato,1,ede1173b19268497f9152ab9d3401e542d4b9235724de42ebaf532db77dd7ad8,26/06/2023 01:46:49,ESCANER
10826,"Quetzaltenango",9,"San Carlos Sija",4,1438,380,11,38,7,57,27,4,3,5,0,34,186,10,3,199,0,199,--,380,181,186,199,199,Algún campo sin dato,1,a8cd2db38fa7485f59f82854d1b2b35bd78809f985152792003006a3ec07061e,26/06/2023 02:26:19,ESCANER
10827,"Quetzaltenango",9,"San Carlos Sija",4,1438,380,15,34,6,53,32,10,1,7,1,30,189,9,4,202,0,202,--,380,178,189,202,202,Algún campo sin dato,1,ed84591eed6c201da7600c0889345123e5654e1caa1b0a3e0e5ccf4c274b1172,26/06/2023 02:28:24,ESCANER
10828,"Quetzaltenango",9,"San Carlos Sija",4,1438,205,4,8,1,31,4,2,2,5,1,17,75,2,5,82,0,82,--,205,123,75,82,82,Algún campo sin dato,1,a5ceafa849cee0b86ef98c4a34994d246e20da5adb1864e8c47bead80e60ff36,26/06/2023 01:55:54,ESCANER
10829,"Quetzaltenango",9,"San Carlos Sija",4,1438,204,5,8,1,29,14,6,1,3,0,11,78,3,0,81,0,81,--,205,124,78,81,81,Algún campo sin dato,1,ab3f75b5673568190187eae57ad4de8e07ac3d4c475f61d53a95bf2cbff7b167,26/06/2023 02:02:24,ESCANER
10830,"Quetzaltenango",9,"San Carlos Sija",4,1439,600,10,15,0,18,16,4,3,7,2,16,91,8,5,104,0,104,--,600,496,91,104,104,Algún campo sin dato,1,2f276861703afeb2300a878132cb1fa975579f6fbe09d00244c9dda44c5ed18f,25/06/2023 23:48:53,ESCANER
10831,"Quetzaltenango",9,"San Carlos Sija",4,1439,600,11,15,2,9,20,6,2,9,0,12,86,6,3,95,0,95,--,600,505,86,95,95,Algún campo sin dato,1,7258a34a9cb975edfdcdb4191afe94cdf30416bbfceb15138d9766098e9d42e7,25/06/2023 22:19:31,ESCANER
10832,"Quetzaltenango",9,"San Carlos Sija",4,1439,405,1,9,0,10,7,3,0,0,0,4,34,1,0,35,0,35,--,405,370,34,35,35,Algún campo sin dato,1,66715f25569066e30d65766b8fb2c91c2be99f70402a8c36f21ff24321eac4a6,25/06/2023 22:24:29,ESCANER
10833,"Quetzaltenango",9,"San Carlos Sija",4,1439,405,4,5,0,1,1,1,0,1,0,2,15,--,1,16,--,16,0,405,389,15,16,16,Algún campo sin dato,1,83b3547331f20bb3e84383bff6b33f4a4f9cc99b4bf9cfe2465fea54755e773a,25/06/2023 22:34:37,ESCANER
