TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
57,57,100.0000,57,100.0000,0,21598,12745,59.0100

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,VAMOS,MLP,UNE,VIVA,ELEFANTE,PIN,TODOS,UR,PPN,BIEN,CREO,URNG-MAIZ WINAQ SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12979,"Retalhuleu",11,"Champerico",7,1772,363,55,41,21,10,28,48,4,0,1,0,5,2,0,23,238,3,0,241,0,241,--,363,122,238,241,241,Algún campo sin dato,1,e1290bc56ea41c4c1f68a1404462df4b5679b1429000f64f4f5d87cbb34c3083,26/06/2023 02:13:04,ESCANER
12980,"Retalhuleu",11,"Champerico",7,1772,363,32,27,9,36,17,30,2,0,1,0,5,0,0,16,175,3,3,181,0,181,--,367,186,175,181,181,Algún campo sin dato,1,650011f9d4458b850201cd1fb8ef55b8ca7cd613d7f878e511d01915efb74520,26/06/2023 00:52:50,ESCANER
12981,"Retalhuleu",11,"Champerico",7,1773,380,12,59,31,20,10,3,0,0,1,0,4,2,0,56,198,23,8,229,1,230,--,377,147,198,229,230,Algún campo sin dato,1,399529c82be55a326f9daa32593d5f9e67936fadde31b738a2960a9a1e96036a,26/06/2023 05:54:09,ESCANER
12982,"Retalhuleu",11,"Champerico",7,1773,380,18,61,18,17,3,4,2,0,1,0,7,0,0,68,199,4,2,205,6,211,--,381,170,199,205,211,Algún campo sin dato,1,78209ef6225481ef5cf1f98a2347f3dc2520280dc8cfde4ecc42b529d4c85da5,25/06/2023 23:30:00,ESCANER
12983,"Retalhuleu",11,"Champerico",7,1773,230,8,43,17,11,4,5,0,0,1,0,2,0,0,35,126,6,5,137,0,137,--,231,94,126,137,137,Algún campo sin dato,1,ffe9c8b462f7524ef8141c931bfcc13d6ce58157e4cc993dfcc65fc88ad96992,26/06/2023 00:59:33,ESCANER
12984,"Retalhuleu",11,"Champerico",7,1773,229,5,36,14,17,1,7,1,0,0,0,2,0,0,26,109,3,2,114,0,114,--,220,114,109,114,114,Algún campo sin dato,1,8a01dd6d2a19d255312982543dedae20baec4e3ec388bd05961200992e4bf1de,25/06/2023 22:26:43,ESCANER
12985,"Retalhuleu",11,"Champerico",7,1774,380,29,34,36,16,15,24,1,1,1,2,61,1,0,6,227,26,1,254,0,254,--,384,130,227,254,254,Algún campo sin dato,1,8c2ad8ac66fb3bd9a6ffeb9db410baa58384499cb590af2215f9accf194ed815,26/06/2023 00:23:44,ESCANER
12986,"Retalhuleu",11,"Champerico",7,1774,380,26,54,42,23,14,41,0,1,0,0,44,3,0,6,254,13,1,268,0,268,--,384,116,254,268,268,Algún campo sin dato,1,e4c9bfccc95545ebad854a976686a296b75e5611e7d735cda47c17a8fcc81abd,26/06/2023 01:59:34,ESCANER
12987,"Retalhuleu",11,"Champerico",7,1774,380,25,42,16,14,14,43,4,0,0,0,41,0,0,4,203,8,1,212,0,212,--,384,172,203,212,212,Algún campo sin dato,1,91ea769857c2ffb90cd24d24097e966baab6a801813644a19b90c0eaca895f88,26/06/2023 00:44:07,ESCANER
12988,"Retalhuleu",11,"Champerico",7,1774,380,41,40,32,31,5,30,2,0,0,0,38,1,0,5,225,14,2,241,0,241,--,384,143,225,241,241,Algún campo sin dato,1,262865e2e9d04107e25f0fbc353c8c9e8e242da6d3fa3d54acbeac2bb4bfa729,25/06/2023 23:18:24,ESCANER
12989,"Retalhuleu",11,"Champerico",7,1774,380,19,44,28,23,10,28,4,0,0,0,55,0,0,2,213,19,4,236,--,236,--,384,148,213,236,236,Algún campo sin dato,1,82aee4d37ea5d466656e09c758e6da40709e8a41460a5b8121d59cac7944cfb1,26/06/2023 00:04:03,ESCANER
12990,"Retalhuleu",11,"Champerico",7,1774,380,34,28,26,29,8,30,1,0,0,0,54,0,0,10,220,24,5,249,0,249,--,384,135,220,249,249,Algún campo sin dato,1,966a1580d1fa6e45100d7a28cb5b222aeaed566a6709db95d33e346b1baead45,26/06/2023 01:13:39,ESCANER
