TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
745,745,100.0000,742,99.5973,3,296306,186114,62.8114

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPG,TODOS,VAMOS,AZUL,UNIONISTA,WINAQ,CAMBIO,PPN,VIVA,CABAL,MLP,PIN,ELEFANTE,P A N,VICTORIA,PODEMOS,CREO,VALOR,FCN-NACION,UR,BIEN,SEMILLA,VOS,MI FAMILIA,PHG,PODER,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2761,"Guatemala",1,"Mixco",8,248,400,91,2,10,39,5,2,12,14,12,6,0,0,5,3,6,2,0,12,0,11,1,8,3,0,12,0,4,260,10,2,272,0,272,--,400,128,260,272,272,Algún campo sin dato,1,fb0d0c0410839c66a2aa5cef5498372beb26acbfdd8eef46de240ed3d07deae4,26/06/2023 00:09:46,ESCANER
2762,"Guatemala",1,"Mixco",8,248,400,100,3,17,35,6,1,10,9,12,6,1,1,9,2,7,0,2,7,0,6,1,7,6,2,16,0,4,270,16,0,286,0,286,--,400,114,270,286,286,Algún campo sin dato,1,348e4cf7441b401b5f3d13f27ee24c51816d360d94d195ddf201e41d9c730bfb,25/06/2023 23:04:35,ESCANER
2763,"Guatemala",1,"Mixco",8,249,400,94,3,9,30,4,1,8,7,16,5,1,1,7,3,11,3,1,11,1,9,0,11,5,0,13,0,5,259,15,3,277,0,277,--,400,123,259,277,277,Algún campo sin dato,1,2d652d086c021d30b5044f03f3e1f94b34a41881605df97948f4e7e0e0a56216,26/06/2023 00:13:38,ESCANER
2764,"Guatemala",1,"Mixco",8,249,400,105,2,8,24,2,2,5,4,5,6,0,1,7,2,9,2,2,8,1,9,0,10,9,1,16,0,3,241,12,1,254,0,254,--,399,145,243,256,256,Sumas Asentadas sin cuadrar,1,3d1c7f060ad0d76bf429457338fc58d3468bf481a70adf1a5d5ed9c7cea3e29c,26/06/2023 01:14:07,ESCANER
2765,"Guatemala",1,"Mixco",8,249,400,92,4,9,39,2,2,8,11,13,6,0,0,6,4,6,2,1,10,0,9,1,12,4,0,16,1,2,260,9,0,269,0,269,--,401,132,260,269,269,Algún campo sin dato,1,b13f774ca9340d9370afadbaaff2be1d930af4762561cbe90a0680313a8b36c7,26/06/2023 00:08:11,ESCANER
2766,"Guatemala",1,"Mixco",8,249,400,91,7,9,36,4,0,6,11,8,9,2,0,3,0,12,6,0,13,0,5,2,9,4,0,15,1,3,256,14,0,270,0,270,--,404,134,256,270,270,Algún campo sin dato,1,da754d0a135a0c3a318d48cecde88b46a39ec1989d51a62f2b28004e5cc6f85e,25/06/2023 23:03:51,ESCANER
2767,"Guatemala",1,"Mixco",8,249,400,98,2,7,31,3,2,11,12,13,8,1,4,1,1,18,4,3,10,0,3,0,9,2,1,10,0,2,256,13,0,269,0,269,--,400,131,256,269,269,Algún campo sin dato,1,f4ee234d0856efc44cccc738867d8d1dd4873a2f2ff87e40262bb8d1537e0c0a,25/06/2023 23:44:18,ESCANER
2768,"Guatemala",1,"Mixco",8,249,400,92,4,15,28,0,2,5,10,7,5,3,0,1,2,9,2,2,13,1,7,1,12,9,0,11,0,1,243,13,2,0,0,0,--,404,146,242,257,257,Sumas Asentadas sin cuadrar,1,5cd9af6fe61ea1387a35caa737b6431cdd871d429ebd704eaa00991cdfb63265,26/06/2023 02:40:21,ESCANER
2769,"Guatemala",1,"Mixco",8,249,400,113,2,13,27,3,1,5,8,6,10,1,2,6,2,8,2,0,5,0,7,2,17,5,1,9,0,3,258,20,2,280,0,280,--,400,120,258,280,280,Algún campo sin dato,1,7acc24665d6ab0d885ce10428ce11d22b32d8dad9fe71bf6a93d6ad4352bac1b,25/06/2023 23:56:25,ESCANER
2770,"Guatemala",1,"Mixco",8,250,400,89,1,16,33,2,5,7,17,9,8,3,2,7,2,1,7,3,9,0,9,5,9,5,3,19,2,1,274,13,0,287,0,287,--,400,113,274,287,287,Algún campo sin dato,1,361f1c128c3d83d5cb50113bcdb5cba223c68e06ccfd5c0caf5ae73cd2d559b5,26/06/2023 01:20:44,ESCANER
