TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
47,47,100.0000,47,100.0000,0,17887,14428,80.6619

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VAMOS,MLP,UNE,SEMILLA,VICTORIA,VIVA,AZUL,PPN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17421,"Quiché",14,"San Juan Cotzal",11,2645,380,105,36,2,6,0,1,3,0,1,194,348,3,4,355,0,355,0,377,22,348,355,355,,1,8c9f3b057430dd871d257a9b2ac2f3bdc6fbfb23e3edf7457b155baa2de074e7,26/06/2023 01:53:09,ESCANER
17422,"Quiché",14,"San Juan Cotzal",11,2645,380,70,61,2,4,1,1,7,5,1,178,330,9,4,343,0,382,--,382,39,330,343,343,Sumas Asentadas sin cuadrar,1,417381d520942c37f91598d7ff67db375f6846e0887c7323d53a6dad944e666f,26/06/2023 01:34:50,ESCANER
17423,"Quiché",14,"San Juan Cotzal",11,2645,380,95,39,2,5,0,0,15,0,0,179,335,11,1,347,0,347,--,380,33,335,347,347,Algún campo sin dato,1,b6cd0dfe98790ea6a88de9bf73d4ec44f871374949e916d668f5c1a8bc0a32e8,26/06/2023 00:48:15,ESCANER
17424,"Quiché",14,"San Juan Cotzal",11,2645,380,82,31,4,1,0,0,13,0,0,155,286,6,1,293,0,293,--,380,87,286,293,293,Algún campo sin dato,1,c612580f873f3961322b288ce0cafb2c00fa0c99bf674de54627a5316013c4bc,26/06/2023 01:00:17,ESCANER
17425,"Quiché",14,"San Juan Cotzal",11,2645,380,76,48,5,2,1,0,9,1,0,138,280,3,2,285,0,285,0,380,95,280,285,285,,1,aa488fe41d3460fb591114319e1147803a56aa7eb3b279f3da37d08c0132b3eb,26/06/2023 00:17:50,ESCANER
17426,"Quiché",14,"San Juan Cotzal",11,2645,380,78,36,4,1,2,0,10,1,1,152,285,6,2,293,0,293,--,380,87,285,293,293,Algún campo sin dato,1,969d6e992cbd71e9be4166649d88fae0e01dc6e1db88cab5a2e2e9c997d9e930,26/06/2023 05:19:58,ESCANER
17427,"Quiché",14,"San Juan Cotzal",11,2645,380,74,49,3,4,0,2,12,0,0,138,282,6,3,291,0,291,0,380,89,282,291,291,,1,88b77754b954aebf726b95d9e6a4815eed8ee2c1c28a421388f0a0f1a97c623b,26/06/2023 00:28:05,ESCANER
17428,"Quiché",14,"San Juan Cotzal",11,2645,380,68,50,4,2,0,0,13,2,0,142,281,10,1,292,0,292,--,380,88,281,292,292,Algún campo sin dato,1,9c7f04cedcc5c73066d67abbeb9638d705a19dfc7012a3a48f0833fc94a2da30,26/06/2023 01:38:23,ESCANER
17429,"Quiché",14,"San Juan Cotzal",11,2645,380,76,37,6,1,0,0,6,2,0,161,289,0,0,289,0,289,0,380,91,289,289,289,,1,6ca3e4fc575f427642707632a609eba457c7bbecd6763a56094fd1d5babe7c21,25/06/2023 23:23:52,ESCANER
17430,"Quiché",14,"San Juan Cotzal",11,2645,380,80,38,2,0,1,0,18,1,0,145,285,0,0,285,1,286,0,380,94,285,285,286,,1,1a75f5570a30fb0f0428dac0e35cf87deb42c0eccfd29b3d4bbb21c5c9b2d7e1,26/06/2023 00:18:15,ESCANER
17431,"Quiché",14,"San Juan Cotzal",11,2645,380,89,42,0,3,0,0,8,0,0,145,287,0,1,288,0,288,0,373,85,287,288,288,,1,dd8b8c19c0d0d69af890cfa05354151201f32a1a9a952a8c571a3ef7c8354ea7,25/06/2023 23:48:26,ESCANER
17432,"Quiché",14,"San Juan Cotzal",11,2645,380,79,35,2,0,0,0,6,1,0,154,277,1,3,281,0,281,0,380,99,277,281,281,,1,cf09e2bc72af9d6a4feb10fb0f4b2c8c1340d3a72f433449cdabdfe7c72b289a,25/06/2023 23:51:05,ESCANER
17433,"Quiché",14,"San Juan Cotzal",11,2645,205,35,23,0,0,0,0,5,0,0,88,152,0,1,152,0,152,0,202,50,151,152,152,Sumas Asentadas sin cuadrar,1,fe879b0ceb23cec764fdd18d6812ef2abdae182733614c865fc675147bf89d53,26/06/2023 00:07:35,ESCANER
17434,"Quiché",14,"San Juan Cotzal",11,2645,205,47,16,1,0,0,0,3,1,0,77,145,1,0,146,0,146,--,205,59,145,146,146,Algún campo sin dato,1,879869dd2b75ddc9162c1784426f369096d9b5d21896682cae9e4fbeb4451f27,25/06/2023 22:35:58,ESCANER
