TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
162,162,100.0000,161,99.3827,1,60558,34654,57.2244

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,VALOR,MLP,UNE,ELEFANTE,VIVA,CAMBIO,BIEN,PPN,CABAL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21688,"Izabal",18,"Morales",4,3363,356,64,27,36,0,37,1,2,0,2,2,2,173,6,3,182,0,182,--,353,171,173,182,182,Algún campo sin dato,1,e3cb563eb800a40d8bc4439d9ed4943dd1b920b416ad160fcf20e9c3e824136c,25/06/2023 23:23:58,ESCANER
21689,"Izabal",18,"Morales",4,3363,356,53,13,43,0,42,1,1,0,0,1,0,154,12,2,168,0,168,--,355,187,154,168,168,Algún campo sin dato,1,d3f22e7bd70b658bdd51d3d61407d794dd9b404d5714d1293b12daeddee8df10,25/06/2023 23:07:36,ESCANER
21690,"Izabal",18,"Morales",4,3364,380,141,48,10,0,17,0,11,0,3,1,0,231,22,7,260,0,260,--,380,120,231,260,260,Algún campo sin dato,1,b066ca15d1c43126acd08c8ec638af27980be48d716ab96fd8b22a7b7489d43c,26/06/2023 01:00:30,ESCANER
21691,"Izabal",18,"Morales",4,3364,380,140,71,13,2,17,1,5,0,0,0,1,250,11,2,263,0,263,--,382,119,250,263,263,Algún campo sin dato,1,98bd14cca573f210ebcc68bbcc1538e16ffd64ca670beb54ff34b39bd1e46cee,26/06/2023 00:25:56,ESCANER
21692,"Izabal",18,"Morales",4,3364,323,116,44,8,0,20,1,6,0,2,1,0,198,17,4,219,0,219,--,323,104,198,219,219,Algún campo sin dato,1,ce879e2bccc788a66c09cdaa514cf885711330e7c40075286adefac88df837ce,26/06/2023 00:04:05,ESCANER
21693,"Izabal",18,"Morales",4,3364,322,105,55,10,2,7,1,3,0,1,0,1,185,11,2,198,0,198,--,322,124,185,198,198,Algún campo sin dato,1,2c18a97a71c10fa4f27f383cf67b84c09a763720dd1dcdeb762135ff2ff3d194,26/06/2023 00:23:17,ESCANER
21694,"Izabal",18,"Morales",4,3365,380,76,34,53,7,16,7,14,1,0,0,0,208,23,3,234,0,234,--,380,146,208,234,234,Algún campo sin dato,1,67071ab9206df25b21d863590b32693246e33f2986b50774a3ef4014c9f8e5d5,26/06/2023 01:08:43,ESCANER
21695,"Izabal",18,"Morales",4,3365,380,89,33,47,3,18,5,5,2,1,0,1,204,27,5,236,0,236,--,380,144,204,236,236,Algún campo sin dato,1,f0cb94c91b82da96b920004d23896d8439a69c92003a90fcecc777253ce38f9c,26/06/2023 00:38:48,ESCANER
21696,"Izabal",18,"Morales",4,3365,380,85,37,42,3,14,4,7,1,0,1,1,195,32,2,229,0,229,--,380,151,195,229,229,Algún campo sin dato,1,8c8523e20f0a744225fbbd3a5c9329b9cc0736c845c193100567f45f9b40a124,26/06/2023 00:04:28,ESCANER
21697,"Izabal",18,"Morales",4,3365,380,72,46,43,8,8,4,9,0,2,0,0,192,26,3,221,0,221,--,380,156,192,221,221,Algún campo sin dato,1,72121e09096728a3916cacca2de382c6ef17b364960c61bebe04f6a5877d34a9,26/06/2023 01:27:40,ESCANER
