TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
85,85,100.0000,85,100.0000,0,33332,18504,55.5142

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,COCIMI,CABAL,AZUL,CAMBIO,UNE,VALOR,VOS,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23956,"Jutiapa",22,"Asunción Mita",5,3757,380,84,53,40,10,12,35,2,1,237,16,1,254,0,254,--,380,126,237,254,254,Algún campo sin dato,1,529e190029e64c29224ec00e3206f28f3349e230c865a89cf29d68044e2c5348,25/06/2023 23:25:34,ESCANER
23957,"Jutiapa",22,"Asunción Mita",5,3757,380,87,66,36,11,10,34,3,1,248,16,2,266,0,266,--,380,114,248,266,266,Algún campo sin dato,1,134883b51f9c6f3be97d12bb32b0c4a8b43a23bca105cb3d9ab88149d9047d52,25/06/2023 22:24:33,ESCANER
23958,"Jutiapa",22,"Asunción Mita",5,3757,380,82,79,34,5,12,32,0,0,244,17,5,266,0,266,--,380,144,244,266,266,Algún campo sin dato,1,0a6fd9d8156dc93ed3466acf9be794143ce5be6bea178ae77f8b0580caccace3,26/06/2023 00:16:11,ESCANER
23959,"Jutiapa",22,"Asunción Mita",5,3757,380,56,63,26,10,7,37,0,0,199,2,4,205,0,205,--,380,175,199,205,205,Algún campo sin dato,1,0b9aa68f5c246de08be86ef70da2c616fa7eac93655b7b4e1d1ae5b312577020,25/06/2023 21:55:30,ESCANER
23960,"Jutiapa",22,"Asunción Mita",5,3757,380,63,65,29,7,7,34,2,1,208,13,1,222,0,222,--,380,158,208,222,222,Algún campo sin dato,1,66d4b61fb18134a6528f6da1defff50448183b3914f1537bfe14281319a1e1f2,25/06/2023 22:45:02,ESCANER
23961,"Jutiapa",22,"Asunción Mita",5,3757,380,82,48,32,6,7,44,1,1,221,13,2,236,0,236,--,380,144,221,236,236,Algún campo sin dato,1,5d896d27f82939d892a3fadc2aac35c3feba2597cca1907cdb88103fca841654,25/06/2023 23:43:23,ESCANER
23962,"Jutiapa",22,"Asunción Mita",5,3757,380,79,50,31,9,7,21,3,0,200,7,1,208,0,208,--,380,172,200,208,208,Algún campo sin dato,1,48d340768b52cef833ecc57f0355eb9c7f9c98592a6d904cb70598f796c0cb11,25/06/2023 23:10:25,ESCANER
23963,"Jutiapa",22,"Asunción Mita",5,3757,380,65,56,30,13,4,40,2,1,211,14,2,227,0,227,--,379,152,211,227,227,Algún campo sin dato,1,bae76b880ff742f41521790bbee363ed48939c3284d1f7ceb3921bb5b70328f9,26/06/2023 00:45:38,ESCANER
23964,"Jutiapa",22,"Asunción Mita",5,3757,380,79,47,24,11,12,38,3,0,214,7,4,225,0,225,--,380,155,214,225,225,Algún campo sin dato,1,61516a3f2440033eedbe85ce7e443f1f49f3947d197676e244d90aeb05c98889,25/06/2023 22:05:41,ESCANER
23965,"Jutiapa",22,"Asunción Mita",5,3758,380,84,54,20,8,7,32,1,0,232,20,5,232,0,232,--,381,148,206,231,231,Sumas Asentadas sin cuadrar,1,79a9659f9ac9fa737cea62ba15b307f13cbb3292c8a6cf7e230b0b7ae9d59130,25/06/2023 23:55:34,ESCANER
