TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
88,88,100.0000,87,98.8636,1,31971,25329,79.2249

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPN,AZUL,VAMOS,PHG,VIVA,CABAL,VICTORIA,UNE,CAMBIO,FCN-NACION,MLP,VALOR,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19766,"Alta Verapaz",16,"San Juan Chamelco",10,3018,400,107,1,93,6,3,5,54,10,0,2,0,2,1,284,15,2,301,0,301,--,400,99,284,301,301,Algún campo sin dato,1,765058968a3bf579c529333109f65c2bc304c74bdc83fc4c4d69b8149f44d672,25/06/2023 23:54:59,ESCANER
19767,"Alta Verapaz",16,"San Juan Chamelco",10,3019,400,118,4,92,2,1,2,44,22,2,3,1,1,1,293,8,5,306,0,306,--,400,94,293,306,306,Algún campo sin dato,1,315b05812139807da1ae49d093de3b9ca7a9dfc900dc4c1c0ba9bb71fd2dce85,25/06/2023 22:38:40,ESCANER
19768,"Alta Verapaz",16,"San Juan Chamelco",10,3019,400,105,1,87,3,4,4,38,15,--,1,1,--,--,259,1,5,273,8,--,--,400,127,259,265,273,Sumas Asentadas sin cuadrar,1,c582edc9dd2689298a26e03016a82d2f1a453ea55e0dd355a244f2327af6097b,25/06/2023 23:31:58,ESCANER
19769,"Alta Verapaz",16,"San Juan Chamelco",10,3019,376,110,0,75,4,1,4,56,13,2,0,1,1,0,268,2,0,270,0,270,1,382,112,267,269,269,Sumas Asentadas sin cuadrar,1,16bc5a29879c995b972f5c1361e3719685c5b828bc52d61143522fc4f7afe9e5,26/06/2023 00:10:10,ESCANER
19770,"Alta Verapaz",16,"San Juan Chamelco",10,3019,375,108,3,73,6,2,5,45,18,0,1,0,0,1,262,4,1,267,0,267,--,375,108,262,267,267,Algún campo sin dato,1,987d7755bd82cae3f47e5b724f387a455fa51fa7b18386d09fa7684252e3ab11,25/06/2023 23:48:02,ESCANER
19771,"Alta Verapaz",16,"San Juan Chamelco",10,3020,380,84,2,96,12,1,12,58,11,0,1,0,0,0,277,27,10,314,0,314,--,380,66,277,314,314,Algún campo sin dato,1,1569c553ed7849054190fb962c3d655fe68e50ec4b922d05ccd534c349a36e6a,25/06/2023 22:31:32,ESCANER
19772,"Alta Verapaz",16,"San Juan Chamelco",10,3020,380,100,2,60,27,2,8,51,12,0,0,0,1,1,264,28,14,306,0,306,--,379,73,264,306,306,Algún campo sin dato,1,5191f8d7747dc7a81bb1df7ae2fe66ba434a4acca75004664824f46d94ce60c2,26/06/2023 01:11:08,ESCANER
19773,"Alta Verapaz",16,"San Juan Chamelco",10,3020,380,99,0,100,15,5,5,54,11,0,0,0,1,0,290,30,7,327,0,327,--,377,50,290,327,327,Algún campo sin dato,1,60538041a7a967b29c5fae44c6922abe0117ec12168128df61d1279fc18afd04,25/06/2023 23:56:25,ESCANER
19774,"Alta Verapaz",16,"San Juan Chamelco",10,3020,380,110,3,52,32,4,5,64,12,0,1,0,0,0,283,35,7,325,0,325,--,380,55,283,325,325,Algún campo sin dato,1,de05d93f643fe3ce9d50b949d00d907accc9378131dbf8bebc4be7016bee9bbb,26/06/2023 00:36:57,ESCANER
19775,"Alta Verapaz",16,"San Juan Chamelco",10,3020,380,115,1,118,13,1,7,42,11,0,2,0,2,0,312,18,7,337,0,337,--,377,40,312,337,337,Algún campo sin dato,1,c75a56ee36823d9534709a10d21123639f3388c0a202dfba6228f22ca4abd5b2,25/06/2023 23:45:17,ESCANER
19776,"Alta Verapaz",16,"San Juan Chamelco",10,3020,380,109,3,75,20,2,9,50,14,0,1,0,1,0,284,17,9,310,1,310,--,377,66,284,310,311,Sumas Asentadas sin cuadrar,1,eecdb9d83ce08f4e30f2d570b65a039daf545d57f9c28ec70ed00aa4f628c7a8,26/06/2023 02:18:58,ESCANER
19777,"Alta Verapaz",16,"San Juan Chamelco",10,3021,380,114,0,73,26,3,7,51,4,0,1,0,1,0,280,12,3,295,0,295,--,381,86,280,295,295,Algún campo sin dato,1,6c12ba6e914c1763f36c532321c722bf652a912a1c5a967925383f0c67ec3e60,25/06/2023 22:28:30,ESCANER
19778,"Alta Verapaz",16,"San Juan Chamelco",10,3021,380,100,0,63,18,2,6,59,2,0,0,0,2,0,252,12,2,266,0,266,--,380,114,252,266,266,Algún campo sin dato,1,5bf4b1d04bfea6864601275735072cd46d3bc8baf6262e851b097230ea203bb8,26/06/2023 01:26:27,ESCANER
19779,"Alta Verapaz",16,"San Juan Chamelco",10,3021,380,108,0,66,17,0,2,39,8,0,0,0,1,0,241,8,4,253,0,253,--,379,126,241,253,253,Algún campo sin dato,1,4c1cb444ced6f0309317cfe894514d56912e2230a97f1b5173af3f00a1537ea4,25/06/2023 22:55:39,ESCANER
19780,"Alta Verapaz",16,"San Juan Chamelco",10,3021,336,90,0,46,23,1,7,51,3,0,0,0,1,0,222,3,2,227,0,227,--,333,106,222,227,227,Algún campo sin dato,1,db7895c757444950898239c25cf55b9a0c1668086f75a40bde89007a2b2b0cf6,26/06/2023 00:48:41,ESCANER
19781,"Alta Verapaz",16,"San Juan Chamelco",10,3022,336,87,1,57,36,1,6,42,5,0,0,0,1,0,236,6,4,246,0,246,--,336,90,236,246,246,Algún campo sin dato,1,06589a5fa2258f87bdff6af45dd53fb0e9c92b39a815d8714ffc5a2acca7cbec,26/06/2023 00:33:56,ESCANER
19782,"Alta Verapaz",16,"San Juan Chamelco",10,3023,380,123,0,109,16,4,2,27,27,0,0,0,0,0,308,13,8,330,1,380,--,380,50,308,329,330,Sumas Asentadas sin cuadrar,1,6fde7317c01539f4e6e8e5beebf02c6d1ade844c2830aa6c7532de960ad57a38,26/06/2023 02:53:47,ESCANER
19783,"Alta Verapaz",16,"San Juan Chamelco",10,3023,380,112,1,123,26,1,0,16,24,0,1,0,1,2,307,18,14,339,0,339,--,380,41,307,339,339,Algún campo sin dato,1,55aab588add5a66600120b87602dbfcdba3ac87bd7c933d7f2608a07d5f243b3,26/06/2023 00:02:25,ESCANER
19784,"Alta Verapaz",16,"San Juan Chamelco",10,3023,380,100,2,134,10,3,2,22,26,0,2,0,1,1,303,22,7,332,0,332,--,380,48,303,332,332,Algún campo sin dato,1,6cf13673a1204adf446694a5578e22dc4fa3dd982d83e2c8fdd746ca975c8454,26/06/2023 02:52:43,ESCANER
19785,"Alta Verapaz",16,"San Juan Chamelco",10,3024,380,136,1,113,18,1,0,17,20,0,1,2,0,0,309,10,6,325,--,--,3,380,52,309,325,325,Algún campo sin dato,1,17d26a8130dfe1bc6ab334b9b2fc9c5ddf1dc4eccfc6b67366d5defc58736633,26/06/2023 02:27:39,ESCANER
19786,"Alta Verapaz",16,"San Juan Chamelco",10,3025,380,116,1,119,16,4,3,17,28,0,0,0,0,0,304,15,12,331,--,--,--,380,49,304,331,331,Algún campo sin dato,1,d5c8a6354433a6a351a3745b7db626fbdf719abba55c63be5c6c996b62ac3042,25/06/2023 23:36:16,ESCANER
19787,"Alta Verapaz",16,"San Juan Chamelco",10,3025,380,102,0,114,7,3,1,47,14,0,0,0,2,1,291,19,13,323,0,323,--,380,57,291,323,323,Algún campo sin dato,1,8acbdaeee9bb2e314c0f617fdabe5ca8b045edf13825554267c1b7ea81a351e1,26/06/2023 01:41:00,ESCANER
19788,"Alta Verapaz",16,"San Juan Chamelco",10,3026,380,104,1,115,12,1,1,25,22,0,1,0,0,0,282,14,4,300,0,300,--,377,77,282,300,300,Algún campo sin dato,1,02e1d90258d775a8dd305e9cdc31c0d98a0c737ebc43e89a2ecf2cd2e1e89227,26/06/2023 02:49:58,ESCANER
19789,"Alta Verapaz",16,"San Juan Chamelco",10,3026,380,117,0,112,14,0,3,22,20,0,0,0,1,0,289,7,3,299,0,299,--,381,82,289,299,299,Algún campo sin dato,1,7926465a9ff01d7f1a2f2d00cb0bea3bab36f1b6915a8e483a4fa248c0bb5842,26/06/2023 04:34:43,ESCANER
19790,"Alta Verapaz",16,"San Juan Chamelco",10,3027,380,101,0,122,15,0,0,20,15,0,0,0,0,--,273,9,1,283,0,283,--,380,97,273,283,283,Algún campo sin dato,1,815e1697b600f350d3a1e75b54f98bb6c7b94c7faaae4436f878ab25f270391a,26/06/2023 02:09:21,ESCANER
19791,"Alta Verapaz",16,"San Juan Chamelco",10,3027,380,119,0,102,12,0,1,17,15,0,1,1,0,1,269,18,1,288,0,288,--,380,92,269,288,288,Algún campo sin dato,1,10c174219bd7a9eca0f9a1d25e0136f5d84e7fa6d5646011f946710a6dfb1222,26/06/2023 00:32:55,ESCANER
19792,"Alta Verapaz",16,"San Juan Chamelco",10,3028,380,102,0,100,8,3,1,22,14,0,0,0,1,0,251,6,0,257,0,257,--,379,122,251,257,257,Algún campo sin dato,1,f7721733d8eeb6f9e373dcc825ca9304da84d04af311f8e6f1cb17819b1ac62d,26/06/2023 00:05:02,ESCANER
19793,"Alta Verapaz",16,"San Juan Chamelco",10,3028,380,106,0,108,10,2,1,21,12,0,0,1,1,0,262,2,2,266,0,266,--,380,114,262,266,266,Algún campo sin dato,1,1b721e883c6466e03ebe1bacfc806572474220caa79065c79a2db85f4e32098c,26/06/2023 00:59:55,ESCANER
19794,"Alta Verapaz",16,"San Juan Chamelco",10,3028,199,59,1,45,5,2,0,7,5,0,0,0,0,0,124,1,1,126,1,127,--,199,72,124,126,127,Algún campo sin dato,1,ccb526113cb6e0c79b8a6b389b9f794063ddbdf60329103a253ac5807bfa9e52,25/06/2023 23:30:52,ESCANER
19795,"Alta Verapaz",16,"San Juan Chamelco",10,3028,199,54,0,54,9,0,0,7,11,1,0,0,0,0,136,5,4,145,0,145,--,199,54,136,145,145,Algún campo sin dato,1,621d850ac8906e3cb4b4a0abd934d721847fca6ed5759ca3a37a7d0cde5ba52c,25/06/2023 22:30:40,ESCANER
19796,"Alta Verapaz",16,"San Juan Chamelco",10,3029,380,104,3,75,13,0,2,96,11,0,1,0,1,2,308,13,4,325,0,325,--,380,52,308,325,325,Algún campo sin dato,1,6c3b33b08cea62591428e0adae094f35a2baf74f19c0aaebc0e803d211fe61dd,26/06/2023 00:44:49,ESCANER
19797,"Alta Verapaz",16,"San Juan Chamelco",10,3029,380,109,0,112,16,1,3,79,19,0,0,1,0,0,340,10,3,353,1,354,--,380,26,340,353,354,Algún campo sin dato,1,1ab5211a91680ff06bab28379b940ebedb9f0511d541134862d32867514839ec,26/06/2023 02:42:44,ESCANER
19798,"Alta Verapaz",16,"San Juan Chamelco",10,3029,380,111,1,72,26,1,3,85,22,0,2,0,3,0,326,13,6,345,19,345,--,380,35,326,345,364,Sumas Asentadas sin cuadrar,1,b493fef1b0847c1ba038200ef2f6a4a5f05837c0084d5edc4ee958f4afcdfaf8,26/06/2023 02:33:47,ESCANER
19799,"Alta Verapaz",16,"San Juan Chamelco",10,3029,380,129,1,71,15,5,4,63,26,0,0,0,0,0,314,7,5,326,0,326,--,380,54,314,326,326,Algún campo sin dato,1,0e7e9a2ddf43eaf1fa586865834c35923b9667f8c55537d16a08cb5fd5c08133,26/06/2023 02:53:52,ESCANER
