TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
58,58,100.0000,58,100.0000,0,21025,13742,65.3602

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,VALOR UNIONISTA,UR,TUC,MI FAMILIA,CABAL,WINAQ,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8785,"Santa Rosa",6,"Taxisco",9,1054,400,102,112,3,14,17,0,1,2,251,4,2,257,0,257,--,400,143,251,257,257,Algún campo sin dato,1,e7e0c4247f9a8cdd7695b6afcb2ec15844e74212d1f22d28b843387183d56530,25/06/2023 22:32:44,ESCANER
8786,"Santa Rosa",6,"Taxisco",9,1054,400,117,122,10,10,15,0,5,0,279,3,0,282,0,282,--,400,118,279,282,282,Algún campo sin dato,1,a137797328d8bdb98f5a3276730ff40ec427c087be961ddbc5673ecaf26a1600,25/06/2023 21:28:44,ESCANER
8787,"Santa Rosa",6,"Taxisco",9,1054,400,109,128,10,11,31,0,3,3,295,3,0,298,0,298,--,381,83,295,298,298,Algún campo sin dato,1,71ac22a9e56124de38f8b77efba273ec3e24f28af8bd18f8eefacf4762da3abf,25/06/2023 22:51:35,ESCANER
8788,"Santa Rosa",6,"Taxisco",9,1054,238,57,80,3,9,8,1,4,1,163,5,0,168,0,168,--,235,67,163,168,168,Algún campo sin dato,1,69545fb018b6172a59e0aa6648e8bfaa88d48491e14282eb3a381626812a51a0,25/06/2023 23:18:08,ESCANER
8789,"Santa Rosa",6,"Taxisco",9,1054,238,40,48,4,6,6,1,4,1,110,4,2,116,0,116,--,235,119,110,116,116,Algún campo sin dato,1,dd11c0a0f91a828e771e145e9a832224f08646236b7eab1bfd012573b67c3218,26/06/2023 00:53:06,ESCANER
8790,"Santa Rosa",6,"Taxisco",9,1055,400,77,95,7,23,19,2,6,1,230,15,6,251,0,251,--,400,149,230,251,251,Algún campo sin dato,1,ef011b7b436e029f0beb8b34a32946ed3bba52fd2104f857043a1fe30f178128,26/06/2023 01:49:49,ESCANER
8791,"Santa Rosa",6,"Taxisco",9,1055,400,82,109,8,21,22,0,4,1,247,14,8,269,1,270,--,400,130,247,269,270,Algún campo sin dato,1,d0f6e8d48531c11b4c21607096862e07dbf1bd4b4963da338c865400c2a56dc9,26/06/2023 00:56:06,ESCANER
8792,"Santa Rosa",6,"Taxisco",9,1055,400,81,99,5,19,11,2,2,0,219,12,4,235,2,237,--,400,163,219,235,237,Algún campo sin dato,1,d62574733b5a81ca5906c4c39caaa8d8f005b2a9f3015fecb8efea2af9514b83,26/06/2023 00:41:31,ESCANER
8793,"Santa Rosa",6,"Taxisco",9,1055,240,39,58,3,10,11,0,3,1,125,4,2,131,0,131,--,240,109,125,131,131,Algún campo sin dato,1,13b5f25dee642e9e4eb271856d414024c7f9d6b3d61255650ecf3017cbf6e399,26/06/2023 00:14:24,ESCANER
8794,"Santa Rosa",6,"Taxisco",9,1055,239,42,59,1,14,7,0,0,0,123,5,0,128,0,128,--,239,111,123,128,128,Algún campo sin dato,1,99dbb2289b3c60d17dfa22a3479e85241b414f400c61b01d31ba080239005a96,25/06/2023 22:08:26,ESCANER
8795,"Santa Rosa",6,"Taxisco",9,1056,265,88,45,9,2,2,0,2,1,149,10,2,161,0,161,--,265,104,149,161,161,Algún campo sin dato,1,d31ac274c938bf3cfb3389e5356c74532fab2605c89a9dcb368cf2e631590e91,25/06/2023 21:58:16,ESCANER
8796,"Santa Rosa",6,"Taxisco",9,1057,400,215,105,0,3,4,0,4,1,332,9,4,345,0,345,--,400,55,332,345,345,Algún campo sin dato,1,c104985bb53f08148c18dd300aca258e195394bbe6e9e5ba51d9ef4d782dd1c5,26/06/2023 01:17:11,ESCANER
