TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
138,138,100.0000,138,100.0000,0,52409,37118,70.8237

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,SUD,U R N G - MAIZ,TICC,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9120,"Sololá",7,"Sololá",1,1113,380,30,119,76,5,230,2,0,232,0,232,--,380,148,230,232,232,Algún campo sin dato,1,3e0ba20213df68500973094a117fbfb0148b797ea7602ca67c42ade4a0acec70,25/06/2023 23:55:19,ESCANER
9121,"Sololá",7,"Sololá",1,1113,380,30,98,110,6,244,1,0,245,0,245,--,380,135,244,245,245,Algún campo sin dato,1,2ff67b1b542664bf0e93d8ba8f8ba58910ca55e5a7b2aa1b4f366d8872880c7c,26/06/2023 02:08:22,ESCANER
9122,"Sololá",7,"Sololá",1,1113,351,18,122,55,6,201,1,2,204,0,204,--,351,147,201,204,204,Algún campo sin dato,1,07f47f6ef7257b0fcea09cbc960e96d2b4ae893478784d93d4505eded7c253e7,26/06/2023 00:15:38,ESCANER
9123,"Sololá",7,"Sololá",1,1113,351,39,114,62,1,216,1,0,217,0,217,--,348,131,216,217,217,Algún campo sin dato,1,cfbd495310f2c735f2ced35219d6349c5a4232404bc623783bf560a5fc49c147,25/06/2023 23:20:51,ESCANER
9124,"Sololá",7,"Sololá",1,1114,380,49,107,76,4,236,6,4,246,0,246,--,380,134,236,246,246,Algún campo sin dato,1,bbdd3ce905d70392c04fcc212bb0a926f533bd01ff54921d83a01f593a3ec819,26/06/2023 00:39:13,ESCANER
9125,"Sololá",7,"Sololá",1,1114,380,38,136,87,4,265,9,4,278,0,278,--,380,102,265,278,278,Algún campo sin dato,1,cee31e025e55c6cfbbc2f1cdd5ac2be37aa67e94208fd04baad2829050fdbe5a,26/06/2023 00:58:35,ESCANER
9126,"Sololá",7,"Sololá",1,1114,380,47,89,114,3,253,13,4,270,--,270,--,380,110,253,270,270,Algún campo sin dato,1,dc738f1c1599611a0cf4ddd4e7527912e618a76814da51feae66f396feee96fc,26/06/2023 01:42:57,ESCANER
9127,"Sololá",7,"Sololá",1,1114,380,59,77,130,7,273,15,7,295,0,295,0,380,85,273,295,295,,1,5f2cef2e7318e315c4b5f87a01ce7ac202fcfc1217191a7c4b97facd2c511f2f,26/06/2023 00:54:40,ESCANER
9128,"Sololá",7,"Sololá",1,1114,380,50,109,112,4,275,9,5,289,0,289,--,380,91,275,289,289,Algún campo sin dato,1,95e3a309a816911d654eade16133a173923d99009891b9662d97dc65c2ac5827,25/06/2023 23:22:03,ESCANER
9129,"Sololá",7,"Sololá",1,1114,380,65,122,78,3,268,16,4,288,0,288,--,389,90,268,288,288,Algún campo sin dato,1,eb6bde2ca8d46e3ebdcce8a8c99850bdf76a9dcd79771dad3d56479ecb9db3fe,25/06/2023 23:13:09,ESCANER
9130,"Sololá",7,"Sololá",1,1114,380,53,111,77,11,252,10,6,268,0,268,--,380,112,252,268,268,Algún campo sin dato,1,9dcb22887ebd439afac3915efe4791f07c7851f68f640a83ef5f3776e26de2f8,25/06/2023 23:37:05,ESCANER
9131,"Sololá",7,"Sololá",1,1114,380,59,70,141,3,273,10,6,289,0,289,--,380,91,273,289,289,Algún campo sin dato,1,5096ccf9676c2f50a05c0f32801216d1bcebbd69e7f3f997b5c699424c4d7926,26/06/2023 00:13:27,ESCANER
9132,"Sololá",7,"Sololá",1,1114,380,51,103,108,4,266,10,4,280,0,280,--,380,100,266,280,280,Algún campo sin dato,1,27d30e4a033bd30bb938fe4d20716eed1cd6bd6d9f54081d99490431778e0d4b,26/06/2023 01:47:56,ESCANER
9133,"Sololá",7,"Sololá",1,1114,380,54,114,90,5,263,6,4,273,0,273,--,380,107,263,273,273,Algún campo sin dato,1,af76abca6b0d361e05043467ac133696754bb226edbbd76ef9e181d17bb7f38a,25/06/2023 23:47:17,ESCANER
9134,"Sololá",7,"Sololá",1,1114,380,33,103,113,5,254,8,3,265,0,265,--,377,112,254,265,265,Algún campo sin dato,1,51a9f0d4ed8060632c407f442c900a2af9b8c92e13cb64579b34b74faf3811b7,26/06/2023 01:19:00,ESCANER
9135,"Sololá",7,"Sololá",1,1114,380,89,109,84,6,288,12,3,303,0,303,--,380,77,288,303,303,Algún campo sin dato,1,9985eeff6b8df3dde709c27f22dfc1936b244439cd545c272e03d5f0b4af58b1,26/06/2023 00:36:40,ESCANER
9136,"Sololá",7,"Sololá",1,1115,380,58,106,110,8,282,11,5,298,0,298,--,380,82,282,298,298,Algún campo sin dato,1,615684ffd1118663d4d1498df107f19087bad9583ccdb993d1b423499ee91fac,25/06/2023 21:59:49,ESCANER
9137,"Sololá",7,"Sololá",1,1115,380,41,103,86,4,234,5,1,240,0,240,--,380,140,234,240,240,Algún campo sin dato,1,7967e61db1dd2e17923bfa0291cb6bb294562b7c7359bba5cfe9fbfd32080a8e,26/06/2023 01:53:52,ESCANER
9138,"Sololá",7,"Sololá",1,1115,380,48,92,90,2,232,4,0,236,0,236,--,380,144,232,236,236,Algún campo sin dato,1,cdc682092df6f310a94a09662e201711a623ec6c1bca7a53777ea78166f4fda7,26/06/2023 02:20:36,ESCANER
9139,"Sololá",7,"Sololá",1,1115,380,55,95,26,5,241,6,2,249,0,249,--,320,131,181,189,189,Sumas Asentadas sin cuadrar,1,1ea367504e91ddc4e2af4dfbb0fb354cca99d7e6f3b578dc48ada84368dfc364,26/06/2023 05:18:38,MOVIL
9140,"Sololá",7,"Sololá",1,1115,380,39,91,96,4,230,4,2,236,0,236,--,380,144,230,236,236,Algún campo sin dato,1,93429a7373aba166cd095a8b27f6a7afc9f81ed9961ef9d16bbd12f5d0ce6f52,25/06/2023 23:57:07,ESCANER
