TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
93,93,100.0000,93,100.0000,0,33585,18500,55.0841

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,CABAL,MLP,VAMOS,PODEMOS,VIVA,VOS,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18409,"Baja Verapaz",15,"Cubulco",4,2819,380,119,52,2,5,11,5,0,0,8,8,210,24,9,243,0,243,--,380,137,210,243,243,Algún campo sin dato,1,05125eeec7693da5af96bda4e17e43d95a19a159a331d99248ecbb6f1a9db2bf,26/06/2023 02:34:31,ESCANER
18410,"Baja Verapaz",15,"Cubulco",4,2819,234,75,37,2,1,3,1,0,0,1,4,124,1,1,126,0,126,--,234,108,124,126,126,Algún campo sin dato,1,a39cb2b10a46bc579e94d0d5e620c38f2dbe02ef05b1f5c95571dda70bca7643,26/06/2023 00:09:58,ESCANER
18411,"Baja Verapaz",15,"Cubulco",4,2819,234,57,27,2,1,14,4,0,0,2,5,112,2,3,117,0,117,--,234,117,112,117,117,Algún campo sin dato,1,bf156f963796c457c64c7d3fb1c5d0a96ed2b1048066375aa71acafbdb286b8b,26/06/2023 00:37:12,ESCANER
18412,"Baja Verapaz",15,"Cubulco",4,2820,380,65,20,16,18,32,5,0,0,4,14,174,11,14,199,0,199,0,380,181,174,199,199,,1,805f78fd3398007947a6e7705ebe91d98f5bfb98ccf9281d6ad91390421f59dd,26/06/2023 00:05:46,ESCANER
18413,"Baja Verapaz",15,"Cubulco",4,2820,380,48,15,29,14,41,4,1,0,4,18,174,17,17,208,0,208,--,380,172,174,208,208,Algún campo sin dato,1,3b809cf8970ff8af246df77e3fa5bed8f88ec1cea288c43c89ec5c8cc57bce0b,25/06/2023 23:45:10,ESCANER
18414,"Baja Verapaz",15,"Cubulco",4,2820,380,55,29,16,18,28,1,2,1,6,25,181,21,5,207,0,207,--,379,172,181,207,207,Algún campo sin dato,1,7727b9e7713f9345cec9eb7a2335a8ceb02ebe8447c2b89702f0841340421b64,25/06/2023 23:06:46,ESCANER
18415,"Baja Verapaz",15,"Cubulco",4,2820,342,36,17,30,20,20,1,1,2,1,10,138,12,4,154,0,154,--,345,191,138,154,154,Algún campo sin dato,1,589fca072e8a26d7399ef4003285cd586e0b3d9ee0f47e42224944877374d458,25/06/2023 22:31:43,ESCANER
18416,"Baja Verapaz",15,"Cubulco",4,2820,342,67,29,7,8,22,0,0,0,2,8,143,6,3,152,0,152,--,342,190,143,152,152,Algún campo sin dato,1,f9ed867364ca317b56b5ae3798fe88501a2ab7a0a3055f0ccea20f019fdb9094,25/06/2023 23:13:49,ESCANER
18417,"Baja Verapaz",15,"Cubulco",4,2821,380,81,78,3,20,3,6,1,0,18,14,224,29,6,259,0,259,--,380,121,224,259,259,Algún campo sin dato,1,3a5264953ef4aa1b6f2b6b6835ca19b9e2e98b78a1439dac7e8d2bc984df20da,26/06/2023 00:30:34,ESCANER
18418,"Baja Verapaz",15,"Cubulco",4,2821,380,58,71,2,19,10,15,2,0,24,11,212,37,14,263,0,263,--,384,121,212,263,263,Algún campo sin dato,1,3c669fe28800ed47a040cb7091efbd49f7af80516aa194e3ec6775f0fbda867c,26/06/2023 01:53:38,ESCANER
18419,"Baja Verapaz",15,"Cubulco",4,2821,380,56,66,2,17,7,9,0,0,23,10,190,15,5,210,0,210,--,377,167,190,210,210,Algún campo sin dato,1,4f866daa8757d591510534e2741a4db3cdb69b35aa39dd3d4055aca6f182326d,25/06/2023 23:44:00,ESCANER
18420,"Baja Verapaz",15,"Cubulco",4,2821,273,43,38,1,5,4,10,0,0,13,4,118,20,4,142,0,142,--,273,131,118,142,142,Algún campo sin dato,1,f70791cc2acf639b774733cdebb959e3c7719000641f2df20dcd3a88a66c7891,26/06/2023 00:24:31,ESCANER
18421,"Baja Verapaz",15,"Cubulco",4,2821,272,41,32,1,8,2,5,1,1,9,7,107,6,1,114,0,114,--,272,158,107,114,114,Algún campo sin dato,1,d61610d3cc6c8dd8a185daed62749037e6f02c244a121e1b33782955accdcb17,26/06/2023 01:16:34,ESCANER
18422,"Baja Verapaz",15,"Cubulco",4,2822,380,70,18,10,3,26,2,1,0,11,10,151,13,10,174,0,174,--,380,206,151,174,174,Algún campo sin dato,1,12958a09b5d5484630469af85d632e33dd94345ee5958de356b8c74782b198e7,25/06/2023 23:04:06,ESCANER
18423,"Baja Verapaz",15,"Cubulco",4,2822,380,59,34,12,2,32,1,1,0,9,12,162,35,15,212,0,212,0,380,168,162,212,212,,1,e3aef1d25022858b39b6a32a1857c21d4196ee3d03554f26f8a908a0a2a75105,26/06/2023 01:27:53,ESCANER
18424,"Baja Verapaz",15,"Cubulco",4,2822,380,48,21,25,0,25,1,0,0,10,10,140,20,13,173,0,173,--,380,207,140,173,173,Algún campo sin dato,1,8730826487f3d9afe5554dd6af08a064faebe57d0e4859ad9b6c0b16d83e1ecc,26/06/2023 01:37:00,ESCANER
18425,"Baja Verapaz",15,"Cubulco",4,2822,380,43,15,20,1,18,3,0,2,9,4,115,18,20,153,0,153,--,380,227,115,153,153,Algún campo sin dato,1,c7a374a7aec87590e6ab58226e4a7b24411e93babdfff51a2555ac4cdc7db060,26/06/2023 00:45:31,ESCANER
18426,"Baja Verapaz",15,"Cubulco",4,2822,297,45,28,15,0,32,1,1,0,6,4,132,13,6,151,0,151,--,299,148,132,151,151,Algún campo sin dato,1,b4d0b15978147ec162f07c5da1ea42cdb1e2df700e7f0ca0e415551fea495b15,26/06/2023 01:12:55,ESCANER
18427,"Baja Verapaz",15,"Cubulco",4,2822,297,40,23,7,0,29,2,0,0,6,4,111,12,4,127,0,127,--,297,170,111,127,127,Algún campo sin dato,1,3926befefddd146a41fa44ff4a9f6a4ac9020a53ac5b0fef136875aa0122f728,25/06/2023 23:39:35,ESCANER
18428,"Baja Verapaz",15,"Cubulco",4,2823,380,35,26,28,62,24,1,2,0,8,21,207,22,11,240,0,240,--,380,140,207,240,240,Algún campo sin dato,1,8bbb93d8fc6e5ac208af18a87b09fe77841820f4a59f4258e5d67a2b30ae461b,25/06/2023 23:14:23,ESCANER
18429,"Baja Verapaz",15,"Cubulco",4,2823,287,29,19,16,29,22,1,0,0,10,10,136,22,15,173,0,173,--,287,111,136,173,173,Algún campo sin dato,1,6e891f334f2a0569d9a2db3d1cbfdf9a01b3a4adfbc6e5cd85bbf51981618c69,26/06/2023 00:16:25,ESCANER
18430,"Baja Verapaz",15,"Cubulco",4,2823,287,24,9,14,42,14,1,0,0,4,12,120,9,3,132,0,132,1,287,154,120,132,132,,1,64f28ba82d3015dbf30557f0643c3b113c957a078c3a2ee19592578a9a1b34b3,25/06/2023 22:38:17,ESCANER
18431,"Baja Verapaz",15,"Cubulco",4,2824,380,10,42,45,3,36,2,1,0,1,53,193,20,9,222,0,222,--,380,158,193,222,222,Algún campo sin dato,1,6f7c5bbf89525d09a6a7f5eec98a82cee41e551356f64a81dd72f6ec2f6d6cfc,25/06/2023 23:31:30,ESCANER
18432,"Baja Verapaz",15,"Cubulco",4,2824,380,8,26,63,1,35,1,0,1,1,60,196,24,10,230,0,230,--,380,150,196,230,230,Algún campo sin dato,1,30f3261065cf90b8af77d05989ab3f9688b16219de78e1c493a1a1aeb7eed09b,26/06/2023 00:22:51,ESCANER
18433,"Baja Verapaz",15,"Cubulco",4,2824,369,15,28,71,3,22,1,0,0,2,34,176,8,5,189,0,189,--,370,181,176,189,189,Algún campo sin dato,1,f71866b95539b75af3a8cca993903990c8b0970eb8cc83c39505d5381b8fe3b1,25/06/2023 23:09:14,ESCANER
18434,"Baja Verapaz",15,"Cubulco",4,2824,369,5,26,59,1,10,4,1,0,5,44,155,5,1,161,0,161,--,366,205,155,161,161,Algún campo sin dato,1,a2d77fe76095bb88a5d24cfd61f7888a33a44cb83703859ec64ce804f84c7b10,25/06/2023 23:01:47,ESCANER
18435,"Baja Verapaz",15,"Cubulco",4,2825,286,65,48,2,1,28,0,1,0,2,10,157,11,7,175,0,175,--,287,112,157,175,175,Algún campo sin dato,1,c8c20223b44be9173ff875d0b72d1078d01c934dee83b5b6f586b31acbbccb52,26/06/2023 01:52:28,ESCANER
18436,"Baja Verapaz",15,"Cubulco",4,2825,286,53,48,1,0,21,3,1,1,1,4,133,4,7,144,0,144,--,286,142,133,144,144,Algún campo sin dato,1,832798e80e4ea9bbacec68aa2aff14da571483705956a9744207561a7212086a,26/06/2023 01:59:51,ESCANER
18437,"Baja Verapaz",15,"Cubulco",4,2826,380,99,72,5,2,19,1,1,0,3,8,210,22,8,240,0,240,--,380,140,210,240,240,Algún campo sin dato,1,a68928d1b2315952a561a0d9ffd0df92195bbd1066878d322165ee18188a45be,25/06/2023 23:52:31,ESCANER
18438,"Baja Verapaz",15,"Cubulco",4,2826,380,120,30,7,4,13,4,0,1,6,12,197,25,8,230,0,230,--,380,150,197,230,230,Algún campo sin dato,1,9d9027b351c902a0adc50570a786d295eab710f36f3b3a87d0483e63dbca2d95,26/06/2023 00:30:00,ESCANER
18439,"Baja Verapaz",15,"Cubulco",4,2826,252,69,27,2,0,10,0,1,0,1,4,114,11,4,129,0,129,--,253,124,114,129,129,Algún campo sin dato,1,fc0d149a9e92b9d9e0b1bfd961976bfe00f945ceff018617084fb0d3f5cfdd42,25/06/2023 22:35:20,ESCANER
18440,"Baja Verapaz",15,"Cubulco",4,2826,252,68,26,1,1,10,2,0,0,1,4,113,3,2,118,0,118,--,252,134,113,118,118,Algún campo sin dato,1,a4e641790183b42daff918440e65d5b0a50870466f43629460b53727c8266c37,25/06/2023 23:06:58,ESCANER
18441,"Baja Verapaz",15,"Cubulco",4,2827,380,33,57,32,24,33,5,2,0,11,10,207,30,9,246,0,246,1,378,131,207,246,246,,1,fbc55717a8b4ea7f3182dbefd80215580ae0db696ef7daa21edc82f1b26be8ef,26/06/2023 03:18:05,ESCANER
18442,"Baja Verapaz",15,"Cubulco",4,2827,380,31,68,12,26,31,9,3,0,8,8,196,32,8,236,0,236,0,381,145,196,236,236,,1,ff81be81d278fb85dd5e48606e2d69474e540287aa68f87dd848b620c4a00089,26/06/2023 01:59:18,ESCANER
18443,"Baja Verapaz",15,"Cubulco",4,2827,380,25,71,15,10,31,4,1,1,9,7,174,10,4,188,0,188,--,380,192,174,188,188,Algún campo sin dato,1,d7ae4da4036a989a22a29132047b12ae14b043ee7529f4c5da60038b842c55a7,26/06/2023 02:55:30,ESCANER
18444,"Baja Verapaz",15,"Cubulco",4,2827,242,22,35,10,13,13,2,0,0,10,2,107,8,3,118,0,118,1,243,125,107,118,118,,1,cf3bf253f4a3673046ccb845365f640143d22409a8f93720d2abd7072a4f6612,26/06/2023 03:37:41,ESCANER
18445,"Baja Verapaz",15,"Cubulco",4,2827,242,10,43,13,13,9,2,1,0,5,3,99,10,2,111,0,111,--,242,131,99,111,111,Algún campo sin dato,1,e55ebbd14a308e93ffa3f0db4a334c31814b189844b243a0b214135f904e9648,26/06/2023 00:33:40,ESCANER
18446,"Baja Verapaz",15,"Cubulco",4,2828,445,13,10,3,1,7,2,0,2,5,6,49,4,2,55,0,55,--,445,390,49,55,55,Algún campo sin dato,1,7ed4ad685edda03c8341305cfff4e9459ba6890987487356004c0cef587a2075,25/06/2023 23:05:16,ESCANER
18447,"Baja Verapaz",15,"Cubulco",4,2828,445,14,10,1,0,6,0,0,0,1,6,38,2,0,40,0,40,--,445,405,38,40,40,Algún campo sin dato,1,b796d03568cea82e56360d6c588c6577d05e93386eb33243be9b33e24ea6e9b8,25/06/2023 23:45:05,ESCANER
