TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
90,90,100.0000,90,100.0000,0,33942,18900,55.6832

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,BIEN,CABAL,PPG,UNE,WINAQ,AZUL,PODEMOS,MLP,VICTORIA,P A N,CREO,ELEFANTE,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2643,"Guatemala",1,"San Pedro Ayampuc",7,233,400,75,4,89,2,14,1,1,12,5,1,--,2,17,--,223,10,--,233,--,233,--,400,167,223,233,233,Algún campo sin dato,1,cbc1c54e83f4c9c9a2bbdba9331c8bba77c90a7aebf59a8aaf305fc1cdbc12fe,26/06/2023 01:48:21,ESCANER
2644,"Guatemala",1,"San Pedro Ayampuc",7,233,400,84,1,92,2,8,1,2,15,2,1,1,5,10,1,225,17,1,243,0,243,--,400,157,225,243,243,Algún campo sin dato,1,860f045497dc1a8acef4cad27cb6cb1407c4f4ca1b9c8838c8ed582a3e8eaa74,26/06/2023 00:27:50,ESCANER
2645,"Guatemala",1,"San Pedro Ayampuc",7,233,400,81,7,99,1,12,1,4,11,1,1,0,3,15,0,236,16,0,252,0,252,--,400,148,236,252,252,Algún campo sin dato,1,a080626ed98cf5cc806aa8a8589432ddc8a064d05f785415b99cf02bb5410e5a,26/06/2023 01:21:20,ESCANER
2646,"Guatemala",1,"San Pedro Ayampuc",7,233,400,87,5,88,1,7,1,1,11,--,--,--,3,9,1,214,11,--,225,--,225,--,396,171,214,225,225,Algún campo sin dato,1,48bf371d75220ee57ea6b97f8fa1be109a1c6f81bdcb1e58f5c7acb4da8f2b0f,25/06/2023 22:58:21,ESCANER
2647,"Guatemala",1,"San Pedro Ayampuc",7,234,400,73,4,88,1,15,1,1,5,1,0,0,3,14,1,207,14,1,222,0,222,--,400,178,207,222,222,Algún campo sin dato,1,96c5668621465c136db787e9673eca022a538481bf12d02f5701ecb89f81855c,26/06/2023 01:43:43,ESCANER
2648,"Guatemala",1,"San Pedro Ayampuc",7,234,400,90,7,116,0,9,1,3,8,0,0,0,3,22,0,259,1,1,261,0,261,--,400,139,259,261,261,Algún campo sin dato,1,cf19f9a487188df5a91efaad1e45806e4aba7c74676c3a6d8c5f0d3c8c734a9c,26/06/2023 02:49:51,ESCANER
2649,"Guatemala",1,"San Pedro Ayampuc",7,234,400,84,9,110,0,5,3,1,10,1,1,1,3,25,0,253,1,1,255,0,255,--,400,145,253,255,255,Algún campo sin dato,1,7c26ebf795ebac7bd4b18c2ad54d4f7889c09f0e22f775679f2f1c38f75d0198,26/06/2023 02:12:24,ESCANER
2650,"Guatemala",1,"San Pedro Ayampuc",7,234,400,65,8,102,2,10,0,3,10,2,0,0,5,16,0,223,4,2,229,0,229,--,400,171,223,229,229,Algún campo sin dato,1,f687165474fbc02de88c0ed37a0ffe8ede1baa90d35c72ad8a2d8db8235d1836,26/06/2023 01:59:19,ESCANER
2651,"Guatemala",1,"San Pedro Ayampuc",7,234,264,55,5,85,0,4,1,0,11,1,0,0,7,10,1,180,3,0,183,1,184,--,264,80,180,183,184,Algún campo sin dato,1,8ff35dc3f69648a826cda0ad357fd812f1e802de7327ab459384975abdef4914,26/06/2023 03:52:27,ESCANER
2652,"Guatemala",1,"San Pedro Ayampuc",7,234,263,37,7,48,2,4,--,2,6,--,--,1,2,10,--,123,3,1,123,--,123,--,263,140,119,123,123,Sumas Asentadas sin cuadrar,1,5981970cd6a4be7d012bcd1547b0ad5f3c4addf1ec3d3bfed65b6a6b82cc916e,26/06/2023 02:21:48,ESCANER
2653,"Guatemala",1,"San Pedro Ayampuc",7,235,380,13,6,17,0,15,4,3,29,7,0,1,1,4,2,102,19,5,126,1,127,--,380,253,102,126,127,Algún campo sin dato,1,7625e28d5345c25f46e1a12d066d684a91f0b586416337000ffcd452da21b598,26/06/2023 01:13:43,ESCANER
2654,"Guatemala",1,"San Pedro Ayampuc",7,235,380,12,2,19,0,13,6,1,41,12,0,0,4,1,1,112,10,4,127,0,127,--,377,250,112,126,126,Sumas Asentadas sin cuadrar,1,c3488b63a5dc5efb97e7f69ee90877c361e1b98cfcb78408494c23170d761d28,26/06/2023 04:33:42,ESCANER
2655,"Guatemala",1,"San Pedro Ayampuc",7,235,253,8,2,16,0,12,1,0,19,4,0,0,0,1,0,63,11,2,76,0,76,--,253,177,63,76,76,Algún campo sin dato,1,59400c1a122dd55d0599de75de173bc6e0d40d3c8017ca327ea5a2626f18f016,25/06/2023 22:12:57,ESCANER
2656,"Guatemala",1,"San Pedro Ayampuc",7,235,252,10,4,21,--,9,--,--,25,7,--,1,1,3,2,83,7,2,92,--,92,--,252,160,83,92,92,Algún campo sin dato,1,32b519723e2691f684c8fed330f0b76cce7f1977cea3ff37bad3a7822d6cba05,25/06/2023 22:45:51,ESCANER
