TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
95,95,100.0000,95,100.0000,0,35822,18636,52.0238

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,AZUL,UNE,CAMBIO,MLP,PODEMOS,VICTORIA,TODOS,UR,BIEN,PR,PPN,VAMOS,VIVA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7732,"Escuintla",5,"Tiquisate",6,871,332,41,19,6,15,15,0,37,3,0,0,2,8,1,2,3,0,152,6,1,159,0,159,0,332,173,152,159,159,,1,84b874fafcf795f8f27e5fd27a6b6777d77bfa06a83e2213119b6c3405b551ed,25/06/2023 23:25:41,ESCANER
7733,"Escuintla",5,"Tiquisate",6,871,332,32,21,7,24,4,0,21,3,0,0,0,3,3,2,0,1,121,5,1,127,0,127,0,329,205,121,127,127,,1,77787667c81745bb7a6e573abbe0d54a9c2df965e2791617f8cfdf55ba2dee4e,26/06/2023 00:50:14,ESCANER
7734,"Escuintla",5,"Tiquisate",6,872,400,42,49,11,32,6,0,41,7,0,1,0,5,6,0,7,0,207,24,6,237,0,237,0,400,163,207,237,237,,1,29a6e80dda9c8eab60c0a7299cdf620bd76000d37e5e1d7801aee33c3457104d,26/06/2023 00:17:55,ESCANER
7735,"Escuintla",5,"Tiquisate",6,872,400,43,67,7,36,3,0,50,2,2,1,0,7,4,3,4,1,230,28,2,260,0,260,0,400,140,230,260,260,,1,62980872c8123be001334f09c19e2fc3dfb4905f9bf3881a9d34f50f82b03964,25/06/2023 22:44:28,ESCANER
7736,"Escuintla",5,"Tiquisate",6,872,400,32,61,8,32,12,0,56,3,0,1,0,11,6,5,4,5,236,25,2,263,0,236,0,397,161,236,263,263,Sumas Asentadas sin cuadrar,1,9198b12eb36bd70c552af67a5c4219752781e127e8dbdd650a2287b78a1b6dba,25/06/2023 23:40:31,ESCANER
7737,"Escuintla",5,"Tiquisate",6,872,400,40,61,6,31,13,4,53,2,0,4,0,10,2,3,5,1,235,21,1,257,0,257,0,399,142,235,257,257,,1,1d323b468ea48a85960d213019ca841d848db3e1d6aaa73a9ecf3bb8fc1fd8a4,26/06/2023 00:21:23,ESCANER
7738,"Escuintla",5,"Tiquisate",6,872,400,43,39,8,18,14,0,56,3,3,1,0,11,3,1,3,1,204,11,2,217,0,217,0,405,188,204,217,217,,1,d6a4fcac50eca33f6512632fe27530c37bfb2c391a101f30c99310c46885481a,25/06/2023 22:43:19,ESCANER
7739,"Escuintla",5,"Tiquisate",6,872,400,39,41,6,37,7,2,59,6,0,0,1,10,9,0,4,3,224,11,1,236,0,236,0,400,164,224,236,236,,1,4432b85a9b1f5efe6eec080bd488c055c1b68f12e0528196c080d5863b9c6f27,26/06/2023 00:09:37,ESCANER
7740,"Escuintla",5,"Tiquisate",6,872,400,45,34,11,28,7,0,45,4,0,2,1,11,4,3,3,1,199,23,6,228,0,228,0,400,172,199,228,228,,1,7df9bbac746b281f2033ad4121f7f8be0e6d2b942226eddc2f05fc7b18bc852f,26/06/2023 00:45:25,ESCANER
7741,"Escuintla",5,"Tiquisate",6,872,400,39,47,11,30,11,1,40,4,0,3,0,8,2,2,4,0,202,17,0,219,0,219,0,400,181,202,219,219,,1,8443313ee0124aa746d73ceb399808f9d8dea55cdae276b646a2127c2e743890,25/06/2023 23:55:07,ESCANER
7742,"Escuintla",5,"Tiquisate",6,872,400,42,41,9,18,6,0,57,2,0,0,0,11,3,0,0,3,192,9,0,201,0,201,0,400,199,192,201,201,,1,71c0e28879e94de61296d421ea6872b80dc301a5c3d2b6c52a27dd1826a769ff,25/06/2023 22:29:14,ESCANER
7743,"Escuintla",5,"Tiquisate",6,872,214,24,24,0,9,4,0,37,2,1,0,0,3,0,1,2,0,107,3,1,111,0,111,0,214,103,107,111,111,,1,ac3a2e86edfc1d718da871fe73c3a976d0e4e76d2232cb4dfc17a1567408baf2,26/06/2023 00:02:19,ESCANER
7744,"Escuintla",5,"Tiquisate",6,872,213,25,15,3,12,3,0,18,1,1,1,1,1,2,2,1,0,80,5,0,87,0,87,0,213,126,86,91,91,Sumas Asentadas sin cuadrar,1,8444757e771ed2faef1447c68f224dfc0df97eb9851aaefb866c35bd8174dd9e,25/06/2023 23:03:10,ESCANER
7745,"Escuintla",5,"Tiquisate",6,873,400,59,48,7,33,10,1,57,4,2,4,1,6,2,4,2,1,241,17,1,259,0,259,0,400,141,241,259,259,,1,1c84af34f0482a37b3680a09d06dab36303842d9b7b0188f8c13a4552986ce3e,25/06/2023 22:55:30,ESCANER
7746,"Escuintla",5,"Tiquisate",6,873,400,46,46,10,42,8,0,46,4,0,1,1,5,5,1,3,3,221,19,2,242,0,242,0,400,158,221,242,242,,1,dbf39c40e401e6cf929cf9fb0014e3878da298e70a8c2e4bdf714220323af95d,25/06/2023 23:48:37,ESCANER
