TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,41,100.0000,41,100.0000,0,14462,8960,61.9554

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,VAMOS,UNE,CABAL,PHG,PPN,CAMBIO,TODOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11636,"Quetzaltenango",9,"Flores Costa Cuca",22,1556,207,15,53,3,1,8,--,--,--,43,123,3,0,126,0,126,--,207,81,123,126,126,Algún campo sin dato,1,673435468961f4b37bfbcc3936501df975971ce2b9e36e7ac6a0b23b43b4de5d,25/06/2023 23:32:04,ESCANER
11637,"Quetzaltenango",9,"Flores Costa Cuca",22,1557,380,14,100,5,6,0,1,0,0,132,258,23,1,282,0,282,--,380,98,258,282,282,Algún campo sin dato,1,2fe4c443bde025944b2d85d328fec5fc34211c860bd0f05ea99a08eb5f43f450,26/06/2023 01:42:20,ESCANER
11638,"Quetzaltenango",9,"Flores Costa Cuca",22,1557,380,10,95,12,0,1,0,0,0,107,228,24,3,255,0,255,--,380,125,225,252,252,Sumas Asentadas sin cuadrar,1,d09abb5311b56746b55c28537d3c0afa2be5a693e5ccf1d76e5cedbeacfaede6,26/06/2023 01:51:17,ESCANER
11639,"Quetzaltenango",9,"Flores Costa Cuca",22,1557,380,18,102,6,3,0,0,0,0,92,221,17,1,239,0,239,--,380,141,221,239,239,Algún campo sin dato,1,1934132c44b68094cd5ec9f18750f6e0b2c74c1c4f7052ade951d7d8160bda4f,26/06/2023 01:59:43,ESCANER
11640,"Quetzaltenango",9,"Flores Costa Cuca",22,1557,227,11,54,5,1,3,0,0,0,58,132,4,1,137,0,137,--,227,90,132,137,137,Algún campo sin dato,1,206a14322546347d5e5401f949ea1da3b302bf12376fb968eb1647f0916d7f59,26/06/2023 02:09:24,ESCANER
11641,"Quetzaltenango",9,"Flores Costa Cuca",22,1557,226,8,61,2,0,0,1,0,0,72,144,2,0,146,0,146,--,226,80,144,146,146,Algún campo sin dato,1,eb0bd97e0efb31de3f0dea555cdc5f45b73872ae85abc1715b87407753e70cbe,26/06/2023 02:20:33,ESCANER
11642,"Quetzaltenango",9,"Flores Costa Cuca",22,1558,380,27,98,11,0,2,1,0,0,65,204,20,11,235,0,235,--,380,145,204,235,235,Algún campo sin dato,1,e8784448694d76d905c75b31af20ddc25e85b2ca20e359982aba9e07d025fbcf,26/06/2023 00:58:02,ESCANER
11643,"Quetzaltenango",9,"Flores Costa Cuca",22,1558,380,27,115,17,0,4,0,0,1,59,223,23,5,251,0,251,--,380,129,223,251,251,Algún campo sin dato,1,ee39b5d0100d1b00211bea93edbbcf2c4e4a03be8ca8f97efb8e63e7e9f4ae58,26/06/2023 01:12:45,ESCANER
11644,"Quetzaltenango",9,"Flores Costa Cuca",22,1558,380,38,98,8,1,1,2,1,1,82,232,24,9,265,0,265,--,380,115,232,265,265,Algún campo sin dato,1,52775da7eb2a2b5b84ef6b081a815160584114a7a405fb87ca3e4e5746b46185,26/06/2023 01:17:57,ESCANER
11645,"Quetzaltenango",9,"Flores Costa Cuca",22,1558,380,21,100,6,2,6,1,0,1,78,215,18,7,240,0,240,--,382,142,215,240,240,Algún campo sin dato,1,8b978f8d0936c93d0a22e8acc57d0ba499024e58d2153c47f386f9ca54ce5d68,26/06/2023 00:59:38,ESCANER
11646,"Quetzaltenango",9,"Flores Costa Cuca",22,1558,380,25,84,11,0,2,0,0,0,67,189,12,1,202,0,202,--,379,177,189,202,202,Algún campo sin dato,1,c01a001870cb6d745b59f22ccd1aef61f0dd3d667155ec5ab0ce228933633e60,26/06/2023 01:13:12,ESCANER
11647,"Quetzaltenango",9,"Flores Costa Cuca",22,1558,320,25,84,6,0,1,0,0,0,72,188,7,2,197,0,197,--,320,123,188,197,197,Algún campo sin dato,1,f5d42353a60ecc596ac063933817d9d14211499050e1b4754da5692eef84ded3,26/06/2023 01:23:04,ESCANER
