TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
167,167,100.0000,167,100.0000,0,66139,40684,61.5128

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,AZUL,UNE,CAMBIO,VAMOS,VIVA,CABAL,SEMILLA,MLP,TODOS,PPN,PR,ELEFANTE,VOS,PODER,BIEN,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7392,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,825,400,10,37,49,7,51,3,36,8,0,7,11,5,2,2,0,0,2,230,21,2,253,0,253,0,400,147,230,253,253,,1,06712e03e4f25302099788557a92c7753aecd5d52468ddb9d38b5bb4344321da,26/06/2023 01:46:19,ESCANER
7393,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,825,400,15,36,44,7,60,6,27,12,1,6,6,3,3,10,0,0,1,237,13,4,254,0,254,0,400,146,237,254,254,,1,5d399fd6d9b679c119d10efd396037cc3e84141605db6eff5a2f8b0902a1adf6,26/06/2023 02:41:21,ESCANER
7394,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,825,400,5,45,45,0,63,2,36,8,3,2,7,7,3,6,1,0,0,233,21,2,256,0,256,--,400,144,233,256,256,Algún campo sin dato,1,2af00c3bfdc437061455cf13219df8c85e7b1f3eea5422651248d82db52452f4,26/06/2023 00:06:10,ESCANER
7395,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,825,400,7,40,43,2,59,7,36,7,3,3,7,2,2,2,0,0,1,221,26,0,247,0,247,0,400,153,221,247,247,,1,e4dafc8916d4b1c11ec825addd626af50afad1b5e64492cc1532263b59411a92,26/06/2023 02:00:26,ESCANER
7396,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,825,400,11,26,56,5,63,3,41,9,0,2,12,2,2,6,0,1,0,239,14,0,253,0,253,0,400,147,239,253,253,,1,0b61e44ca20ed4fe15d9657fc24c1bb63fed92298dc8fe64bd6647ce82b913e2,26/06/2023 02:18:52,ESCANER
7397,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,825,400,10,36,46,2,74,5,36,5,0,2,6,4,0,6,0,1,1,234,12,1,247,0,247,--,400,153,234,247,247,Algún campo sin dato,1,fefa978a95eb9e3a8eb4b52c89948fe18608605675e2d5186b94a132e8de2f58,26/06/2023 04:41:50,ESCANER
7398,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,825,400,11,32,51,8,66,6,38,9,1,4,7,2,6,1,1,0,0,243,14,1,258,0,258,0,400,142,243,258,258,,1,7790580f1a5408bbe5fbfe9817a35b57e8172a02f3d98bb144ed72e8fe84e7ed,26/06/2023 01:56:36,ESCANER
7399,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,825,400,12,34,41,3,69,4,46,5,0,5,6,2,1,5,0,1,0,234,22,1,257,0,257,0,400,143,234,257,257,,1,dae7f259830e69e8c1825220b19e05f2d2965909be302cfa729ef58e555ad4d7,26/06/2023 01:50:01,ESCANER
7400,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,825,400,11,44,36,9,62,5,34,7,0,4,12,2,4,9,0,0,1,240,17,2,259,0,259,0,400,138,240,259,259,,1,beb6fa2ba7e1ee960c47c64e216fab441c7a31eb3da0970c236672cbe148ade2,26/06/2023 02:06:14,ESCANER
7401,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,825,400,10,34,53,5,72,5,26,9,1,2,14,0,1,8,1,2,1,244,18,3,265,0,265,--,397,132,244,265,265,Algún campo sin dato,1,b50a90337de138bcea5fd145a28496fb2673854fc4e2fb09916fdda63d3b3f29,26/06/2023 03:18:46,ESCANER
