TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
67,67,100.0000,67,100.0000,0,25526,15285,59.8801

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,VAMOS,UNE,PODEMOS,CABAL,VIVA,VICTORIA,MI FAMILIA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7848,"Escuintla",5,"La Gomera",7,888,296,42,40,6,10,3,7,4,1,0,113,8,4,125,0,0,0,293,168,113,125,125,,1,c8b2c4f7d5aed56fc0457a9dac54dc318974695592d55fae626492b09ac5401b,25/06/2023 23:04:17,ESCANER
7849,"Escuintla",5,"La Gomera",7,889,380,21,114,13,18,5,28,1,1,0,201,39,4,244,0,201,--,380,133,201,244,244,Sumas Asentadas sin cuadrar,1,4fdffaea8d43739ab1f29921e19a430a0c3a42a40ec18aac2892a3b2285066d9,26/06/2023 01:37:04,ESCANER
7850,"Escuintla",5,"La Gomera",7,889,380,16,116,11,21,4,34,7,0,1,210,39,4,253,0,253,0,380,127,210,253,253,,1,752f11cde3a3ed2c718c919f255a8a8eef7994dd20c809bbcc6afb8475588d06,26/06/2023 00:52:32,ESCANER
7851,"Escuintla",5,"La Gomera",7,889,380,23,110,16,24,3,31,8,1,0,216,36,2,254,0,254,0,381,127,216,254,254,,1,b546e83b687643b63a7e94bb0ee153e1fe6d835f500733526f7e8a8549c44015,26/06/2023 00:52:17,ESCANER
7852,"Escuintla",5,"La Gomera",7,889,380,15,106,11,18,2,50,5,2,1,210,40,6,256,0,256,--,380,124,210,256,256,Algún campo sin dato,1,c7ab0f4786cba59468bf7fee71fb0d6ae2f04472e0ba99d4a6d2292e7929f9af,26/06/2023 00:41:12,ESCANER
7853,"Escuintla",5,"La Gomera",7,889,380,16,103,11,14,1,29,3,1,0,178,26,1,205,0,205,0,380,175,178,205,205,,1,fab12354e9442181787866f7d51a6ff9d44f36248629a937f359b4c9620704a0,25/06/2023 23:44:02,ESCANER
7854,"Escuintla",5,"La Gomera",7,889,380,12,98,13,12,4,34,3,3,0,179,33,5,217,0,217,--,380,163,179,217,217,Algún campo sin dato,1,7ffdf34febe6a15801a2fd6f7721be9fc47054ebc5eceda3667577a6743f577c,25/06/2023 22:10:50,ESCANER
7855,"Escuintla",5,"La Gomera",7,889,380,14,126,12,18,0,31,7,0,1,209,34,4,247,0,247,0,379,132,209,247,247,,1,66f91063c8eeedd797f3b118681735394811fdd8be4c4eef47542d15198ea452,25/06/2023 23:33:14,ESCANER
7856,"Escuintla",5,"La Gomera",7,890,380,9,88,17,20,1,37,5,2,1,180,31,1,212,0,212,0,380,168,180,212,212,,1,cf65638894dacedd39d27ba54a277a8103531418e0c5d8c48ce1b953af9f879b,26/06/2023 03:35:24,ESCANER
7857,"Escuintla",5,"La Gomera",7,890,380,18,97,8,16,1,19,5,0,0,164,21,1,186,0,186,0,380,194,164,186,186,,1,b28125725c165f14d0f0d5f6d22ce271c3d674b25277bf625823fe5bea560d96,26/06/2023 00:14:20,ESCANER
