TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
151,151,100.0000,151,100.0000,0,57726,36048,62.4467

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNIONISTA,TODOS,VAMOS,AZUL,VALOR,VOS,CH ICH,MANO. L. O.,CAMBIO,UNE,PODEMOS,PPN,URNG-MAIZ WINAQ SEMILLA,COLIBRI,MI FAMILIA,VIVA,ELEFANTE,FCN-NACION,VICTORIA,UR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5913,"Chimaltenango",3,"Chimaltenango",1,621,269,1,7,19,2,3,3,23,3,18,1,0,4,7,3,4,7,0,1,3,1,110,2,0,112,0,112,0,269,157,110,112,112,,1,1fe6033065934223e15c32943c59426638176654b82e59bdd194bf985941aac6,26/06/2023 00:56:23,ESCANER
5914,"Chimaltenango",3,"Chimaltenango",1,622,400,4,13,37,4,20,7,61,16,22,14,9,7,3,6,3,5,5,3,8,4,251,11,3,265,0,265,0,400,135,251,265,265,,1,881e3bde812a0c5658439a77bd32c60004fa285bf1d110bf393a51ff9f4ef8b1,25/06/2023 22:57:18,ESCANER
5915,"Chimaltenango",3,"Chimaltenango",1,622,400,2,5,40,7,20,16,61,13,31,17,6,5,10,4,4,8,11,0,12,5,277,14,1,292,0,292,0,400,105,277,292,292,,1,5a8f9b12fa5d44a05449ae291f64c81ce383bb38e706f74e34bbce0dd68911e2,26/06/2023 02:31:25,ESCANER
5916,"Chimaltenango",3,"Chimaltenango",1,622,400,3,13,33,3,31,12,62,11,30,6,3,8,15,6,3,6,2,1,13,10,271,18,1,290,0,290,--,400,110,271,290,290,Algún campo sin dato,1,ed2c9d9304fcd54c6d275630ee62657a793e4cba6cae3c8b4cbe51c7e25cdc94,26/06/2023 00:40:41,ESCANER
5917,"Chimaltenango",3,"Chimaltenango",1,622,400,3,11,34,2,23,8,67,12,34,16,6,6,9,5,1,14,3,1,9,1,265,16,1,282,0,282,0,400,117,265,282,282,,1,edcdabfc2151bf695738cf9e991407511f5b46e118f14bbe8496c665c4ee4eb9,26/06/2023 01:45:05,ESCANER
5918,"Chimaltenango",3,"Chimaltenango",1,622,400,2,8,43,4,28,17,57,10,29,21,5,5,7,3,1,13,4,2,7,2,268,18,2,288,0,288,--,400,112,268,288,288,Algún campo sin dato,1,e2a72c257d07b0f92f7b351b6030b11aff58924cfe82209169af7c518861d9dc,26/06/2023 00:27:13,ESCANER
5919,"Chimaltenango",3,"Chimaltenango",1,622,400,6,13,37,2,17,10,62,11,23,14,1,3,16,3,2,10,1,1,6,1,239,9,1,249,0,249,--,400,151,239,249,249,Algún campo sin dato,1,aa50f23a7ee5382cc07dfbead4cba87ecf585e5fce6fbef91975e9c9bd7bb178,26/06/2023 01:49:43,ESCANER
5920,"Chimaltenango",3,"Chimaltenango",1,622,400,6,10,51,1,21,6,64,4,28,14,3,2,9,2,4,1,4,2,5,2,251,12,0,263,0,263,--,400,137,239,251,251,Sumas Asentadas sin cuadrar,1,3f5fbf72fcc8731c4c23075777f3bd9d9988ef56cd3512de38d9ab8e77d8529f,26/06/2023 00:17:57,ESCANER
5921,"Chimaltenango",3,"Chimaltenango",1,622,400,5,10,40,5,21,13,77,10,30,18,4,5,11,5,1,11,3,4,11,2,286,16,0,302,0,302,0,400,98,286,302,302,,1,fa487e710705aa8a2ac65e1adb50618049fd99c2d1e2d95cd04514adef14c6e0,25/06/2023 23:27:09,ESCANER
5922,"Chimaltenango",3,"Chimaltenango",1,622,400,5,11,36,6,17,13,61,15,20,14,8,8,6,4,2,6,2,3,6,6,249,7,1,257,0,257,0,400,143,249,257,257,,1,b4f25e1d477077a3e0789a3d076f67563560c395db221ae8d9db14567990a326,25/06/2023 23:46:10,ESCANER
