TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
42,42,100.0000,42,100.0000,0,15800,10944,69.2658

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,CAMBIO,VIVA,UNE,ELEFANTE,MLP,TODOS,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22796,"Chiquimula",20,"Olopa",6,3572,380,31,95,63,19,49,7,2,1,1,268,22,1,291,0,291,--,376,85,268,291,291,Algún campo sin dato,1,1067aaf84d05181098ed9f461f4dfda7257cc4a39cd7e273572c0a6dc56cbfb4,26/06/2023 03:05:16,ESCANER
22797,"Chiquimula",20,"Olopa",6,3572,380,19,88,67,21,62,9,4,0,1,271,19,4,294,0,294,--,380,86,271,294,294,Algún campo sin dato,1,d0880402cff90960093b2af53f5b698539ef58db4c685f0481bc432027b6e92a,26/06/2023 05:21:38,ESCANER
22798,"Chiquimula",20,"Olopa",6,3572,380,20,98,54,18,32,7,5,0,1,235,9,2,246,0,246,--,380,134,235,246,246,Algún campo sin dato,1,1ca23b396ac085923c633d7f2d0be6580bd2fc7305ef4b7c08541a57019ae883,26/06/2023 03:28:22,ESCANER
22799,"Chiquimula",20,"Olopa",6,3572,380,22,99,57,25,22,6,1,2,3,237,4,2,243,0,243,--,380,137,237,243,243,Algún campo sin dato,1,12bdd9eb37d7fda39d3f429c2ef79c470beceb7aade105aa89afe2c9f267dbf7,26/06/2023 02:41:18,ESCANER
22800,"Chiquimula",20,"Olopa",6,3572,380,21,81,76,21,25,3,2,0,2,231,3,2,236,0,236,--,380,144,231,236,236,Algún campo sin dato,1,5c4f56af64854e5f335d5311600bb3ebc6e01d9b0020f7f771a1425585ec6626,26/06/2023 01:27:09,ESCANER
22801,"Chiquimula",20,"Olopa",6,3572,316,25,83,57,18,30,6,3,1,0,223,2,3,228,0,228,--,316,88,223,228,228,Algún campo sin dato,1,8892dd9aaa21e8c3b633f65a02221985d73bc45ff4ff1b59f9f230cb9c39c1e7,26/06/2023 01:26:57,ESCANER
22802,"Chiquimula",20,"Olopa",6,3572,316,21,74,55,19,23,12,2,2,0,208,4,3,215,0,215,--,316,101,208,215,215,Algún campo sin dato,1,1072fc662dafa20a2a660c6747fba2897aef972d0657e55c10160e3fa9fe484d,25/06/2023 23:38:27,ESCANER
22803,"Chiquimula",20,"Olopa",6,3573,380,41,71,121,5,46,9,1,1,0,295,9,4,308,0,308,--,380,72,295,308,308,Algún campo sin dato,1,863f6d0c49689063958b1f6f20f1fba4975a4bd8f905bae453cb8454fbcb1888,26/06/2023 02:26:31,ESCANER
22804,"Chiquimula",20,"Olopa",6,3573,380,16,81,112,7,28,27,2,5,1,279,12,6,297,0,297,--,379,82,279,297,297,Algún campo sin dato,1,3b06fc13657365b7ebe8e8744371f171346fcb16e28310e2b3a7fd450c506031,26/06/2023 07:38:25,ESCANER
22805,"Chiquimula",20,"Olopa",6,3573,380,7,61,127,8,42,10,2,7,2,266,13,3,282,0,282,--,380,98,266,282,282,Algún campo sin dato,1,a78de125d0527b131258542155f124596bf5c3b279b965216c464c43cdd31125,26/06/2023 06:11:13,ESCANER
22806,"Chiquimula",20,"Olopa",6,3573,380,17,66,94,5,38,19,3,2,0,244,8,5,257,0,257,--,380,123,244,257,257,Algún campo sin dato,1,c4aad1ba5dad55df485c44be0f4179cd1ee3231f8bdb014e7289a43afc770592,26/06/2023 02:12:14,ESCANER
22807,"Chiquimula",20,"Olopa",6,3573,380,27,74,108,3,29,21,1,1,0,264,2,5,271,0,271,--,380,109,264,271,271,Algún campo sin dato,1,e86f1714084f49054d6f785dce03954639431947fdc549093374cb165f9743d4,26/06/2023 03:17:24,ESCANER
22808,"Chiquimula",20,"Olopa",6,3573,357,14,78,122,0,27,16,1,1,0,259,3,5,267,0,267,--,357,90,259,267,267,Algún campo sin dato,1,a3795f02a19b4e101359ea96cb8be838def420bfac125e4a18d0fe1485612442,26/06/2023 00:35:18,ESCANER
22809,"Chiquimula",20,"Olopa",6,3573,356,23,59,131,4,14,21,1,1,0,254,3,1,258,0,258,--,356,98,254,258,258,Algún campo sin dato,1,10be8a020e4d7eea140be03efdd0688cbef7870a3465f4e36e1f8e9d948f8e59,26/06/2023 03:26:51,ESCANER
