TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,41,100.0000,41,100.0000,0,14478,9620,66.4456

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,PHG,VAMOS,PPN,CAMBIO,ELEFANTE,AZUL,VOS,VALOR,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20126,"Alta Verapaz",16,"Chahal",14,3126,238,24,9,13,13,4,3,1,68,0,3,0,138,5,0,143,0,143,--,238,95,138,143,143,Algún campo sin dato,1,cc2a0dc6c49c79ded5655b72497d271d58b63acbba43309b2b6ed7a4d64becc8,26/06/2023 03:22:16,ESCANER
20127,"Alta Verapaz",16,"Chahal",14,3126,237,28,4,12,6,10,0,0,53,0,1,1,115,4,2,121,0,121,--,237,116,115,121,121,Algún campo sin dato,1,5f1b7b51e36b288acdef6195b88ced72d3951294011c1965d25c59c51de1755b,26/06/2023 02:25:44,ESCANER
20128,"Alta Verapaz",16,"Chahal",14,3127,380,47,28,74,29,28,1,0,44,0,1,2,254,34,6,294,0,294,--,380,86,254,294,294,Algún campo sin dato,1,16d4563fea095087b95c1fd36dce4afbef651eb19dd48d1417263156f41bd91c,26/06/2023 02:00:25,ESCANER
20129,"Alta Verapaz",16,"Chahal",14,3127,380,61,17,48,35,22,1,0,46,1,2,3,236,19,14,269,0,269,--,377,108,236,269,269,Algún campo sin dato,1,688536f856c8b820b67ae26468c74690611ffcd7752d3bc3f358f42ddbb7288f,26/06/2023 02:07:16,ESCANER
20130,"Alta Verapaz",16,"Chahal",14,3127,380,34,12,55,9,18,6,--,122,--,--,2,258,34,8,300,--,300,--,376,76,258,300,300,Algún campo sin dato,1,ab2d4370135a3ca71ca1bc41df2137ac2cf3918c14ed5c2d5bcbb176b67dd985,26/06/2023 02:16:44,ESCANER
20131,"Alta Verapaz",16,"Chahal",14,3128,380,45,12,65,15,26,6,0,76,0,1,5,251,6,6,263,0,263,--,380,115,251,263,263,Algún campo sin dato,1,c686f5f632cb5a3cdbcb226c5a3ec92e8f3e8ce7e0e048778cc24c5517441b6a,26/06/2023 02:06:29,ESCANER
20132,"Alta Verapaz",16,"Chahal",14,3128,285,33,7,42,9,25,1,0,49,0,1,1,168,7,2,177,0,177,--,282,105,168,177,177,Algún campo sin dato,1,3a0e93863471526163e1c435cb12148854ca3552a88c8f9f09d22b2c0ad53965,26/06/2023 02:21:35,ESCANER
20133,"Alta Verapaz",16,"Chahal",14,3128,285,27,6,55,6,16,3,0,51,0,1,2,167,3,2,172,0,172,--,285,110,167,172,172,Algún campo sin dato,1,bbf4358b772348f77a6f9f33895a25ba87311cf70e341fadababdf87dd069f31,26/06/2023 02:31:10,ESCANER
20134,"Alta Verapaz",16,"Chahal",14,3129,380,43,13,93,29,12,2,0,64,1,2,1,260,23,4,287,0,287,--,378,91,260,287,287,Algún campo sin dato,1,fbf8464c5d1040d38b3f22b13387673a564c6c9a0449c05cf6934dfb341f8365,26/06/2023 02:19:25,ESCANER
20135,"Alta Verapaz",16,"Chahal",14,3129,380,51,10,89,32,36,2,0,43,0,4,2,269,26,5,300,0,300,--,380,80,269,300,300,Algún campo sin dato,1,b69e4f3a48eacc1714d2dd836d8abb88d4419f71f8a0f02bb5352e67dfd4410f,26/06/2023 02:35:58,ESCANER
20136,"Alta Verapaz",16,"Chahal",14,3129,380,50,4,85,21,0,2,0,64,0,2,5,268,14,6,288,0,288,--,378,90,233,253,253,Sumas Asentadas sin cuadrar,1,139afcebfb1c583c0e7eb7d42799d9356fa5c27ff7fe8fe34fd7a5367db72ac5,26/06/2023 03:13:22,ESCANER
20137,"Alta Verapaz",16,"Chahal",14,3129,380,45,6,64,24,52,3,0,44,0,3,3,244,12,0,256,0,256,--,380,124,244,256,256,Algún campo sin dato,1,04d7253429bee6c6386cb9f001b23d6d9a55fcd479f4e9c70174a236d4110b78,26/06/2023 02:28:25,ESCANER
20138,"Alta Verapaz",16,"Chahal",14,3129,193,18,3,34,11,19,2,0,35,0,1,0,123,3,4,131,0,131,1,193,62,123,130,130,Sumas Asentadas sin cuadrar,1,a7d85068fa71a8b82d3d70a6ece6da796bd2fa7dec476116227c8b000a27eddd,26/06/2023 02:57:26,ESCANER
20139,"Alta Verapaz",16,"Chahal",14,3129,192,27,4,38,14,16,1,0,22,0,2,0,124,0,3,127,0,127,--,192,65,124,127,127,Algún campo sin dato,1,a20d6c434d72bc58c56018e543ab726b80b0f02fc1598252a3cdff8471b2a510,26/06/2023 02:45:53,ESCANER
