TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
77,77,100.0000,77,100.0000,0,28211,19862,70.4051

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,MLP,TODOS,VICTORIA,PODEMOS,CABAL,ELEFANTE,BIEN,PHG,U R N G - MAIZ,PPN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18558,"Baja Verapaz",15,"Purulhá",8,2857,400,27,26,14,79,50,3,6,14,6,7,1,4,1,238,10,5,253,0,253,--,400,147,238,253,253,Algún campo sin dato,1,9ca2025454585dde5840a3abfa94569dda2d2246f902bf19b8434f1ac106376a,26/06/2023 00:08:53,ESCANER
18559,"Baja Verapaz",15,"Purulhá",8,2857,337,26,28,7,71,61,2,4,21,6,7,2,3,0,238,3,2,243,0,243,--,337,94,238,243,243,Algún campo sin dato,1,4d30d1a0608aed7e8d805d2ecde55f6b92f61b82679698012e98936d995cce82,25/06/2023 23:53:23,ESCANER
18560,"Baja Verapaz",15,"Purulhá",8,2857,337,25,13,5,80,57,1,2,8,2,9,1,1,1,205,7,3,215,--,--,--,337,122,205,215,215,Algún campo sin dato,1,450a414d853f2f48b224a4799ad7217b66cb8744234aaa30cb1358937f8057a8,25/06/2023 23:42:08,ESCANER
18561,"Baja Verapaz",15,"Purulhá",8,2858,380,17,80,1,75,32,8,12,29,5,3,1,1,2,266,15,8,289,0,289,--,380,91,266,289,289,Algún campo sin dato,1,a8311dd9b04763c0f32e3aa8dd9a0a419983462626c4fa83a6c5c6e56ec703ad,26/06/2023 00:12:41,ESCANER
18562,"Baja Verapaz",15,"Purulhá",8,2858,380,21,76,2,84,42,6,12,24,5,6,8,4,4,294,16,8,318,0,318,0,380,62,294,318,318,,1,48ae45aaa381177638ac3e4ac7d72b2416cff237e9a5be058e60fb8b67b68e36,25/06/2023 23:26:55,ESCANER
18563,"Baja Verapaz",15,"Purulhá",8,2858,380,19,72,2,72,52,4,8,19,1,3,2,1,5,260,13,8,281,0,281,--,380,99,260,281,281,Algún campo sin dato,1,5aedb9d3912e949b59a6ddab4fec8a5bd36c76d242528c5afc3cbf548ecd2af5,26/06/2023 00:38:49,ESCANER
18564,"Baja Verapaz",15,"Purulhá",8,2858,365,16,55,1,58,42,4,5,18,2,6,4,1,1,213,11,2,226,0,226,--,365,139,213,226,226,Algún campo sin dato,1,7d2bf1e0a27ad4c4dd789ede12e63ddfbe2127ad5c3b8386230546d9176cfb78,26/06/2023 00:32:35,ESCANER
18565,"Baja Verapaz",15,"Purulhá",8,2858,365,18,55,1,58,46,8,4,6,5,8,2,2,3,216,5,4,225,0,225,0,365,140,216,225,225,,1,290656e2c394bad9c4de13f2e3bb9603c5e98fc48247477f8cfafd7cd7028288,25/06/2023 23:31:15,ESCANER
18566,"Baja Verapaz",15,"Purulhá",8,2859,380,41,48,12,74,15,0,2,19,1,1,7,0,4,224,41,11,276,0,276,0,380,104,224,276,276,,1,0cab29886baa0e12d32564d538a8343fad3301bb61106a7bf1683121b45c1911,26/06/2023 02:17:42,MOVIL
18567,"Baja Verapaz",15,"Purulhá",8,2859,380,20,121,17,53,16,0,1,14,0,0,12,0,2,256,22,7,285,1,285,--,380,95,256,285,286,Sumas Asentadas sin cuadrar,1,434a66aa202aff77b1d2a9cad008d63bcdb73e949a202eab2696b97099d1109b,26/06/2023 03:02:23,MOVIL
18568,"Baja Verapaz",15,"Purulhá",8,2859,380,24,78,8,67,9,3,0,10,0,0,3,0,3,205,22,3,230,0,230,--,380,150,205,230,230,Algún campo sin dato,1,ea40b16f32c36bfe2ed8217881b49aa706a6a4bb5167e864c1f20dd9cb5f3569,25/06/2023 23:44:41,MOVIL
18569,"Baja Verapaz",15,"Purulhá",8,2859,223,13,64,1,53,15,0,1,7,0,0,2,0,0,156,3,0,159,0,159,0,223,64,156,159,159,,1,3edee36e9436857bf580a6c1078bf3f072c1e520590a47df76a166d1dc3da9c2,25/06/2023 23:09:41,MOVIL
18570,"Baja Verapaz",15,"Purulhá",8,2859,223,15,32,2,40,8,1,2,9,0,0,5,0,1,115,5,2,122,0,122,0,223,98,115,122,122,,1,efa4bdd0c8b1d1424882f76ef0361603fe9fa785de4ae44672f7678b720ad8a0,26/06/2023 04:45:50,ESCANER
18571,"Baja Verapaz",15,"Purulhá",8,2860,380,15,45,1,42,17,2,3,42,1,3,72,1,1,245,13,7,265,0,265,--,380,115,245,265,265,Algún campo sin dato,1,757f03c543d4623ce44f6c2cd6631b586ea2d221c1276bb2b73f45e20fa9af33,25/06/2023 23:30:09,ESCANER
18572,"Baja Verapaz",15,"Purulhá",8,2860,380,25,44,0,31,20,0,2,48,2,4,78,0,0,254,19,8,281,0,281,--,380,99,254,281,281,Algún campo sin dato,1,26b8014f8341bc7d922b3d630fef3ca9e3e6cdb2c7bb6f559103ec5828fbcb34,25/06/2023 22:41:49,ESCANER
18573,"Baja Verapaz",15,"Purulhá",8,2860,380,38,50,0,66,16,2,7,42,2,9,52,0,0,284,20,9,313,0,313,--,380,67,284,313,313,Algún campo sin dato,1,c07a81c8a601e0dadf591c4650a0f09a021a668ebd4cf3e1f3400b778fe0aec7,25/06/2023 23:40:51,ESCANER
18574,"Baja Verapaz",15,"Purulhá",8,2860,380,18,62,0,35,10,0,2,35,0,14,58,1,0,235,18,5,258,0,258,--,404,146,235,258,258,Algún campo sin dato,1,a42afdddfee089f693802e1a6a226333031625f4c34ee3f33093891e1239ea43,25/06/2023 22:51:55,ESCANER
18575,"Baja Verapaz",15,"Purulhá",8,2861,380,19,54,0,32,10,2,2,37,0,5,52,0,0,213,12,3,228,0,228,--,380,152,213,228,228,Algún campo sin dato,1,6696567e369c2569029140e88915459acd2af4170204d56691d3ca33bc2543bf,25/06/2023 22:51:26,ESCANER
18576,"Baja Verapaz",15,"Purulhá",8,2861,324,10,47,1,42,13,2,3,32,0,6,25,0,0,181,4,0,185,0,185,--,324,139,181,185,185,Algún campo sin dato,1,83c52bedc0b811b71c23457e1b6346e0d27bf12954012fc80977ac52d857a1b3,25/06/2023 23:27:38,ESCANER
18577,"Baja Verapaz",15,"Purulhá",8,2862,324,6,25,1,22,7,1,1,28,1,7,57,0,0,156,12,3,171,0,171,--,323,152,156,171,171,Algún campo sin dato,1,a39cb7bdd9ac2b6e9968609db08ba8d376c7aebf0122b5ac94f754876daf963a,25/06/2023 23:44:20,ESCANER
18578,"Baja Verapaz",15,"Purulhá",8,2863,380,49,35,0,55,7,24,2,50,0,0,20,1,1,244,31,5,280,0,280,--,380,100,244,280,280,Algún campo sin dato,1,85349b484065c3cc513fbe9ef229a23b86d4419ca732e694636f2ff3b3e9c0db,26/06/2023 06:20:41,ESCANER
18579,"Baja Verapaz",15,"Purulhá",8,2863,380,43,38,0,64,5,44,4,43,0,0,12,2,2,257,31,1,289,0,289,--,380,91,257,289,289,Algún campo sin dato,1,1231fa54f71d1fbe360d212c3f5aa0005c260a407ed756f16306f096b551a457,26/06/2023 02:09:52,ESCANER
18580,"Baja Verapaz",15,"Purulhá",8,2863,380,51,25,0,66,3,50,3,56,0,1,23,0,1,279,20,6,305,0,305,--,380,75,279,305,305,Algún campo sin dato,1,41ea97c80c4f09f25b6249261af08e278eceb92ed7794ac7477727af6fa18bea,26/06/2023 01:54:19,ESCANER
18581,"Baja Verapaz",15,"Purulhá",8,2863,380,42,25,1,54,8,25,1,56,0,3,17,0,0,232,26,4,262,0,262,--,380,118,232,262,262,Algún campo sin dato,1,8af52571e9681905b66e81396d2d0ba2ecd9b60c821ccc681672291de6df1a9f,26/06/2023 01:43:09,ESCANER
