TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
115,114,99.1304,113,98.2608,1,40227,17509,43.5254

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,ELEFANTE,WINAQ,CABAL,UNIONISTA,VIVA,VAMOS,CREO,SEMILLA,PODEMOS,UNE,PPN,UR,VOS,TODOS,AZUL,VALOR,BIEN,PIN,P A N,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13640,"San Marcos",12,"Tacaná",7,1889,400,2,19,0,30,5,7,21,10,14,1,20,6,5,6,20,0,1,12,1,3,183,20,8,211,0,211,--,400,189,183,211,211,Algún campo sin dato,1,ccc68479d71a515ff3333d2dfa07ed2380328f49bba0b74e014f8db7970a44c2,25/06/2023 23:55:50,ESCANER
13641,"San Marcos",12,"Tacaná",7,1889,400,0,14,2,49,1,3,28,6,15,3,24,5,2,5,30,1,2,20,2,3,215,27,6,248,0,248,--,400,152,215,248,248,Algún campo sin dato,1,c00b2d73b341b425d9c48310171f716cf6722394a8789be1b3481f7a739efffe,26/06/2023 01:21:50,ESCANER
13642,"San Marcos",12,"Tacaná",7,1889,400,2,12,0,38,1,9,20,17,11,2,21,10,1,17,21,6,3,23,3,0,217,44,13,254,0,254,--,397,143,217,274,274,Sumas Asentadas sin cuadrar,1,c7b42113751d1064fadb9b50b4baadafb29cac51dbe40fd3dc54b65421b55ef1,26/06/2023 04:35:15,ESCANER
13643,"San Marcos",12,"Tacaná",7,1889,400,0,29,0,25,0,4,20,16,4,2,10,3,3,8,25,2,0,32,2,3,188,6,5,199,0,199,--,400,201,188,199,199,Algún campo sin dato,1,e62686778e8b0c2168a64553ebb5976fee1874222005bc06e8b32f211e1e2c1c,25/06/2023 23:35:49,ESCANER
13644,"San Marcos",12,"Tacaná",7,1889,400,4,8,1,16,1,1,25,14,15,4,20,3,2,2,21,0,1,13,0,1,178,17,11,206,0,206,--,400,194,152,180,180,Sumas Asentadas sin cuadrar,1,30bf6333cdf3fd5e990488605139ce10970dc66165bbfcacf041a5ae7f5805ae,26/06/2023 04:50:21,ESCANER
13645,"San Marcos",12,"Tacaná",7,1889,400,2,13,1,27,2,3,19,13,10,0,6,4,2,16,11,0,0,8,1,0,138,11,8,157,0,157,--,400,243,138,157,157,Algún campo sin dato,1,8809f3b3f514faf59d3946a5d52c72043001bd646d7c4d5f4a6e672167489bb0,25/06/2023 22:54:29,ESCANER
13646,"San Marcos",12,"Tacaná",7,1889,252,0,5,1,26,1,1,15,8,3,0,3,4,1,4,16,0,1,3,3,2,97,3,1,101,0,101,--,252,151,97,101,101,Algún campo sin dato,1,f413b1faac386ea697ef83c72d3ae016041393e9aad179bc656ca9eb25100bf3,25/06/2023 22:57:13,ESCANER
13647,"San Marcos",12,"Tacaná",7,1889,252,0,6,1,13,0,4,12,9,9,0,5,1,0,8,14,2,0,10,1,0,95,2,0,97,0,97,--,252,155,95,97,97,Algún campo sin dato,1,26d09fc8fd52bc46db48a6823da141ccb31505113aa54618d1bcd4fe2e54e95f,25/06/2023 23:00:50,ESCANER
13648,"San Marcos",12,"Tacaná",7,1890,380,0,6,1,25,0,3,9,43,1,0,15,0,0,2,7,2,0,22,0,1,142,14,9,165,0,165,--,380,215,137,160,160,Sumas Asentadas sin cuadrar,1,f66cda96e2576061216fecc9572292a5b8ae2c75ec8f2504f355fcc01dc8033c,26/06/2023 03:41:09,ESCANER
13649,"San Marcos",12,"Tacaná",7,1890,380,1,11,3,30,2,5,12,7,2,2,12,9,0,1,10,1,1,33,0,14,156,14,5,175,0,175,--,380,205,156,175,175,Algún campo sin dato,1,1364a4f90be398b3a7dd6b948407c96f49b486d854ca941a152456dc471f8cfd,25/06/2023 22:16:12,ESCANER
13650,"San Marcos",12,"Tacaná",7,1890,380,1,11,3,16,2,4,9,23,1,1,7,6,0,0,2,2,0,19,0,5,112,14,3,129,0,129,--,377,248,112,129,129,Algún campo sin dato,1,d4cbc94e2d34b6d59be06f6aafd848a1ec7361b82d42661691e2da308086e38c,26/06/2023 01:36:03,ESCANER
13651,"San Marcos",12,"Tacaná",7,1890,249,0,8,2,21,1,0,6,25,2,3,5,3,0,0,0,0,0,15,0,7,98,5,3,106,0,106,--,240,140,98,106,106,Algún campo sin dato,1,2c6148e84d8b4fef8f602e5b43cb50f64837221db12d8a88abb7e363ad2ab785,26/06/2023 04:33:47,ESCANER
13652,"San Marcos",12,"Tacaná",7,1890,248,0,4,0,18,1,1,3,10,1,1,0,2,0,0,5,0,0,8,0,4,58,3,3,64,0,64,--,248,184,58,64,64,Algún campo sin dato,1,c367d418ae7a357d8e2b52bed7fefc4c12432e76d60bf3d93b6846edbe2bae03,26/06/2023 01:55:44,ESCANER
13653,"San Marcos",12,"Tacaná",7,1891,380,3,10,9,11,5,14,15,16,25,15,7,3,1,7,2,1,1,4,0,4,185,26,6,185,0,185,--,380,195,153,185,185,Sumas Asentadas sin cuadrar,1,032b09ed03bd76ad387d1470cb3286f52c236db6b521539f40c7a8a2bb933e2a,26/06/2023 02:17:23,ESCANER
13654,"San Marcos",12,"Tacaná",7,1891,380,9,39,4,4,2,15,11,14,14,6,8,1,1,4,4,1,1,7,0,6,151,21,9,181,0,181,--,380,199,151,181,181,Algún campo sin dato,1,efc29b5ec026141472b0dce841440ea53eea4d22e3f85f5c051c133cce1d4b52,25/06/2023 22:58:30,ESCANER
