TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
211,211,100.0000,207,98.1042,4,84334,47654,56.5062

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,VALOR,UNE,AZUL,MLP,CAMBIO,WINAQ,PODEMOS,UR,VAMOS,TCB,BIEN,VICTORIA,PPN,PR,U R N G - MAIZ,VOS,VIVA,MI FAMILIA,SEMILLA,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7181,"Escuintla",5,"Escuintla",1,801,400,10,4,23,42,2,1,3,2,7,0,27,4,4,46,4,2,2,2,5,1,12,6,209,26,4,239,0,239,--,400,161,209,239,239,Algún campo sin dato,1,9ff3ff922acc16a38cbf19c62b1a8ac4485ec97e70c161d50076169d8c92284e,26/06/2023 01:47:53,ESCANER
7182,"Escuintla",5,"Escuintla",1,801,400,5,2,12,47,5,1,4,0,11,3,38,2,5,49,10,0,0,6,6,1,12,6,225,13,1,239,0,239,--,400,161,225,239,239,Algún campo sin dato,1,9491ab1eea317b76948896de6aaaf091d2ba49ef1130b29d8b4684383a920e8e,25/06/2023 23:26:50,ESCANER
7183,"Escuintla",5,"Escuintla",1,801,400,3,2,13,36,3,1,2,1,9,2,38,1,5,61,4,1,2,2,6,0,16,5,214,14,1,228,0,214,--,401,172,213,228,228,Sumas Asentadas sin cuadrar,1,76b50490af2c937fc098f194c2da1966abba2ce9750e702ce16910e23a197439,26/06/2023 00:36:51,ESCANER
7184,"Escuintla",5,"Escuintla",1,801,400,10,3,19,28,4,0,3,0,14,1,40,2,2,67,7,1,1,7,5,1,22,3,240,11,0,251,0,251,0,400,149,240,251,251,,1,acd3017070b58baf42ff373152cfe2eba508006345c3da0787c08075418581dc,26/06/2023 02:07:14,ESCANER
7185,"Escuintla",5,"Escuintla",1,801,400,11,1,15,35,2,1,0,0,15,1,39,3,3,48,7,0,1,4,6,0,15,7,214,18,1,233,0,233,--,400,167,214,233,233,Algún campo sin dato,1,b4db6628a7e7b790ec54872a2b77ee056b47c9370e2954fd5faf5697069ac15e,25/06/2023 22:41:37,ESCANER
7186,"Escuintla",5,"Escuintla",1,801,400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Suma Excede Padrón,0,a8c56d789388f4fcf1e2e5e4150a7c3dad5dbd1a62f6f55dd4ee74862f1c8372,26/06/2023 02:29:10,ESCANER
7187,"Escuintla",5,"Escuintla",1,801,400,10,4,15,32,3,1,0,2,9,1,19,6,0,53,5,0,3,5,4,0,19,7,198,10,0,208,0,208,0,400,189,198,208,208,,1,336e402e360944e78bc9832e4277041782003318c4e6904c589fbf6ccfec47a5,26/06/2023 00:14:11,ESCANER
7188,"Escuintla",5,"Escuintla",1,801,254,3,2,7,22,1,1,0,1,8,1,14,0,0,25,1,0,2,1,3,2,6,4,104,5,0,109,0,109,--,--,--,104,109,109,Algún campo sin dato,1,4f6e4ed5c6a04c714746a0d7dc7e0eeb756cf675e72b3255f25a52697c0a9e08,25/06/2023 23:19:16,ESCANER
7189,"Escuintla",5,"Escuintla",1,801,254,2,0,8,18,2,0,0,0,6,2,14,2,1,18,4,0,1,1,3,0,6,1,89,5,1,95,0,95,--,254,159,89,95,95,Algún campo sin dato,1,7419bc66a45b858cb576f2c1cdae08ff61cbc4692b1715d99d2d7c58dc380235,25/06/2023 22:26:26,ESCANER
7190,"Escuintla",5,"Escuintla",1,802,400,11,4,9,52,1,2,2,1,15,0,17,3,4,58,11,2,4,8,7,3,6,7,227,16,3,246,0,246,0,400,154,227,246,246,,1,ffd490271e1e3f91798cd8a5ba81806653d9b76be1a8f4fee91658c12ca19016,26/06/2023 02:26:32,ESCANER
7191,"Escuintla",5,"Escuintla",1,802,400,10,6,10,49,0,1,0,1,9,3,22,5,4,18,13,4,5,4,8,2,6,8,229,25,1,255,0,255,--,397,142,188,214,214,Sumas Asentadas sin cuadrar,1,4224e6ee3a5b5ac9bb8cee03e3426f4ba118a65820cf165713bb7aef8efcd698,26/06/2023 04:50:11,ESCANER
7192,"Escuintla",5,"Escuintla",1,802,400,7,4,8,48,3,0,2,0,13,1,32,2,2,66,6,3,4,5,6,1,4,11,228,27,4,259,0,259,--,396,137,228,259,259,Algún campo sin dato,1,dfdadce8f61749f300b32fa4c8885ec7dda30255f6c55a4541753e33ac55cd27,26/06/2023 04:54:20,ESCANER
7193,"Escuintla",5,"Escuintla",1,802,400,10,6,14,50,7,2,0,0,9,5,35,0,9,65,7,4,7,3,10,0,2,4,249,12,7,268,0,268,0,400,132,249,268,268,,1,dbd3bb6187fb80f8fc0c6611efdf4d65541496667af2a8984b7b9300e828e838,26/06/2023 03:05:45,ESCANER
7194,"Escuintla",5,"Escuintla",1,802,400,8,4,9,44,4,4,1,2,21,2,28,0,2,53,9,2,4,5,3,2,4,14,225,31,5,261,0,261,--,400,137,225,261,261,Algún campo sin dato,1,68dd5f1276426540ed45c8ba61aa94256d3b44d47072cd702864c3bd0f948e46,26/06/2023 05:09:29,ESCANER
7195,"Escuintla",5,"Escuintla",1,802,400,9,3,9,60,7,4,0,1,21,2,27,1,3,52,6,3,7,4,7,1,6,4,237,20,0,257,0,257,--,400,143,237,257,257,Algún campo sin dato,1,7dcf84619566f9174ce49f4e5cec4dc3a5f502de51e6b1699042b8b7be9ee9c3,26/06/2023 05:16:25,ESCANER
7196,"Escuintla",5,"Escuintla",1,802,400,11,2,8,52,3,3,1,3,17,4,23,4,4,73,4,1,2,4,9,0,5,8,241,33,2,276,0,276,0,400,124,241,276,276,,1,5cadf81df117a689566459ae3c7cf5f165354e0863228d219a4a88854dc4cb5b,26/06/2023 03:07:12,ESCANER
7197,"Escuintla",5,"Escuintla",1,802,400,3,5,15,43,3,1,1,1,19,4,23,2,2,68,10,5,6,6,3,1,7,8,236,28,6,270,130,400,1,400,130,236,270,400,,1,d2c3899a753d347ef6e34be9ef225fdbdfef89551cb800715c7876ba5d0eb531,26/06/2023 03:12:06,ESCANER
7198,"Escuintla",5,"Escuintla",1,802,400,11,6,7,47,2,1,0,1,21,0,25,7,3,57,5,2,3,8,4,1,6,14,231,23,3,257,0,257,0,400,143,231,257,257,,1,7115a2b87215f6cef82b851d8ed2669e83e0318ccd02fda6c69a6db71a41596d,26/06/2023 03:47:47,ESCANER
7199,"Escuintla",5,"Escuintla",1,802,400,10,0,11,51,1,1,1,2,19,0,23,5,4,54,6,4,4,4,10,1,5,11,227,20,3,250,0,250,0,400,150,227,250,250,,1,03ed1a224c7703aac479d10c32ed8cf2beef7fea51757fee42c879d994e49863,26/06/2023 03:54:04,ESCANER
7200,"Escuintla",5,"Escuintla",1,802,400,9,3,11,44,0,0,2,1,11,1,31,4,3,54,7,1,0,5,4,3,7,8,209,18,0,227,0,0,--,400,173,209,227,227,Algún campo sin dato,1,b0406ec5d46bec92ba4990dd4932eb19f0a12c54ad1fe956a2e055b1fa9f0ec5,26/06/2023 05:48:23,ESCANER
7201,"Escuintla",5,"Escuintla",1,802,400,3,4,6,40,5,5,1,2,10,0,35,2,4,65,10,2,2,7,6,0,3,3,215,13,1,229,0,229,0,397,168,215,229,229,,1,04c81cf020d0b492ebacf37ab090976039985d271c5d0811c51394b6aacebd1f,26/06/2023 04:05:51,ESCANER
7202,"Escuintla",5,"Escuintla",1,802,400,17,1,8,49,1,1,1,1,16,2,25,2,1,60,11,4,4,3,4,0,7,8,226,18,0,244,0,244,0,400,156,226,244,244,,1,dfe622f3ab3594b80e2466c8287d427037cc4576eb9eed866fa8793394dbbb19,26/06/2023 04:10:49,ESCANER
7203,"Escuintla",5,"Escuintla",1,803,400,6,3,8,50,2,3,0,0,14,3,28,3,5,55,6,1,3,3,8,1,4,4,210,12,0,222,0,222,--,400,178,210,222,222,Algún campo sin dato,1,1b998ca04c4174c69d0cf4df33589310bf82df385057fd42e9acf19ef5603241,26/06/2023 02:23:32,ESCANER
