TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,94,100.0000,0,35353,14734,41.6768

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,PHG,VIVA,BIEN,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15696,"Huehuetenango",13,"La Democracia",12,2293,400,99,36,9,1,21,4,6,176,26,5,207,--,207,--,400,193,176,207,207,Algún campo sin dato,1,a4ffb757deba16cb6e0be9af59a3096f18b1c0e1940407abdc86291c410b15ff,25/06/2023 23:30:51,ESCANER
15697,"Huehuetenango",13,"La Democracia",12,2293,400,96,45,10,1,22,6,2,182,17,2,201,0,201,--,400,199,182,201,201,Algún campo sin dato,1,5f6af73c34c65ec6f38ca334aff6eee88b1ae9b416f4b7269cf0bb36b3b9df57,26/06/2023 00:58:15,ESCANER
15698,"Huehuetenango",13,"La Democracia",12,2293,400,118,42,0,1,17,3,2,183,27,9,219,0,183,--,400,181,183,219,219,Sumas Asentadas sin cuadrar,1,f76b600b46dfefa20415deb4a33f7c053ae95c87195656d3f74caec420fed844,26/06/2023 02:19:04,ESCANER
15699,"Huehuetenango",13,"La Democracia",12,2293,400,110,48,20,4,24,4,4,214,18,5,237,0,237,--,400,163,214,237,237,Algún campo sin dato,1,2094dbff47ac3969eaaf124bbd2a5619f2dce2cf3c46158182aa9f1fbd3c95b9,26/06/2023 00:28:42,ESCANER
15700,"Huehuetenango",13,"La Democracia",12,2293,400,112,28,19,1,20,0,4,184,21,4,209,0,209,--,400,191,184,209,209,Algún campo sin dato,1,c645d16b54eb31d986603698b6dc7ce0e2676674d842ada786d34fc1385d0407,25/06/2023 23:57:23,ESCANER
15701,"Huehuetenango",13,"La Democracia",12,2293,400,79,28,9,0,14,1,1,132,7,5,144,0,144,--,400,256,132,144,144,Algún campo sin dato,1,1ee97aff9514dba94ff796529014f23568a797c156fd301ed175dd50dbf6f3b7,25/06/2023 21:45:01,ESCANER
15702,"Huehuetenango",13,"La Democracia",12,2293,400,100,34,16,1,9,4,3,167,14,2,183,0,183,--,400,217,167,183,183,Algún campo sin dato,1,ea421e3791598bc39578a49fc21c9b256bafd0e1346df39c1476b02ea4acb2b6,26/06/2023 00:03:35,ESCANER
15703,"Huehuetenango",13,"La Democracia",12,2293,400,107,35,13,6,17,2,3,183,11,3,197,0,197,--,400,203,183,197,197,Algún campo sin dato,1,cf6315c62b0bf88a116ef4204d8489fc226be1d6a92a6441d9bde72085e3b910,26/06/2023 01:09:08,ESCANER
15704,"Huehuetenango",13,"La Democracia",12,2293,400,93,32,5,2,18,1,0,151,15,2,168,0,168,0,400,232,151,168,168,,1,cb83b7dfd3f5b2d810f8c7beb07cbcf3ff4fa61b15cfac84569fc308f94544bd,26/06/2023 00:41:38,ESCANER
15705,"Huehuetenango",13,"La Democracia",12,2293,400,80,41,9,3,16,1,3,153,13,6,172,0,172,--,400,228,153,172,172,Algún campo sin dato,1,a4a1193682e07fcf0b32a55ea92b4336ce9876d238c33a9a2f01bcea9a728c21,26/06/2023 00:49:59,ESCANER
