TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
146,146,100.0000,146,100.0000,0,56448,35342,62.6098

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,UNE,VAMOS,MLP,BIEN,SEMILLA,PPN,AZUL,WINAQ,CAMBIO,UR,PIN,TODOS,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12637,"Retalhuleu",11,"Retalhuleu",1,1727,400,17,100,3,36,4,101,4,3,1,0,1,1,0,0,4,275,13,2,290,0,290,--,400,110,275,290,290,Algún campo sin dato,1,7017c2acb0e5a4ffc1187fb0d7ff456f3f7473316f3c546d654f3c538160e4f3,26/06/2023 00:36:51,ESCANER
12638,"Retalhuleu",11,"Retalhuleu",1,1727,400,19,92,6,32,3,111,6,3,2,0,0,1,0,0,4,279,16,1,296,0,296,--,400,104,279,296,296,Algún campo sin dato,1,72697493a6aa0c2cc6762b9be360380ba44ba760dd2381c4f6704e9f3c95a903,26/06/2023 00:55:58,ESCANER
12639,"Retalhuleu",11,"Retalhuleu",1,1727,400,20,78,3,30,2,116,6,1,2,1,0,1,0,2,5,267,18,8,293,0,293,--,400,107,267,293,293,Algún campo sin dato,1,6e2f95017a6e0c81b3f41a975fa9ca7a7549a8b33d65817631f7cc8b56a0d659,25/06/2023 23:07:43,ESCANER
12640,"Retalhuleu",11,"Retalhuleu",1,1727,400,27,89,3,28,1,115,3,2,3,2,0,0,0,0,3,276,22,2,300,0,300,--,400,100,276,300,300,Algún campo sin dato,1,59470791a44015d536370d812ba3eb670c2e68ec68da09d93129b1acbe0dcfa6,26/06/2023 01:37:50,ESCANER
12641,"Retalhuleu",11,"Retalhuleu",1,1727,400,20,102,4,21,3,119,2,0,2,1,0,0,0,0,2,276,12,3,291,0,291,--,400,109,276,291,291,Algún campo sin dato,1,e44f6409bdada92168ebf976a8f00184b9caa1ef8f07bbc0bdd428888d91c1e3,25/06/2023 23:41:41,ESCANER
12642,"Retalhuleu",11,"Retalhuleu",1,1727,400,8,94,3,27,4,118,7,4,1,1,0,0,1,1,3,272,15,0,287,0,287,--,400,113,272,287,287,Algún campo sin dato,1,c120fe419e8273150079e4b0306e425ef6bb7155a4512092c18d9180b98522b4,26/06/2023 01:56:38,ESCANER
12643,"Retalhuleu",11,"Retalhuleu",1,1727,400,26,86,3,32,3,105,5,2,3,1,1,0,0,1,4,272,22,1,295,0,295,--,397,102,272,295,295,Algún campo sin dato,1,e85d44d15b63e29267be465e0660a1ee8a25f23791be3d8bf87481a4b5d1fe65,26/06/2023 02:14:21,ESCANER
12644,"Retalhuleu",11,"Retalhuleu",1,1727,400,17,90,2,32,2,115,1,4,2,2,1,1,1,1,4,275,21,7,303,0,303,1,400,96,275,303,303,,1,be71a2dd7a8b8042199aeeec062e1cc5b22fb715969c90d17c8fecb87f15dcb7,26/06/2023 03:39:51,ESCANER
12645,"Retalhuleu",11,"Retalhuleu",1,1727,400,26,105,5,26,3,112,3,2,2,0,1,2,0,1,4,292,13,1,306,0,306,--,400,94,292,306,306,Algún campo sin dato,1,3f80f90281dbdb8279bd8a6ea799b9edc9101c47fda53e83586486956a5fd8a0,26/06/2023 00:20:52,ESCANER
12646,"Retalhuleu",11,"Retalhuleu",1,1727,400,11,90,6,22,2,112,3,1,1,0,0,0,0,1,0,249,10,2,261,0,261,--,400,139,249,261,261,Algún campo sin dato,1,2a4902a6b943be44211371db84ceb03a5efc26e624ea9463014aaef2f424e608,26/06/2023 00:12:53,ESCANER
