TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,97,100.0000,0,37134,26112,70.3183

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,PPN,FCN-NACION,PHG,VAMOS,VALOR,VIVA,UNE,CABAL,CAMBIO,VICTORIA,MI FAMILIA,PODEMOS,ELEFANTE,AZUL,KAQ KOJ,SEMILLA,VOS,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18980,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2909,400,2,2,0,7,46,41,2,7,10,1,4,1,79,11,1,8,11,0,35,268,6,0,274,0,274,--,--,--,268,274,274,Algún campo sin dato,1,b8354e45a199227ccbe6a7d9ffec33a4b7004372d658c1c2953bab3555d9348b,26/06/2023 01:05:56,ESCANER
18981,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2910,400,1,3,1,6,43,44,1,8,15,8,0,0,70,10,1,10,5,0,25,251,5,0,256,0,256,--,400,144,251,256,256,Algún campo sin dato,1,a49524b1219129ecd65db36763f093b9532a389fe9d8d0a6d3f3043963846d21,26/06/2023 00:50:30,ESCANER
18982,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2910,400,1,4,0,7,52,33,1,6,16,3,0,0,65,8,0,5,1,0,37,239,3,0,242,0,242,--,400,158,239,242,242,Algún campo sin dato,1,ffd72d4f0b1b7782c03749dd00118684eec96f3a5949ff11e24c368e39b75f48,26/06/2023 00:43:45,ESCANER
18983,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2910,400,2,5,1,9,46,40,0,4,14,3,5,2,59,5,1,5,3,0,30,234,6,0,240,0,240,--,400,160,234,240,240,Algún campo sin dato,1,eb7c08e094709110d2db1e508e5959ca588f7f095933d3232274e754528f9e08,26/06/2023 00:07:39,ESCANER
18984,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2911,400,2,2,0,8,59,29,3,6,13,3,1,2,68,3,4,8,3,0,39,253,6,0,259,0,0,--,400,141,253,259,259,Algún campo sin dato,1,65d08a74050b358d231fc1ecf033a571ccbf90214e382b2b61b41e18e7585008,26/06/2023 01:31:50,ESCANER
18985,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2911,400,1,5,0,8,51,51,2,4,8,1,4,1,60,2,4,3,2,0,32,239,2,1,242,0,242,--,400,158,239,242,242,Algún campo sin dato,1,5b5700bd2bd1485ea718109c1acf86ecbbd8832b65e90667b47ab64e64517779,26/06/2023 01:15:45,ESCANER
18986,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2911,400,6,0,0,8,53,38,1,3,12,3,2,0,57,3,3,3,3,0,45,240,3,0,243,--,243,--,400,157,240,243,243,Algún campo sin dato,1,d85d8dabef77a99c227bdd4b6c5fc1bc648d8d29d141514b709e5dfa8d2ddf59,26/06/2023 00:22:51,ESCANER
18987,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2911,247,4,4,0,5,29,26,2,2,5,1,0,1,35,2,0,4,1,1,20,142,3,1,146,0,146,--,247,98,142,146,146,Algún campo sin dato,1,ebd8a2e7510d78c218e1b6dfb587b68542ad0d5739fe7fc56f8a4ec9ea53fc84,25/06/2023 22:30:50,ESCANER
18988,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2911,246,0,4,0,3,29,20,2,2,5,0,1,2,29,3,1,1,0,0,23,125,8,0,133,0,133,--,246,113,125,133,133,Algún campo sin dato,1,7502c3e630fcc554652c2dddcb364613da3acdc0a6873a199ec51ac7be023e08,25/06/2023 22:24:30,ESCANER
18989,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2912,400,9,3,0,27,59,47,3,4,9,4,5,1,47,2,2,6,0,1,26,255,24,6,285,0,285,--,403,118,255,285,285,Algún campo sin dato,1,abf18af433e65e385026cb3f19c039127687998feac17794cfbe56b777c8d69e,26/06/2023 02:52:40,ESCANER
18990,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2912,400,4,2,1,28,66,57,1,11,13,2,6,0,52,2,3,8,1,1,28,286,27,8,321,0,321,--,400,79,286,321,321,Algún campo sin dato,1,b4319cd700bd8f12d124240fdfda42827ce1e14fa033e6219de3b22bf5760295,26/06/2023 03:03:15,ESCANER
18991,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2912,400,6,5,0,48,71,41,2,14,23,2,7,2,45,3,0,8,1,0,24,302,31,9,342,0,342,--,400,58,302,342,342,Algún campo sin dato,1,876fdac15d456659818868bb49dee9e34bd8fc587fadc01d6f88a40565faba69,25/06/2023 23:33:54,ESCANER
18992,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2912,400,1,6,2,16,67,70,2,8,17,2,9,1,29,2,3,2,0,1,54,292,24,7,323,0,323,--,400,77,292,323,323,Algún campo sin dato,1,92cdd5faae7fba528c400055cc81d661286bfa48d505fd367e8740d1c5f4e02c,26/06/2023 01:27:23,ESCANER
18993,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2912,400,1,1,0,21,48,123,3,3,8,2,4,1,50,2,1,5,1,0,42,316,19,6,341,0,341,--,400,59,316,341,341,Algún campo sin dato,1,a02419f3eab01ef10597206aadac7f31e5588c5ba7812522affe86f256181470,26/06/2023 00:48:19,ESCANER
18994,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2913,400,3,1,0,22,69,51,2,8,6,4,35,0,63,0,1,5,0,0,6,276,28,17,321,0,321,--,400,79,276,321,321,Algún campo sin dato,1,852dedb207c06253e8f7755e1b7e886fbb0270e694f1f115208ef18b243335e9,26/06/2023 01:13:14,ESCANER
