TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
83,83,100.0000,83,100.0000,0,31198,18069,57.9171

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR UNIONISTA,CABAL,UNE,VOS,DESARROLLO,ELEFANTE,AZUL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22858,"Chiquimula",20,"Esquipulas",7,3584,400,64,37,4,5,34,57,1,2,204,12,10,226,0,226,--,400,174,204,226,226,Algún campo sin dato,1,7cbb00a3823c1bc9140eb39473aed4d2019e995b3e1429c8b6537705f251f6fc,26/06/2023 01:15:27,ESCANER
22859,"Chiquimula",20,"Esquipulas",7,3584,400,61,61,6,13,31,65,2,1,240,17,10,267,0,267,--,399,132,240,267,267,Algún campo sin dato,1,7cd64aba24e8020e5a5d0dd1ff0218255d1f2c74cc683dfd08560eba6821b756,25/06/2023 23:32:45,MOVIL
22860,"Chiquimula",20,"Esquipulas",7,3584,400,68,43,7,11,31,40,1,4,205,16,5,226,0,226,--,400,174,205,226,226,Algún campo sin dato,1,f08c938c6831cf62ebd4db9e7322808846d3addef0f84e5bc7478d7e8d531fa8,26/06/2023 01:19:34,MOVIL
22861,"Chiquimula",20,"Esquipulas",7,3584,221,33,30,2,2,26,11,1,0,105,2,2,109,0,109,--,221,112,105,109,109,Algún campo sin dato,1,339e551583a97223e0158f9c7fe1fbfc38ecd8b3e9a57a47c3a9374d7825e293,25/06/2023 22:34:07,MOVIL
22862,"Chiquimula",20,"Esquipulas",7,3584,220,37,23,1,1,19,20,1,0,102,1,1,104,0,104,--,220,116,102,104,104,Algún campo sin dato,1,b02fd3ac3e5c137b12bf56801256b978118c5ef1ac32bcb86ed2194662d49454,25/06/2023 22:39:10,MOVIL
22863,"Chiquimula",20,"Esquipulas",7,3585,380,50,24,4,5,15,99,2,4,203,9,13,225,0,225,--,380,152,203,225,225,Algún campo sin dato,1,e0b36a0ee29d530e3f43a9201c9df2e1ff24810474c2b77623ce529912320d9f,26/06/2023 02:41:50,ESCANER
22864,"Chiquimula",20,"Esquipulas",7,3585,380,64,19,4,5,14,103,0,2,211,16,8,235,0,235,--,380,145,211,235,235,Algún campo sin dato,1,bfce3d21e947733fb6ec8c1b952a8762c3a436ae7fcdd10a17bfcc30392b532a,26/06/2023 03:00:59,ESCANER
22865,"Chiquimula",20,"Esquipulas",7,3585,380,43,27,3,4,12,118,0,3,210,16,8,234,0,234,--,377,143,210,234,234,Algún campo sin dato,1,bef1466e1812b466271e4b4a6f7a632ba898381d2ed48a5b8da44f39c0c5dad0,26/06/2023 00:12:50,MOVIL
22866,"Chiquimula",20,"Esquipulas",7,3585,380,46,24,1,3,18,110,1,2,205,16,5,226,0,226,--,380,154,205,226,226,Algún campo sin dato,1,0eb5f8cf1e1afe987c278e91efdb9bf32b70e406178f120711e9c04405deeb46,26/06/2023 02:56:05,ESCANER
22867,"Chiquimula",20,"Esquipulas",7,3585,380,31,27,6,2,22,125,0,3,216,17,6,239,0,239,--,380,141,216,239,239,Algún campo sin dato,1,f289cb60d16fdb9a85881bebf671eb87809dc997f5672bcc71544592484bb370,26/06/2023 03:13:59,ESCANER
22868,"Chiquimula",20,"Esquipulas",7,3585,380,35,21,4,4,25,112,0,2,203,24,7,234,0,234,--,380,146,203,234,234,Algún campo sin dato,1,e81a1c9e7ba7490edde39bab92ef71ca8f7865dca670cff10a0245184bddccde,26/06/2023 03:47:53,ESCANER
22869,"Chiquimula",20,"Esquipulas",7,3585,380,32,43,2,5,28,121,0,0,231,9,8,248,0,248,--,380,132,231,248,248,Algún campo sin dato,1,8e648e95dd7537d64927dcbeef128ef0ce9d216a83ca353c86a8095bc08056a4,26/06/2023 03:46:29,ESCANER
22870,"Chiquimula",20,"Esquipulas",7,3585,380,43,18,1,0,14,81,0,3,160,18,5,183,0,183,--,380,197,160,183,183,Algún campo sin dato,1,c3ff4a3a221f9fb699ff669a4f7f653350cd00d94381dc08e61a87f96edf94c6,26/06/2023 01:05:56,MOVIL
22871,"Chiquimula",20,"Esquipulas",7,3585,380,42,25,3,4,12,103,1,2,192,9,2,203,0,203,--,380,177,192,203,203,Algún campo sin dato,1,f4e508fa634976d4ed01f78529e0926d26da9f47b687636d6d62d5db78312403,26/06/2023 03:41:53,ESCANER
22872,"Chiquimula",20,"Esquipulas",7,3585,380,24,33,2,0,21,82,0,0,162,9,1,172,0,172,--,380,208,162,172,172,Algún campo sin dato,1,c0ac0e0224ab6eeec90d3258306bd58ebbac7640a3fcaea3318202bd7052133e,25/06/2023 22:28:26,MOVIL
22873,"Chiquimula",20,"Esquipulas",7,3586,380,45,20,2,2,13,109,0,2,193,10,3,206,0,206,--,377,171,193,206,206,Algún campo sin dato,1,fb1af84f1050a658e2aae2030f383bcdafef45006d4d6aabad7f5f69cb1d249f,26/06/2023 01:12:55,MOVIL
22874,"Chiquimula",20,"Esquipulas",7,3586,380,47,34,1,0,13,93,0,0,188,6,2,196,0,196,--,380,184,188,196,196,Algún campo sin dato,1,65f8c0ebdb17065e3f8b8746427ed4879d2e6a951728b21f21d03a2a077e7f78,26/06/2023 00:46:56,MOVIL
22875,"Chiquimula",20,"Esquipulas",7,3586,306,37,8,1,1,14,102,1,1,165,4,0,169,0,169,--,306,137,165,169,169,Algún campo sin dato,1,0ed04edf0aeafbefdb67e6929bfad5f83ea775e3b1530989bc1fa7b46d08080f,26/06/2023 01:24:36,MOVIL
22876,"Chiquimula",20,"Esquipulas",7,3586,305,32,18,0,1,6,58,0,1,116,9,5,130,0,130,--,305,175,116,130,130,Algún campo sin dato,1,7389a069a2e61263ef8cc0243734c4eeb500dc39e098cf555cc89c888d3fa571,26/06/2023 00:59:48,MOVIL
22877,"Chiquimula",20,"Esquipulas",7,3587,380,54,59,4,17,24,19,0,0,177,29,7,213,0,213,--,380,167,177,213,213,Algún campo sin dato,1,71e277765373634537b5e831a0ade490a8644906297b240c8bb160fb1a94f20d,26/06/2023 01:29:16,MOVIL
22878,"Chiquimula",20,"Esquipulas",7,3587,380,84,63,1,4,26,24,0,0,202,4,4,227,0,227,--,381,152,202,210,210,Sumas Asentadas sin cuadrar,1,6d5df4a14aadc52e243c0a18712e9e521df0d96a1e0d4690ed0b8f806ecd2969,26/06/2023 02:57:06,MOVIL
22879,"Chiquimula",20,"Esquipulas",7,3587,380,56,54,2,5,42,11,1,2,173,16,4,193,0,193,--,380,187,173,193,193,Algún campo sin dato,1,8566788a9e3f02701d2387ce694d46e8a7fcce5a25385ac9fc63145030b8849b,26/06/2023 01:21:17,MOVIL
22880,"Chiquimula",20,"Esquipulas",7,3588,380,97,55,2,13,29,9,0,1,206,16,5,227,0,227,--,380,153,206,227,227,Algún campo sin dato,1,3be84da8eeb4fd0e7266c6b7d04c866a318f0bd1717097431ab5eb6c8536b5bc,26/06/2023 06:08:39,ESCANER
22881,"Chiquimula",20,"Esquipulas",7,3588,380,63,47,2,6,51,15,0,1,185,12,4,201,0,201,--,380,179,185,201,201,Algún campo sin dato,1,4163dfa4e1e0284bcb491c38a36646afbfabea273589baa41f030ca6b88ab798,26/06/2023 06:16:06,ESCANER
22882,"Chiquimula",20,"Esquipulas",7,3588,299,38,49,2,8,20,10,12,1,130,19,6,155,0,155,--,296,141,140,165,165,Sumas Asentadas sin cuadrar,1,ce73a9f85be5bded4dd699f601433a6ae5c6f0b4827fbfc6ca043e70180d494f,26/06/2023 06:32:18,ESCANER
22883,"Chiquimula",20,"Esquipulas",7,3588,298,28,44,1,5,17,8,0,1,104,11,1,116,0,116,--,298,179,104,116,116,Algún campo sin dato,1,d89b4ef86905e27578cd0dc25894cdd10282f09883ff76957099455111e11865,26/06/2023 06:35:25,ESCANER
22884,"Chiquimula",20,"Esquipulas",7,3589,380,40,83,2,9,21,36,2,1,194,19,8,221,0,221,--,380,158,194,221,221,Algún campo sin dato,1,725c001d0907bb362b2e3e3685b2e18bc03f3369a30a7def50ea7d9c40e32cbe,25/06/2023 23:31:27,MOVIL
22885,"Chiquimula",20,"Esquipulas",7,3589,380,51,90,2,4,20,50,2,0,219,9,6,234,1,235,--,368,134,219,234,235,Algún campo sin dato,1,75ee14c5f6fc08ebcb2ffa57d97a5a1df9b78bc1375025f32e6fceed91209b8b,26/06/2023 01:38:19,MOVIL
22886,"Chiquimula",20,"Esquipulas",7,3589,380,49,81,2,3,24,30,1,0,190,10,2,202,0,202,--,380,178,190,202,202,Algún campo sin dato,1,746764c8e73c9f47ddf7d34d3c6fb6d3d3e17473b5aa5a37200246b3389fadf1,26/06/2023 00:34:27,MOVIL
22887,"Chiquimula",20,"Esquipulas",7,3589,329,46,64,0,3,19,33,1,1,167,14,4,185,0,185,--,329,144,167,185,185,Algún campo sin dato,1,4e6ceb6f0bee91eb6e69e0fc9543e4b170fe87d4108b1c1b2a2114d0b67d27e2,25/06/2023 23:25:45,MOVIL
22888,"Chiquimula",20,"Esquipulas",7,3589,329,35,72,0,1,18,26,1,0,153,3,1,157,0,157,--,329,172,153,157,157,Algún campo sin dato,1,0659ed4ac030bda69d993ab55b0f4f7ca22da6be661257a549a8e156239b0793,25/06/2023 22:28:48,MOVIL
22889,"Chiquimula",20,"Esquipulas",7,3590,600,26,57,6,0,37,56,1,2,185,9,7,201,0,201,--,603,402,185,201,201,Algún campo sin dato,1,968b08f6870ed743c834362fcac071231284a526759f753519a3cfb5ca885371,26/06/2023 00:20:27,ESCANER
22890,"Chiquimula",20,"Esquipulas",7,3590,600,32,65,2,2,43,48,0,1,193,15,6,214,0,214,--,600,386,193,214,214,Algún campo sin dato,1,470f6ef9c74d2124602642162842491dd189cd6af3ee722955cbd556c8e96c44,26/06/2023 01:58:41,ESCANER
22891,"Chiquimula",20,"Esquipulas",7,3590,369,13,22,0,1,15,16,3,0,70,5,0,75,0,75,--,369,294,70,75,75,Algún campo sin dato,1,58159925fb8f1ad87575e49befa370be177b9937b315edfd64f8cb935d220bc4,25/06/2023 23:33:48,ESCANER
22892,"Chiquimula",20,"Esquipulas",7,3590,368,5,8,0,1,3,5,0,0,22,2,2,26,0,26,--,368,342,22,26,26,Algún campo sin dato,1,ae6de202db293a81a24005d9d0f5ae8d8a6cb3379f0fd2a31db50c8bfb00e584,25/06/2023 21:59:40,ESCANER
