TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
55,55,100.0000,55,100.0000,0,20883,12948,62.0025

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,ELEFANTE,VICTORIA,VAMOS,CREO,TODOS,PHG,CABAL,AZUL,PPN,UR,VALOR,VIVA,UNE,PIN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14254,"San Marcos",12,"Catarina",16,1996,358,10,2,56,42,8,2,8,1,2,1,0,0,36,1,169,4,1,174,0,174,--,358,184,169,174,174,Algún campo sin dato,1,ba3b2ac5e935cb15f852f19f36845e1aa3a2405bbe27c81ca470bd1ba3a135ba,26/06/2023 01:49:32,ESCANER
14255,"San Marcos",12,"Catarina",16,1997,380,5,3,54,96,6,0,37,3,8,2,0,0,42,0,256,15,5,276,0,276,--,380,104,256,276,276,Algún campo sin dato,1,8ba289fb5fa94b75373e730fa7711619acc9d87a708f45a98f32899005fa6207,26/06/2023 01:19:59,ESCANER
14256,"San Marcos",12,"Catarina",16,1997,380,6,3,68,106,11,2,15,2,3,0,0,0,40,0,256,14,1,271,0,271,--,380,109,256,271,271,Algún campo sin dato,1,e5a07178ceb0e2af3e680db3d2f1a5723e7c8d3ff070231f914b329a2f0dba08,25/06/2023 23:34:18,ESCANER
14257,"San Marcos",12,"Catarina",16,1997,380,5,3,70,101,11,3,30,1,3,2,1,1,35,5,271,5,5,281,0,281,--,380,99,271,281,281,Algún campo sin dato,1,5b59c8977c8d89aba8b33571fea658b288c33db494afa08939b2f275ce5a53f8,25/06/2023 23:51:32,ESCANER
14258,"San Marcos",12,"Catarina",16,1997,380,2,2,72,90,8,3,31,0,2,1,1,1,17,0,230,10,2,242,0,242,--,380,138,230,242,242,Algún campo sin dato,1,b65dc5d8a3977240a583ee23e56738b103e6bb961eeac7685b50165c504d22a0,26/06/2023 00:09:53,ESCANER
14259,"San Marcos",12,"Catarina",16,1997,380,1,2,52,79,10,6,25,1,4,4,1,0,40,2,227,7,2,236,0,236,--,380,144,227,236,236,Algún campo sin dato,1,90f7075c3a250cb5a46561f021c29ecda9b17e800d1390786297ae8e9c670d64,26/06/2023 00:33:07,ESCANER
14260,"San Marcos",12,"Catarina",16,1997,380,5,2,32,84,3,4,13,4,7,1,0,0,40,0,195,11,3,209,0,209,--,381,172,195,209,209,Algún campo sin dato,1,4b6a201c71b70898b948376588a3a35755662b8a8ca6e87aaaac1a369dcc198a,26/06/2023 00:52:29,ESCANER
14261,"San Marcos",12,"Catarina",16,1997,367,5,2,68,76,4,6,20,1,5,1,1,2,41,1,233,4,1,238,0,238,--,367,129,233,238,238,Algún campo sin dato,1,dd5e767a4a7d138edbbbd1fd834b28d4d3d0173edc46adf0613ba6c140c02713,26/06/2023 00:55:59,ESCANER
14262,"San Marcos",12,"Catarina",16,1997,367,4,0,58,82,5,4,17,1,3,0,2,0,33,1,210,5,2,217,0,217,--,367,150,210,217,217,Algún campo sin dato,1,54e199eb7c758bd598401f0b2979a5979f77a4977243069715bf076c7827f7ab,26/06/2023 01:05:54,ESCANER
14263,"San Marcos",12,"Catarina",16,1998,380,9,8,44,54,25,1,3,20,12,1,0,1,34,0,212,14,5,231,0,231,--,383,152,212,231,231,Algún campo sin dato,1,7060c04d58db0e3769a5eb6063b5dfea07fb4918f6ac093a1aa65edfe05fe5ba,26/06/2023 01:25:22,ESCANER
