TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
208,208,100.0000,208,100.0000,0,78651,44789,56.9465

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,MLP,VAMOS,UNE,U R N G - MAIZ,VIVA,BIEN,CABAL,UR,PPN,FCN-NACION,MI FAMILIA,VOS,PHG,PR,TODOS,P A N,VICTORIA,AZUL,PODEMOS,CAMBIO,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
4063,"Guatemala",1,"Amatitlán",14,409,400,44,5,6,12,9,3,47,31,2,14,1,13,19,4,4,0,1,1,2,3,0,1,222,10,0,232,0,232,--,401,168,222,232,232,Algún campo sin dato,1,a7158777712d8c166f4ee98b26cdbae93163a4ba053b8463bc04a0980dacde5f,26/06/2023 00:21:22,ESCANER
4064,"Guatemala",1,"Amatitlán",14,409,400,47,6,4,7,6,5,57,51,2,11,0,6,6,5,5,0,2,1,6,1,1,3,232,8,160,400,0,240,0,400,160,232,400,400,Sumas Asentadas sin cuadrar,1,abf9e75eaa124a7595c8d1c94190076cfcfbe088d15ca7b9ec9ef2f983e67859,25/06/2023 23:30:48,ESCANER
4065,"Guatemala",1,"Amatitlán",14,409,400,35,5,4,11,7,2,61,40,2,14,1,11,11,4,0,0,2,0,4,0,1,0,215,8,0,223,0,223,--,400,177,215,223,223,Algún campo sin dato,1,983d10b184c47336a5b40748d6243b6e149d5969f564ab3a8ada7b71f524c6d8,26/06/2023 01:16:20,ESCANER
4066,"Guatemala",1,"Amatitlán",14,409,400,42,2,2,8,10,2,64,53,1,12,1,8,12,5,3,0,2,1,5,1,3,1,238,5,0,243,0,243,--,400,157,238,243,243,Algún campo sin dato,1,349d1820980dc0ebad2d10368e7d6f549ff678119a04482ab32dce6989fc2a99,26/06/2023 01:30:55,ESCANER
4067,"Guatemala",1,"Amatitlán",14,409,344,22,1,6,8,7,3,36,25,0,7,1,7,11,2,1,1,0,2,4,0,0,0,144,10,0,154,0,154,--,344,190,144,154,154,Algún campo sin dato,1,ade922deb920b23c3969eef60b89a0a21d2c2d113c3044a5eebb3c96b99f7978,25/06/2023 23:09:20,ESCANER
4068,"Guatemala",1,"Amatitlán",14,409,343,26,6,3,7,7,1,26,36,4,8,3,3,2,2,2,1,2,2,9,0,1,0,151,3,1,155,0,155,--,343,188,151,155,155,Algún campo sin dato,1,835e90b630938a47ad56092beacbee4ed9cd1dfe99ef0478bbac74389b7b02a9,25/06/2023 23:53:15,ESCANER
4069,"Guatemala",1,"Amatitlán",14,410,400,36,10,3,27,5,13,30,48,2,20,1,10,7,5,1,0,1,3,8,0,1,0,231,19,3,253,0,253,--,397,144,231,253,253,Algún campo sin dato,1,c86efbc751f027274f6e13c2f67ec651f5207d16cddebc4abd56edaf4e0c130c,26/06/2023 02:06:28,ESCANER
4070,"Guatemala",1,"Amatitlán",14,410,211,23,0,3,14,0,3,27,28,1,7,0,5,2,1,0,0,0,0,5,1,2,0,125,10,2,137,0,137,--,211,74,122,134,134,Sumas Asentadas sin cuadrar,1,60d7ccf9655724598d3c2096f37462b6d1e5eb2b598d7cb20b755531800cbc17,26/06/2023 03:52:47,ESCANER
4071,"Guatemala",1,"Amatitlán",14,410,210,17,5,4,8,1,2,21,31,2,7,0,5,3,0,1,0,0,0,2,1,2,0,112,2,0,114,0,114,--,210,96,112,114,114,Algún campo sin dato,1,a6ad3491019d2c8c386fde097f8433d8c9dd6180220ff05739d3313650b3b500,25/06/2023 23:21:56,ESCANER
4072,"Guatemala",1,"Amatitlán",14,411,400,38,4,7,13,26,7,48,34,2,17,2,5,7,2,1,--,3,2,26,2,--,1,247,20,1,268,--,268,--,404,135,247,268,268,Algún campo sin dato,1,138aa8c9defa91d155fd2e7cefe02c5d53564a46336e2c496c7b1cd94d3778f1,26/06/2023 04:59:24,ESCANER
