TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
120,120,100.0000,120,100.0000,0,44970,22189,49.3417

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,UNE,CABAL,PODEMOS,MLP,VICTORIA,VIVA,CAMBIO,PR,WINAQ,AZUL,VALOR UNIONISTA,URNG-MAIZ SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18005,"Quiché",14,"Ixcán",20,2751,400,17,41,35,43,0,0,7,21,11,4,1,1,4,26,211,17,12,240,0,240,--,400,160,211,240,240,Algún campo sin dato,1,53ba3ef6cf28957f05643e2f0a687d9fb125f644980a82636740a6cc39ebc154,26/06/2023 00:21:35,ESCANER
18006,"Quiché",14,"Ixcán",20,2751,400,34,52,29,32,0,4,8,14,9,3,2,1,1,13,202,28,7,237,0,237,--,400,163,202,237,237,Algún campo sin dato,1,b0882f127350eedff38a5c53429ca9b123052abaf57cd170be69e6d1b5d19df5,26/06/2023 01:12:39,ESCANER
18007,"Quiché",14,"Ixcán",20,2751,400,15,43,23,29,1,1,16,18,5,1,4,1,1,22,180,18,3,201,0,201,--,400,199,180,201,201,Algún campo sin dato,1,a17517f6ffeb94361dc4fc420594a09a0eac03b50cb95fba3d43de80394c85e4,26/06/2023 01:51:37,ESCANER
18008,"Quiché",14,"Ixcán",20,2751,400,17,40,27,51,1,4,6,11,8,0,0,2,3,34,204,13,1,221,0,221,--,400,180,204,218,218,Sumas Asentadas sin cuadrar,1,9e1ae5628fbd57228e86162d8b1581ea34fa8d601e2a84c1f0d67d3ab50a0ed2,26/06/2023 05:44:51,ESCANER
18009,"Quiché",14,"Ixcán",20,2751,400,13,46,25,25,1,2,3,25,9,4,1,1,3,24,182,9,8,199,0,199,--,400,201,182,199,199,Algún campo sin dato,1,b7f054e222f8b1d05440004d0079a75efaa73be2d7faaa14d2c2e5a7674f2444,25/06/2023 23:47:24,ESCANER
18010,"Quiché",14,"Ixcán",20,2751,400,15,40,26,28,1,2,8,16,11,1,0,2,5,24,179,4,1,184,0,184,--,400,216,179,184,184,Algún campo sin dato,1,0ffaa24aa48fe10f39169521df0f1b4c7f376c605b83b5d25073a3bc01dd83bf,26/06/2023 00:07:46,ESCANER
18011,"Quiché",14,"Ixcán",20,2752,400,23,41,25,23,0,1,8,11,5,3,0,0,5,19,164,4,3,171,0,171,--,400,229,164,171,171,Algún campo sin dato,1,6b74e662a7f8cf8c501d5eff489da85e8aa8389a40d6668c564c7441547f4575,25/06/2023 21:56:10,ESCANER
18012,"Quiché",14,"Ixcán",20,2752,400,19,37,26,26,1,2,5,15,8,0,3,1,4,17,164,22,4,190,0,190,--,400,210,164,190,190,Algún campo sin dato,1,7570fa46f203ef863c4ee00e65c5928cc8e80e7b4b5a2af8353a84330f2a1fcb,25/06/2023 23:11:45,ESCANER
18013,"Quiché",14,"Ixcán",20,2752,400,24,34,42,32,0,0,5,13,12,1,1,0,1,26,191,22,5,218,0,218,--,400,182,191,218,218,Algún campo sin dato,1,8538cf219a7b0b72d3297c398284a30f4466cfe650e4fe5a0a0765896ca76319,26/06/2023 00:27:24,ESCANER
18014,"Quiché",14,"Ixcán",20,2752,400,15,33,36,26,1,5,11,13,8,4,2,0,5,20,179,16,8,203,0,203,--,400,197,179,203,203,Algún campo sin dato,1,aeea4ecc5285756fd2c3dfb1822927618009aecfabc60ec7d19149fe463e8f56,25/06/2023 23:43:49,ESCANER
18015,"Quiché",14,"Ixcán",20,2752,400,18,33,27,32,1,4,10,16,8,3,1,0,2,21,176,14,4,194,0,194,--,400,206,176,194,194,Algún campo sin dato,1,b747ad4163230163b568cc010436dc844e9ef9193e37407ad9972310fd23b647,26/06/2023 00:13:37,ESCANER
18016,"Quiché",14,"Ixcán",20,2752,400,16,46,34,25,0,1,4,14,4,1,1,1,5,25,177,10,3,190,0,190,--,388,198,177,190,190,Algún campo sin dato,1,fac43010f5ee4f0bbe760077d0c63a42439418882434a25f52c8acc039ca7626,25/06/2023 23:54:24,ESCANER
18017,"Quiché",14,"Ixcán",20,2752,400,13,40,33,25,0,6,4,14,7,6,4,0,3,18,173,20,7,200,0,200,--,400,200,173,200,200,Algún campo sin dato,1,096fd3bac1142f03af2ff4bd630a62cb87962deb96fb1f0efa030ab35821eec7,26/06/2023 00:06:35,ESCANER
18018,"Quiché",14,"Ixcán",20,2752,400,21,43,32,34,0,1,18,14,7,1,2,1,3,27,204,20,4,228,0,228,--,400,172,204,228,228,Algún campo sin dato,1,e6837f88a9be78792db7cc69c456ca3c3bf2411a8ea389df78e978060aaa7d23,25/06/2023 22:31:10,ESCANER
18019,"Quiché",14,"Ixcán",20,2752,400,22,51,38,23,0,3,7,9,9,2,1,1,3,20,189,14,10,213,0,213,--,400,187,189,213,213,Algún campo sin dato,1,bccb6c4cc5e626fb265313869fe0213a0d08f3e3a8a03bce7941bf2ff0677f1b,25/06/2023 22:55:03,ESCANER
18020,"Quiché",14,"Ixcán",20,2752,400,19,38,33,33,2,8,12,17,9,1,3,0,6,25,206,17,5,228,0,228,--,400,172,206,228,228,Algún campo sin dato,1,c9e4b19862b1f4b78d957a976576134ee6c460b9ff4b8f5a9a867b035dd683b6,25/06/2023 22:39:57,ESCANER
18021,"Quiché",14,"Ixcán",20,2752,400,22,37,34,23,1,0,3,24,9,0,3,0,2,29,187,12,2,201,0,201,--,400,199,187,201,201,Algún campo sin dato,1,ebc6e75357c8b9c7dfe6d8e261b897ecd1a3eb6b1ac5d7970a2f6a15250a33d3,25/06/2023 23:02:06,ESCANER
18022,"Quiché",14,"Ixcán",20,2753,400,14,48,42,23,1,1,2,11,4,5,2,0,2,25,180,14,3,197,1,198,--,400,202,180,197,198,Algún campo sin dato,1,33ab7423f78ff9b4448dcf43e5c18ff53ead95bce79abba76649ee42e6ce10db,26/06/2023 00:25:23,ESCANER
18023,"Quiché",14,"Ixcán",20,2753,400,14,47,30,19,0,1,12,9,4,4,2,2,1,26,171,18,7,196,0,196,--,400,204,171,196,196,Algún campo sin dato,1,1fe0dc7bfaf76c241644d98344647f47470c365f5dde313fea3af89d1737ab42,26/06/2023 02:35:48,ESCANER
18024,"Quiché",14,"Ixcán",20,2753,400,20,39,36,26,1,2,6,9,12,1,3,2,3,35,195,11,3,209,0,209,--,397,188,195,209,209,Algún campo sin dato,1,b425bb173fe3925fde619ffe9c1f6590059daa4708e0c868a5764056ae232c28,26/06/2023 01:11:38,ESCANER
