TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,19012,12018,63.2127

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PPN,UNE,CABAL,LIBRE CIUDAD VIEJA,WINAQ,MI FAMILIA,VIVA,AZUL,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5774,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,31,16,25,32,126,1,0,8,1,2,242,11,3,256,0,256,--,400,144,242,256,256,Algún campo sin dato,1,25131793f9a3ccdccb5d911bdb20d21026d7fc0e97f8d029b88188c0a7776864,25/06/2023 22:21:59,ESCANER
5775,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,45,25,26,55,110,5,0,3,4,3,276,4,1,281,0,281,--,400,119,276,281,281,Algún campo sin dato,1,0a21d5d2c53398e52862519c05ffba4b72597ed3f30105060541cebed8833897,25/06/2023 23:48:33,ESCANER
5776,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,42,20,23,37,130,3,1,5,8,0,269,8,0,277,0,277,--,400,123,269,277,277,Algún campo sin dato,1,5dd5431f4c81058548c31627a47e6a7d70fe83b22bb55509a89a271748df350d,25/06/2023 23:42:13,ESCANER
5777,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,28,14,23,45,124,1,1,2,2,4,244,3,1,248,0,248,--,400,152,244,248,248,Algún campo sin dato,1,7b87886ead0ef994aa8f504871a4836d14d047bd83200811c000cea5f0fac9b7,26/06/2023 00:39:02,ESCANER
5778,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,31,10,32,48,128,5,1,4,6,1,266,6,2,274,0,274,--,400,126,266,274,274,Algún campo sin dato,1,b71c2ceb319966e995b274c841cf482c442e5f73fd785cb0e888fc434304f45a,25/06/2023 23:56:36,ESCANER
5779,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,35,11,31,45,122,4,2,3,7,1,261,3,4,268,2,270,--,400,130,261,268,270,Algún campo sin dato,1,257ea9c4a09459632f5761704ba1c6ad1eb754184b255ccca75c6ba0e7667dcf,26/06/2023 02:14:13,ESCANER
5780,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,41,16,35,49,124,2,2,3,0,1,273,5,4,282,0,282,--,400,118,273,282,282,Algún campo sin dato,1,58b077f0a8c8eef7aa721683befe0323cf9eea94eb0a8f3faa5afef2320eec6a,26/06/2023 01:17:53,ESCANER
5781,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,41,15,27,37,117,1,1,1,4,1,245,8,1,254,0,254,--,400,146,245,254,254,Algún campo sin dato,1,04c2e74a3230801ff16187a2fcbd72e4785e68318d3baca76b5e2054a1d3605e,25/06/2023 22:51:10,ESCANER
5782,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,40,18,17,42,95,2,1,3,5,1,224,8,1,233,0,233,--,400,167,224,233,233,Algún campo sin dato,1,f5da7470d56782124e020924e80a5c279bea38f13b0aba8be33afe7fc0cc1948,26/06/2023 04:03:43,ESCANER
5783,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,45,10,27,60,89,3,1,2,8,0,245,14,0,259,0,259,--,400,141,245,259,259,Algún campo sin dato,1,f5c13f25a05a9afa195b348bd81ac61a032c76ae3ebfa196349038e0044c3fed,26/06/2023 01:21:09,ESCANER
5784,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,37,11,18,45,123,4,4,3,1,1,247,4,1,252,0,252,--,400,148,247,252,252,Algún campo sin dato,1,b3061a902dec625b38a133c20d7dc2bfca6731140166ae9729cc2c76d181c29c,26/06/2023 02:53:19,ESCANER
5785,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,33,14,26,47,97,1,1,4,2,2,227,11,2,240,0,240,--,400,160,227,240,240,Algún campo sin dato,1,f5da56c518faaf8b5e035e29ef6699b5629f5a47d7724ca6f4e8c6546ea79787,25/06/2023 23:28:33,ESCANER
5786,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,36,13,24,37,109,0,0,5,3,3,230,5,2,237,0,237,--,400,163,230,237,237,Algún campo sin dato,1,416f0f06b4c29e7a529d253c3aad0ac82dc341333e18168cdbb301ce625276a3,26/06/2023 02:39:22,ESCANER
5787,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,34,14,26,29,122,3,3,2,2,1,236,7,0,243,0,243,--,400,157,236,243,243,Algún campo sin dato,1,731e7b6cc976b42a8a485ad63fce1a886024df5d85499c54f8e043f3ec602155,25/06/2023 23:36:21,ESCANER
5788,"Sacatepéquez",2,"Ciudad Vieja",12,600,400,39,11,18,35,119,10,0,3,7,1,243,1,2,246,0,246,--,400,154,243,246,246,Algún campo sin dato,1,9b97a9573b37574dd2ed178203e9335c4133e1700a42cf998454419c4a386a2f,26/06/2023 03:07:39,ESCANER
5789,"Sacatepéquez",2,"Ciudad Vieja",12,601,400,27,12,22,48,123,3,0,1,3,1,240,1,0,241,0,241,--,400,159,240,241,241,Algún campo sin dato,1,cda31aefaf83e4b265e0b3ffbd2b50802e15fd19f589bb03a3cd7ebcb3d7c2e7,26/06/2023 00:42:32,ESCANER
5790,"Sacatepéquez",2,"Ciudad Vieja",12,601,400,29,11,19,45,133,2,2,6,6,0,253,4,1,258,0,258,--,400,142,253,258,258,Algún campo sin dato,1,231ab86cdcf7813f1bbd7ead4cea2b129ecc70706060a9ab3e9f85fb511ffc17,26/06/2023 00:55:18,ESCANER
5791,"Sacatepéquez",2,"Ciudad Vieja",12,601,400,30,9,17,45,158,0,1,1,7,0,268,3,0,271,0,271,--,400,129,268,271,271,Algún campo sin dato,1,3fde1d1c3a13b72172c9b33d878e864dd33075223733a32a3b8f5b1c1d60c7ce,26/06/2023 00:58:19,ESCANER
5792,"Sacatepéquez",2,"Ciudad Vieja",12,601,400,33,7,17,45,126,1,1,3,2,0,235,1,0,236,0,236,--,400,164,235,236,236,Algún campo sin dato,1,a69ae9ef2d44bd331968f0e5bccc6f1867a06eafc36eb597a09b6c38924db102,26/06/2023 01:04:23,ESCANER
