TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
133,133,100.0000,133,100.0000,0,51063,25671,50.2731

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,BIEN,MLP,CCM,UNE,VIVA,UR,VAMOS,WINAQ,AZUL,CABAL,VALOR,VICTORIA,PPN,VOS,CAMBIO,CREO,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10170,"Totonicapán",8,"Momostenango",5,1325,400,3,50,16,4,18,2,2,7,11,4,40,21,2,2,4,13,6,0,205,7,5,217,0,217,0,400,183,205,217,217,,1,f6747b4c60de3e1aea44a08a9448d6369baabc2a4f2a4650624f5ae9f21ec3b4,26/06/2023 00:55:48,ESCANER
10171,"Totonicapán",8,"Momostenango",5,1325,400,1,40,15,6,16,4,6,11,13,5,53,26,1,4,6,18,3,1,229,3,17,249,0,249,0,400,151,229,249,249,,1,89e6827c0f3c9652b54ef3eb9d7afcac60d97aebd9ce90ba807034bc7238e0fa,26/06/2023 01:53:49,ESCANER
10172,"Totonicapán",8,"Momostenango",5,1325,400,4,59,12,7,18,2,2,6,6,4,43,19,4,2,4,11,3,2,208,19,2,229,0,229,0,400,171,208,229,229,,1,1a1d75c18b3c0011670cc28cf1487844aa6a87fd38d0bd762314cf878669675c,25/06/2023 23:34:57,ESCANER
10173,"Totonicapán",8,"Momostenango",5,1325,385,2,43,16,3,11,2,3,8,16,5,42,22,1,3,4,14,4,1,200,4,2,206,0,206,0,382,176,200,206,206,,1,b8a87c91a7b2c2c04b58ba7e82b663cbe38a984c98f9fd174dba5c2d82a8cc0a,26/06/2023 01:09:32,ESCANER
10174,"Totonicapán",8,"Momostenango",5,1325,385,1,35,10,7,11,0,9,2,6,3,38,32,1,0,4,16,3,0,178,11,3,192,0,192,0,385,193,178,192,192,,1,288e0683ea6bcec1323f0bf838981bb864b649269e7de93a9af5fcda63730d2a,26/06/2023 01:04:15,ESCANER
10175,"Totonicapán",8,"Momostenango",5,1326,400,13,13,5,2,16,17,2,5,2,1,52,15,0,3,1,41,1,0,189,16,7,212,0,212,0,400,188,189,212,212,,1,364ab20c6619ea3d6583ca22b60aece4cb427879cf76ff1b4c491ddf1ab3c8e8,26/06/2023 01:18:25,ESCANER
10176,"Totonicapán",8,"Momostenango",5,1326,400,10,14,6,2,11,12,1,9,2,1,30,12,1,1,3,40,0,1,156,20,8,184,0,184,0,400,216,156,184,184,,1,16b3d12b8062739e6e0badcf2017031e2cd26487f697cf11dc684413a5b9fbe8,25/06/2023 22:48:04,ESCANER
10177,"Totonicapán",8,"Momostenango",5,1326,400,8,23,5,7,12,25,4,5,1,1,45,15,1,2,1,36,4,0,195,15,9,219,0,219,0,400,181,195,219,219,,1,88c88a307d685e354eeb8dbd4ddedc13ed61486f355129d27945f615c8e574e1,26/06/2023 00:36:16,ESCANER
10178,"Totonicapán",8,"Momostenango",5,1326,400,6,18,7,7,11,8,4,8,1,1,57,36,1,1,2,9,0,1,178,20,4,202,0,202,0,398,196,178,202,202,,1,747e902cf758524f457a16135faeeb9c27dc5cd6eeaadc25e7575f45787e7cc4,26/06/2023 01:39:40,ESCANER
10179,"Totonicapán",8,"Momostenango",5,1326,400,8,13,6,2,21,4,2,6,4,1,47,10,2,1,6,15,1,0,149,9,4,162,0,162,--,400,238,149,162,162,Algún campo sin dato,1,98d13cc4994fc96cb9813c964444ace85681e521a18f25aed0c2ed5ead24f043,26/06/2023 01:08:43,ESCANER
10180,"Totonicapán",8,"Momostenango",5,1326,400,12,16,5,5,12,14,3,7,1,2,30,13,0,1,1,33,0,0,155,8,4,167,0,167,0,400,233,155,167,167,,1,381859e1af3aab2c3c4a2acd64bcf9f0bfe07061c94dbaf0b6c47ab520475524,25/06/2023 22:06:40,ESCANER
10181,"Totonicapán",8,"Momostenango",5,1326,373,7,16,8,4,11,12,1,5,4,2,30,6,0,1,5,32,0,1,145,8,4,157,0,157,0,370,213,145,157,157,,1,142a15243dc9fb643b58dd640f59c149c353d55089fb6b8b7dfbecb8c4dcc9d8,25/06/2023 22:50:17,ESCANER
10182,"Totonicapán",8,"Momostenango",5,1326,373,7,8,4,0,10,9,0,1,3,1,32,9,0,2,0,22,0,0,108,5,3,116,0,116,0,373,257,108,116,116,,1,de3212630fa832b19a60feff540dbc5573ba98e6c49b658fb07a65b51357679d,25/06/2023 23:21:23,ESCANER
10183,"Totonicapán",8,"Momostenango",5,1327,374,5,9,67,5,4,2,2,17,2,2,14,8,0,2,0,34,0,1,174,9,7,190,0,190,0,374,184,174,190,190,,1,c3e15cabd18d87bcc41636a7f84a1ccfd48d461715a4bf90ed98e380f7788050,25/06/2023 23:44:50,ESCANER
10184,"Totonicapán",8,"Momostenango",5,1328,380,3,3,13,2,38,2,3,34,3,3,24,18,3,6,5,3,0,1,164,22,8,194,0,194,0,377,183,164,194,194,,1,0192cdf63a1edfb63aad7117c89d81191813ac70adae65bd767ba931ff745de4,26/06/2023 02:55:08,ESCANER
10185,"Totonicapán",8,"Momostenango",5,1328,380,1,5,6,3,40,4,3,37,1,3,38,15,0,2,10,1,0,0,169,9,11,189,0,189,0,380,191,169,189,189,,1,2eb3a6d463e38e3bd78a2002bcaec0192f5f1b44f6a33121cb18139359d30908,26/06/2023 01:01:00,ESCANER
10186,"Totonicapán",8,"Momostenango",5,1328,380,2,6,4,2,48,1,2,57,2,3,28,13,2,1,8,2,0,1,182,19,9,210,0,210,0,380,170,182,210,210,,1,7a631bee384ea94c559606668117903171520919065d598d814eecc3ef946354,26/06/2023 00:40:48,ESCANER
10187,"Totonicapán",8,"Momostenango",5,1328,380,9,9,6,1,43,2,1,44,2,8,32,16,0,3,2,3,1,1,183,23,11,217,0,217,0,380,163,183,217,217,,1,c98bf10a9b23f459b3c9bb76da49944ad52553725cfeacee5c5521298deebfe3,26/06/2023 00:06:57,ESCANER
