TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
47,47,100.0000,47,100.0000,0,17762,10562,59.4640

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,COCIPROG,AZUL,CAMBIO,PHG,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23793,"Jutiapa",22,"El Progreso",2,3731,293,68,6,53,19,1,147,13,3,163,1,164,--,290,126,147,163,164,Algún campo sin dato,1,d184ad452798b8613067ebd7b15481b5041f3331b22562c12fadbae88b543ff6,25/06/2023 23:12:20,ESCANER
23794,"Jutiapa",22,"El Progreso",2,3731,292,80,7,43,13,2,145,8,4,157,0,157,--,289,132,145,157,157,Algún campo sin dato,1,647be9873fa00fbfeac9d31ea688b14935db51f8f8337faead8e50b00e6d70b0,26/06/2023 00:48:57,ESCANER
23795,"Jutiapa",22,"El Progreso",2,3732,380,160,9,44,29,0,242,24,6,272,0,272,0,380,108,242,272,272,,1,da1a47b90c56296045c2fbbdfad347c874082f7f83b3b02db86c00afb516c59b,26/06/2023 00:42:29,ESCANER
23796,"Jutiapa",22,"El Progreso",2,3732,380,161,9,41,25,2,238,32,5,275,0,275,0,380,105,238,275,275,,1,e112d98ce85b421c09805aff7340455b705098c0a67e562eeb3cb7ec0386c328,26/06/2023 00:33:15,ESCANER
23797,"Jutiapa",22,"El Progreso",2,3732,380,140,5,53,32,2,232,19,1,252,0,252,--,380,128,232,252,252,Algún campo sin dato,1,bd87d8b04751124779e5d8edaf0fadb5bae9bfb1f5a4d25a4a42b069411f4278,26/06/2023 01:30:16,ESCANER
23798,"Jutiapa",22,"El Progreso",2,3732,350,122,2,41,25,3,193,21,5,219,0,219,0,350,131,193,219,219,,1,0d19351a9f1c9c4846496d26d9b46165b566ba43f06fcf43d5e39fb383ac325b,26/06/2023 00:18:42,ESCANER
23799,"Jutiapa",22,"El Progreso",2,3732,349,130,1,32,15,2,180,1,2,183,0,183,--,349,166,180,183,183,Algún campo sin dato,1,9be264c23cad9f5743d94e6c5ce4f672541008611dd2817f8305858e81b46e40,25/06/2023 23:43:21,ESCANER
23800,"Jutiapa",22,"El Progreso",2,3733,380,241,18,8,13,3,283,13,1,297,1,298,--,380,284,283,297,298,Algún campo sin dato,1,6bc29e28c088bb8d8da27ddc5f54ddc0bfbeefbb61a78109574a646ad7b249f6,26/06/2023 05:08:01,ESCANER
23801,"Jutiapa",22,"El Progreso",2,3733,198,110,7,4,3,1,125,15,0,140,0,140,--,198,57,125,140,140,Algún campo sin dato,1,e4821debe08dc05cfaf8cf6db2b96fd16d01b033449390601b3d6868a9d372e4,25/06/2023 23:15:21,ESCANER
23802,"Jutiapa",22,"El Progreso",2,3733,197,119,3,8,5,1,136,8,0,144,0,144,--,197,53,136,144,144,Algún campo sin dato,1,2e3512a912616caf96b1d38630100fca0b241217d1159f5f400635c8c4b97e1a,25/06/2023 23:00:04,ESCANER
23803,"Jutiapa",22,"El Progreso",2,3734,600,54,10,25,27,3,119,10,1,130,0,130,--,600,470,119,130,130,Algún campo sin dato,1,81ae5b3dbc086133524ee70433f45e7cc49c1a3a6754207196ff19788ba739b4,25/06/2023 23:39:03,ESCANER
23804,"Jutiapa",22,"El Progreso",2,3734,569,33,6,12,15,5,71,9,0,80,0,80,--,564,484,71,80,80,Algún campo sin dato,1,ade04585570c491911240a055a59fc692e3dada14a611355e107815a036a6adc,25/06/2023 22:13:59,ESCANER
23805,"Jutiapa",22,"El Progreso",2,3734,568,8,0,5,5,0,18,0,0,18,0,18,--,568,550,18,18,18,Algún campo sin dato,1,88706c9275a249766489e189c263db6ec1fd69e8d3153c4756f5cd7cb65bc4a0,25/06/2023 22:38:12,ESCANER
